Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,89 B","1,80 B","1,71 B","1,81 B","1,78 B","1,71 B","1,66 B","1,70 B","1,70 B","1,61 B","1,54 B","1,45 B","1,48 B","1,43 B","1,36 B","1,41 B","1,38 B","1,32 B","1,27 B","1,23 B","1,24 B","1,17 B","1,15 B","1,25 B","1,34 B","1,19 B","1,10 B","1,10 B","1,10 B","1,05 B","1,02 B","999,42 M","1,03 B","1,01 B","908,85 M","926,43 M","926,61 M","868,22 M","876,07 M","806,62 M","836,98 M","759,85 M","707,73 M","666,62 M","677,65 M","653,26 M","646,54 M","639,60 M","625,92 M","597,27 M","590,68 M","556,31 M","562,78 M","548,74 M","533,04 M","478,83 M","466,49 M","436,80 M","451,83 M","387,27 M","382,42 M","374,65 M","358,46 M","364,74 M"
Custos,"-799,79 M","-786,15 M","-723,36 M","-841,49 M","-733,03 M","-735,91 M","-735,62 M","-685,83 M","-666,06 M","-643,09 M","-617,14 M","-588,61 M","-573,59 M","-569,19 M","-650,75 M","-589,83 M","-572,65 M","-534,68 M","-516,45 M","-496,22 M","-476,27 M","-503,67 M","-479,68 M","-461,55 M","-501,23 M","-476,61 M","-451,43 M","-429,66 M","-442,74 M","-453,38 M","-401,76 M","-382,17 M","-414,03 M","-398,94 M","-383,39 M","-359,78 M","-387,41 M","-348,65 M","-350,53 M","-358,52 M","-360,48 M","-350,30 M","-336,19 M","-298,19 M","-304,59 M","-283,16 M","-271,82 M","-255,55 M","-259,50 M","-238,07 M","-229,61 M","-214,04 M","-233,10 M","-203,04 M","-199,94 M","-182,79 M","-192,24 M","-182,03 M","-181,44 M","-170,83 M","-181,91 M","-177,28 M","-157,41 M","-150,51 M"
Lucro bruto,"1,09 B","1,02 B","982,02 M","963,75 M","1,04 B","973,84 M","928,63 M","1,01 B","1,03 B","962,69 M","918,89 M","865,35 M","901,64 M","863,28 M","708,37 M","817,01 M","810,53 M","786,68 M","756,94 M","730,25 M","760,52 M","663,02 M","670,36 M","784,59 M","838,38 M","708,73 M","647,86 M","668,92 M","655,21 M","591,81 M","617,88 M","617,26 M","611,43 M","609,73 M","525,46 M","566,65 M","539,21 M","519,57 M","525,54 M","448,11 M","476,50 M","409,55 M","371,53 M","368,44 M","373,06 M","370,10 M","374,72 M","384,05 M","366,42 M","359,20 M","361,07 M","342,27 M","329,68 M","345,70 M","333,10 M","296,04 M","274,25 M","254,77 M","270,39 M","216,44 M","200,50 M","197,38 M","201,05 M","214,23 M"
Despesas operacionais,"-500,93 M","-617,36 M","-599,99 M","850,00 Mil","-430,72 M","-357,34 M","-421,75 M","-371,40 M","-432,82 M","-306,61 M","-373,38 M","-317,75 M","-405,35 M","-397,84 M","-371,88 M","-326,67 M","-335,71 M","-295,36 M","-272,70 M","-301,89 M","-307,35 M","-362,37 M","-287,71 M","-350,54 M","-293,29 M","-308,15 M","-329,48 M","-298,69 M","-249,86 M","-303,66 M","-284,19 M","-273,81 M","-296,72 M","-320,06 M","-264,36 M","-295,88 M","-337,59 M","-299,33 M","-238,83 M","-202,81 M","-293,53 M","-218,60 M","-215,69 M","-198,41 M","-206,70 M","-225,89 M","-229,71 M","-178,86 M","-246,28 M","-179,87 M","-196,10 M","-164,17 M","-260,23 M","-184,96 M","-157,25 M","-130,10 M","-163,49 M","-125,55 M","-129,10 M","-103,05 M","-140,28 M","-131,73 M","-103,13 M","-105,40 M"
Despesas com vendas,"-187,04 M","-129,10 M","-164,50 M","-225,41 M","-142,81 M","-159,79 M","-140,95 M","-118,81 M","-111,50 M","-44,13 M","-74,77 M","-25,96 M","-96,39 M","-130,10 M","-128,25 M","-114,86 M","-93,18 M","-95,85 M","-88,71 M","-78,81 M","-116,09 M","-124,69 M","-101,36 M","-95,72 M","-92,34 M","-91,37 M","-89,66 M","-84,83 M","-86,33 M","-80,47 M","-79,51 M","-61,91 M","-75,89 M","-75,08 M","-91,73 M","-72,51 M","-76,66 M","-65,01 M","-58,53 M","-52,87 M","-62,60 M","-55,38 M","-40,81 M","-43,99 M","-51,50 M","-51,97 M","-52,29 M","-44,08 M","-71,96 M","-46,32 M","-47,22 M","-38,13 M","-45,49 M","-36,80 M","-36,53 M","-33,25 M","-36,64 M","-33,59 M","-32,91 M","-31,27 M","-34,74 M","-31,05 M","-27,91 M","-27,13 M"
Despesas administrativas,"-319,75 M","-285,93 M","-249,53 M","-529,28 M","-257,81 M","-284,43 M","-299,05 M","-241,33 M","-235,38 M","-192,72 M","-190,95 M","-186,60 M","-189,06 M","-188,25 M","-156,62 M","-158,69 M","-176,94 M","-150,89 M","-142,15 M","-142,21 M","-142,10 M","-218,00 M","-168,22 M","-157,21 M","-162,82 M","-148,33 M","-143,47 M","-131,93 M","-161,03 M","-143,27 M","-153,06 M","-142,96 M","-158,52 M","-163,65 M","-170,09 M","-140,51 M","-158,57 M","-145,28 M","-148,62 M","-163,69 M","-175,65 M","-156,50 M","-135,88 M","-123,92 M","-116,22 M","-122,14 M","-144,63 M","-102,53 M","-112,33 M","-104,34 M","-117,64 M","-87,61 M","-141,24 M","-95,50 M","-86,28 M","-71,31 M","-83,11 M","-69,90 M","-67,34 M","-52,93 M","-73,10 M","-64,38 M","-55,00 M","-52,12 M"
EBIT,"590,22 M","400,66 M","382,02 M","964,60 M","612,46 M","616,50 M","506,87 M","640,78 M","598,09 M","656,08 M","545,51 M","547,61 M","496,29 M","465,44 M","336,48 M","490,34 M","474,82 M","491,33 M","484,24 M","428,36 M","453,17 M","300,66 M","382,65 M","434,05 M","545,09 M","400,58 M","318,38 M","370,24 M","405,35 M","288,15 M","333,70 M","343,45 M","314,70 M","289,67 M","261,10 M","270,77 M","201,62 M","220,24 M","286,71 M","245,30 M","182,96 M","190,95 M","155,84 M","170,03 M","166,36 M","144,21 M","145,01 M","205,19 M","120,14 M","179,33 M","164,97 M","178,10 M","69,45 M","160,74 M","175,85 M","165,94 M","110,76 M","129,22 M","141,29 M","113,39 M","60,22 M","65,65 M","97,92 M","108,83 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-87,76 M","48,84 M","-180,68 M","184,75 M","-118,00 M","-48,83 M","-53,10 M","-74,53 M","-141,60 M","-65,03 M","-45,80 M","-70,54 M","-67,15 M","-56,87 M","-63,65 M","-55,33 M","-66,60 M","-93,26 M","-59,98 M","-55,34 M","-62,83 M","-57,42 M","-31,74 M","-52,79 M","-45,95 M","-44,06 M","-44,61 M","-45,78 M","-48,34 M","-68,13 M","-33,34 M","-55,83 M","-122,36 M","-27,30 M","-39,49 M","-33,02 M","-40,89 M","-49,54 M","-44,55 M","-29,30 M","-41,57 M","-42,88 M","-35,58 M","-39,45 M","-33,15 M","-26,02 M","-25,66 M","-24,73 M","-22,14 M","-25,84 M","-24,87 M","-25,56 M","-45,71 M","-25,99 M","-27,63 M","-27,18 M","-29,17 M","-30,12 M","-33,89 M","-33,48 M","-33,44 M","-31,11 M","-31,36 M","-32,35 M"
Antes dos impostos,"502,47 M","449,50 M","201,34 M","1,15 B","494,46 M","567,67 M","453,78 M","566,25 M","456,49 M","591,05 M","499,71 M","477,06 M","429,14 M","408,57 M","272,83 M","435,01 M","408,22 M","398,07 M","424,27 M","373,02 M","390,35 M","243,24 M","350,91 M","381,26 M","499,14 M","356,52 M","273,77 M","324,45 M","357,01 M","220,02 M","300,35 M","287,62 M","192,34 M","262,37 M","221,61 M","237,75 M","160,73 M","170,70 M","242,16 M","216,00 M","141,40 M","148,08 M","120,26 M","130,58 M","133,21 M","118,18 M","119,34 M","180,46 M","97,99 M","153,49 M","140,10 M","152,54 M","23,74 M","134,75 M","148,22 M","138,76 M","81,59 M","99,10 M","107,41 M","79,92 M","26,79 M","34,54 M","66,56 M","76,47 M"
