Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010
Ativo total,"3,98 B","3,94 B","3,91 B","3,80 B","4,41 B","4,37 B","4,38 B","4,33 B","4,57 B","4,51 B","4,68 B","4,59 B","4,61 B","4,51 B","4,69 B","4,93 B","4,40 B","4,40 B","4,76 B","4,43 B","4,39 B","4,41 B","3,88 B","3,56 B","3,48 B","3,36 B","4,29 B","3,69 B","3,76 B","3,55 B","3,72 B","3,42 B","3,59 B","3,53 B","3,81 B","3,68 B","3,72 B","3,59 B","3,68 B","3,52 B","3,60 B","3,43 B","3,78 B","3,74 B","3,77 B","3,79 B","3,78 B","3,00 B","3,22 B","3,28 B","3,11 B","3,12 B","3,06 B","3,05 B","3,09 B","2,85 B","2,82 B","2,86 B","2,76 B","2,59 B","2,46 B","2,45 B"
Ativo circulante,"1,28 B","1,22 B","1,37 B","1,20 B","1,77 B","1,66 B","1,67 B","1,57 B","1,76 B","1,62 B","1,62 B","1,37 B","1,33 B","1,20 B","1,41 B","1,71 B","1,20 B","1,25 B","1,77 B","1,50 B","1,65 B","1,63 B","1,55 B","1,18 B","1,09 B","894,23 M","1,83 B","1,19 B","1,19 B","981,67 M","1,10 B","954,46 M","1,07 B","1,03 B","1,32 B","1,15 B","1,09 B","892,78 M","976,57 M","764,11 M","803,61 M","710,95 M","1,02 B","943,91 M","974,35 M","941,98 M","911,38 M","319,78 M","494,83 M","549,17 M","434,97 M","438,64 M","319,93 M","279,76 M","242,99 M","517,24 M","457,82 M","464,70 M","390,39 M","207,61 M","209,53 M","177,39 M"
Caixa e eq. de caixa,"296,21 M","222,67 M","265,64 M","258,48 M","467,99 M","322,31 M","287,67 M","395,67 M","497,51 M","394,59 M","298,46 M","505,65 M","558,18 M","377,13 M","463,65 M","824,68 M","376,08 M","449,46 M","852,19 M","504,56 M","546,54 M","418,77 M","614,55 M","451,60 M","239,11 M","201,05 M","184,04 M","184,68 M","262,56 M","137,45 M","243,73 M","108,49 M","178,67 M","146,73 M","282,31 M","280,15 M","225,46 M","125,36 M","161,61 M","136,60 M","342,82 M","285,79 M","578,82 M","518,80 M","621,35 M","538,55 M","441,64 M","91,56 M","307,15 M","327,37 M","208,05 M","230,73 M","146,94 M","123,96 M","78,19 M","321,83 M","359,95 M","369,67 M","308,20 M","142,54 M","149,16 M","139,09 M"
Aplicações financeiras,"689,14 M","666,95 M","191,59 M","177,04 M","593,99 M","570,64 M","595,89 M","399,62 M","629,64 M","592,18 M","734,10 M","377,77 M","313,84 M","333,14 M","325,24 M","315,50 M","310,83 M","303,07 M","295,43 M","294,91 M","299,49 M","320,31 M","370,02 M","366,29 M","369,54 M","290,76 M","1,09 B","487,60 M","467,62 M","352,09 M","406,01 M","360,49 M","399,61 M","421,04 M","620,76 M","495,98 M","509,65 M","370,89 M","371,41 M","239,22 M","120,24 M","121,00 M","128,62 M","126,74 M","42,80 M","35,34 M","34,16 M","30,36 M","29,35 M","28,68 M","26,50 M","23,61 M","19,44 M","19,14 M","17,29 M","13,72 M","12,55 M","12,23 M","10,93 M","10,62 M","10,10 M","6,52 M"
Contas a receber,"101,95 M","117,32 M","106,56 M","447,06 M","368,56 M","449,57 M","330,97 M","296,80 M","237,07 M","242,99 M","252,23 M","229,69 M","216,19 M","232,04 M","246,96 M","228,42 M","234,62 M","221,88 M","358,91 M","462,18 M","591,56 M","711,49 M","353,32 M","158,86 M","178,87 M","207,40 M","202,64 M","194,30 M","172,75 M","192,35 M","200,60 M","208,38 M","209,35 M","217,33 M","234,74 M","205,75 M","195,04 M","230,87 M","233,26 M","199,06 M","163,76 M","148,30 M","167,60 M","127,46 M","128,66 M","147,94 M","145,56 M","99,54 M","95,65 M","101,77 M","91,20 M","87,08 M","93,78 M","87,00 M","80,38 M","52,03 M","45,14 M","49,03 M","43,45 M","33,14 M","46,20 M","16,09 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,70 B","2,71 B","2,54 B","2,60 B","2,65 B","2,71 B","2,71 B","2,76 B","2,80 B","2,89 B","3,06 B","3,22 B","3,28 B","3,31 B","3,28 B","3,22 B","3,20 B","3,15 B","2,99 B","2,93 B","2,75 B","2,77 B","2,33 B","2,38 B","2,39 B","2,46 B","2,46 B","2,50 B","2,57 B","2,57 B","2,63 B","2,46 B","2,52 B","2,50 B","2,49 B","2,53 B","2,63 B","2,70 B","2,70 B","2,75 B","2,80 B","2,72 B","2,76 B","2,80 B","2,80 B","2,85 B","2,87 B","2,68 B","2,73 B","2,73 B","2,68 B","2,68 B","2,74 B","2,77 B","2,84 B","2,33 B","2,36 B","2,39 B","2,37 B","2,38 B","2,25 B","2,28 B"
Investimentos,"262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","126,11 M","126,28 M","126,43 M","127,43 M","128,28 M","130,56 M","131,32 M","133,20 M","132,89 M","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","262,00 Mil","235,00 Mil","235,00 Mil","221,00 Mil","221,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","99,00 Mil","66,00 Mil","66,00 Mil","66,00 Mil","66,00 Mil","66,00 Mil","66,00 Mil","66,00 Mil"
Imobilizado,"25,50 M","27,74 M","26,29 M","27,75 M","28,79 M","29,28 M","36,25 M","40,49 M","31,49 M","38,15 M","65,54 M","71,17 M","75,09 M","85,94 M","89,66 M","53,33 M","55,89 M","55,11 M","53,04 M","45,02 M","37,10 M","43,91 M","46,80 M","49,62 M","82,71 M","133,96 M","99,34 M","107,16 M","112,64 M","54,51 M","57,39 M","60,89 M","64,25 M","67,75 M","64,15 M","67,41 M","70,16 M","73,17 M","75,05 M","76,57 M","76,06 M","70,27 M","70,55 M","70,17 M","71,56 M","68,94 M","52,80 M","51,55 M","41,43 M","28,68 M","18,48 M","19,19 M","19,51 M","20,16 M","20,79 M","19,26 M","19,45 M","18,83 M","17,73 M","9,03 M","8,00 M","9,40 M"
