Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"33,56","56,46","79,43","-7,03","11,08","12,00","19,65","15,98","8,49","12,47","10,07","11,63","31,02","-124,11","156,43","-79,18"
P/VP,"0,39","0,47","0,41","0,46","0,76","3,46","4,62","4,22","1,43","1,95","1,98","1,33","1,66","1,96","1,75","1,38"
P/EBIT,"1,68","2,15","2,64","4,93","2,84","6,89","12,65","10,36","5,14","7,60","8,26","6,26","9,49","17,01","44,01","236,87"
P/EBIT *,"0,84","1,02","1,06","1,31","1,78","5,66","9,09","7,85","4,29","5,89","6,47","5,62","11,71","12,50","20,43","49,69"
PSR,"0,36","0,42","0,34","0,33","0,53","2,09","3,80","2,97","1,74","2,23","2,07","1,53","2,62","3,28","3,79","3,94"
P/Ativos,"0,13","0,15","0,12","0,13","0,23","1,00","1,75","1,77","0,95","1,31","1,14","0,77","1,03","1,20","1,14","0,94"
LPA,"0,05","0,04","0,02","-0,29","0,33","1,29","1,38","1,31","1,40","1,31","1,43","0,80","0,44","-0,11","0,08","-0,12"
VPA,"4,59","4,54","4,51","4,47","4,74","4,46","5,87","4,96","8,29","8,33","7,27","7,01","8,29","7,08","7,03","6,84"
EBIT por ação,"1,07","0,99","0,70","0,41","1,28","2,24","2,15","2,02","2,31","2,14","1,74","1,49","1,45","0,81","0,28","0,04"
EBIT por ação *,"2,15","2,07","1,73","1,56","2,04","2,73","2,99","2,67","2,77","2,76","2,22","1,65","1,18","1,11","0,60","0,19"
Ativo por ação,"14,00","13,87","15,37","15,88","15,89","15,50","15,52","11,82","12,50","12,43","12,64","12,09","13,34","11,53","10,73","10,05"
Receita líquida por ação,"4,97","5,02","5,43","6,16","6,87","7,38","7,13","7,05","6,80","7,31","6,92","6,09","5,26","4,22","3,24","2,40"
Margem bruta,"87,38%","87,13%","83,51%","78,92%","77,24%","79,69%","82,12%","81,04%","80,92%","76,03%","74,41%","73,66%","74,55%","74,61%","73,36%","73,51%"
Margem líquida,"1,58%","1,19%","0,98%","-4,31%","5,20%","18,00%","19,51%","18,60%","20,55%","18,59%","21,41%","13,92%","9,54%","-1,02%","2,54%","-4,95%"
Margem EBIT,"21,57%","19,62%","12,84%","6,71%","18,57%","30,37%","30,07%","28,69%","33,96%","29,32%","25,13%","24,39%","27,59%","19,29%","8,60%","1,67%"
Margem EBIT *,"43,29%","41,18%","31,89%","25,25%","29,64%","36,97%","41,85%","37,86%","40,68%","37,83%","32,06%","27,15%","22,38%","26,25%","18,53%","7,94%"
Margem EBITDA,"32,75%","40,67%","38,75%","33,88%","39,85%","47,68%","48,21%","47,72%","50,70%","40,32%","36,14%","37,21%","41,90%","34,08%","26,24%","20,74%"
Margem EBITDA *,"54,47%","62,23%","57,80%","52,42%","50,93%","54,28%","59,99%","56,88%","57,42%","48,83%","43,06%","39,98%","36,69%","41,04%","36,17%","27,01%"
Margem operacional,"9,01%","7,47%","0,78%","-6,38%","7,52%","26,44%","27,26%","26,86%","32,51%","28,10%","23,44%","23,16%","18,64%","0,30%","7,03%","-0,08%"
ROE,"1,69%","1,30%","1,16%","-5,86%","7,48%","29,59%","23,67%","26,43%","16,86%","16,30%","20,34%","12,08%","6,04%","-0,60%","1,17%","-1,74%"
ROA,"0,01","0,00","0,00","-0,02","0,02","0,09","0,09","0,11","0,11","0,11","0,12","0,07","0,04","-0,00","0,01","-0,01"
ROIC,"11,70%","10,27%","6,64%","3,86%","10,48%","19,05%","20,93%","21,64%","23,63%","22,05%","17,16%","14,93%","13,83%","8,38%","2,84%","0,47%"
ROIC *,"23,48%","21,55%","16,48%","14,53%","16,73%","23,19%","29,13%","28,55%","28,30%","28,45%","21,89%","16,62%","11,22%","11,40%","6,12%","2,26%"
Giro do ativo,"0,35","0,36","0,35","0,39","0,43","0,48","0,46","0,60","0,54","0,59","0,55","0,50","0,39","0,37","0,30","0,24"
EBIT *,610 mi,587 mi,491 mi,441 mi,578 mi,775 mi,847 mi,757 mi,785 mi,785 mi,629 mi,469 mi,334 mi,314 mi,170 mi,54 mi
EBITDA,461 mi,580 mi,597 mi,592 mi,777 mi,999 mi,976 mi,955 mi,979 mi,836 mi,709 mi,643 mi,625 mi,408 mi,241 mi,141 mi
EBITDA *,768 mi,887 mi,891 mi,917 mi,993 mi,1.138 mi,1.215 mi,1.138 mi,1.109 mi,1.013 mi,845 mi,691 mi,547 mi,492 mi,333 mi,183 mi
Liquidez corrente,"0,92","0,91","1,10","1,24","1,78","0,48","1,41","1,95","0,94","2,54","1,23","1,49","1,94","1,28","0,92","1,68"
Liquidez seca,"0,92","0,91","1,10","1,24","1,78","0,48","1,41","1,95","0,94","2,54","1,23","1,49","1,94","1,28","0,92","1,68"
Liquidez imediata,"0,21","0,17","0,21","0,30","0,56","0,17","0,36","0,44","0,13","0,36","0,17","0,60","1,11","0,76","0,41","1,33"
Dívida bruta,1.781 mi,1.762 mi,1.881 mi,2.237 mi,2.257 mi,2.226 mi,1.351 mi,1.427 mi,615 mi,613 mi,617 mi,547 mi,551 mi,225 mi,305 mi,371 mi
Dívida líquida,795 mi,872 mi,988 mi,1.250 mi,1.547 mi,1.473 mi,611 mi,935 mi,126 mi,46 mi,121 mi,140 mi,-23 mi,-131 mi,162 mi,-11 mi
Capital de giro,-115 mi,-126 mi,154 mi,315 mi,523 mi,-1.369 mi,475 mi,434 mi,-67 mi,626 mi,164 mi,234 mi,455 mi,118 mi,-25 mi,187 mi
Endividamento geral,"200,83%","201,02%","235,47%","250,77%","232,60%","245,37%","163,93%","138,41%","50,75%","49,20%","73,61%","72,25%","60,71%","62,17%","52,92%","47,32%"
