Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020
P/L,"0,46","1,40","0,88",-,-,-,-
P/VP,"0,14","0,18","0,10",-,-,-,-
P/EBIT,"0,81","0,88","0,57",-,-,-,-
P/EBIT *,"0,60","0,63","0,34",-,-,-,-
PSR,"0,22","0,23","0,12",-,-,-,-
P/Ativos,"0,07","0,08","0,04",-,-,-,-
LPA,"29,43","9,76","7,62",-,-,-,-
VPA,"98,25","77,23","67,52",-,-,-,-
EBIT por ação,"16,77","15,52","11,82",-,-,-,-
EBIT por ação *,"22,64","21,55","19,47",-,-,-,-
Ativo por ação,"183,19","160,84","153,76",-,-,-,-
Receita líquida por ação,"60,51","59,63","56,53",-,-,-,-
Margem bruta,"66,28%","65,64%","65,14%","65,89%","61,87%","61,83%","57,35%"
Margem líquida,"48,63%","16,37%","13,48%","6,25%","7,07%","9,06%","7,68%"
Margem EBIT,"27,71%","26,03%","20,90%","21,14%","15,51%","13,16%","11,87%"
Margem EBIT *,"37,42%","36,14%","34,44%","35,00%","29,94%","30,69%","26,57%"
Margem EBITDA,"37,54%","35,97%","31,00%","31,98%","26,97%","21,79%","21,79%"
Margem EBITDA *,"47,25%","46,08%","44,54%","45,84%","41,40%","39,32%","36,49%"
Margem operacional,"13,03%","11,59%","0,19%","5,60%","0,07%","5,70%","4,01%"
ROE,"29,95%","12,64%","11,29%","5,45%","4,28%","6,75%","7,41%"
ROA,"0,16","0,06","0,05","0,02","0,02","0,05","0,03"
ROIC,"10,95%","11,29%","8,56%","7,52%","3,73%","7,19%","5,84%"
ROIC *,"14,79%","15,67%","14,10%","12,45%","7,19%","16,77%","13,08%"
Giro do ativo,"0,33","0,37","0,37","0,33","0,23","0,50","0,43"
EBIT *,857 mi,816 mi,737 mi,686 mi,394 mi,193 mi,137 mi
EBITDA,860 mi,812 mi,663 mi,627 mi,355 mi,137 mi,113 mi
EBITDA *,1.083 mi,1.040 mi,953 mi,899 mi,545 mi,248 mi,189 mi
Liquidez corrente,"2,13","2,23","2,29","0,31","0,17","0,94","0,64"
Liquidez seca,"2,13","2,23","2,29","0,31","0,17","0,94","0,64"
Liquidez imediata,"0,06","0,14","0,06","0,01","0,01","0,23","0,20"
Dívida bruta,2.455 mi,2.350 mi,2.350 mi,2.181 mi,1.620 mi,0 mi,151 mi
Dívida líquida,1.465 mi,1.605 mi,1.900 mi,1.948 mi,1.561 mi,-60 mi,37 mi
Capital de giro,746 mi,624 mi,457 mi,-1.296 mi,-1.993 mi,-16 mi,-138 mi
Endividamento geral,"86,44%","108,28%","127,71%","160,47%","159,07%","48,23%","123,34%"
