Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"6,53","7,92","5,98","4,01","5,45","12,66",-,-
P/VP,"0,69","0,47","0,52","0,28","0,39","0,46",-,-
P/EBIT,"7,27","7,29","6,42","4,65","7,41","9,85",-,-
P/EBIT *,"6,06","7,03","6,42","3,44","5,70","8,91",-,-
PSR,"0,66","0,55","0,52","0,33","0,59","0,93",-,-
P/Ativos,"0,27","0,22","0,26","0,15","0,23","0,30",-,-
LPA,"0,54","0,35","0,50","0,41","0,40","0,21",-,-
VPA,"5,16","5,87","5,84","5,85","5,60","5,64",-,-
EBIT por ação,"0,49","0,38","0,47","0,35","0,30","0,27",-,-
EBIT por ação *,"0,59","0,39","0,47","0,48","0,38","0,29",-,-
Ativo por ação,"13,29","12,58","11,74","11,16","9,46","8,68",-,-
Receita líquida por ação,"5,42","4,99","5,74","4,99","3,74","2,82",-,-
Margem bruta,"24,38%","21,72%","20,59%","22,82%","23,97%","22,37%","24,67%","22,33%"
Margem líquida,"13,43%","13,30%","12,84%","12,20%","11,19%","9,83%","9,83%","11,81%"
Margem EBIT,"9,01%","7,53%","8,17%","7,07%","7,89%","9,40%","9,91%","10,76%"
Margem EBIT *,"10,81%","7,82%","8,17%","9,56%","10,26%","10,40%","9,92%","11,41%"
Margem EBITDA,"9,40%","7,94%","8,56%","7,45%","8,50%","9,91%","10,45%","10,86%"
Margem EBITDA *,"11,20%","8,22%","8,55%","9,95%","10,87%","10,90%","10,46%","11,51%"
Margem operacional,"16,48%","15,98%","15,40%","14,45%","12,95%","12,04%","12,07%","12,95%"
ROE,"12,34%","10,00%","11,47%","9,70%","7,20%","4,77%","11,05%","15,01%"
ROA,"0,05","0,05","0,06","0,05","0,04","0,03","0,05","0,06"
ROIC,"3,98%","3,71%","4,91%","3,79%","4,04%","5,09%","5,21%","6,09%"
ROIC *,"4,78%","3,85%","4,91%","5,13%","5,25%","5,63%","5,21%","6,47%"
Giro do ativo,"0,41","0,40","0,49","0,45","0,40","0,32","0,46","0,51"
EBIT *,120 mi,80 mi,96 mi,98 mi,79 mi,60 mi,55 mi,67 mi
EBITDA,105 mi,81 mi,101 mi,76 mi,65 mi,57 mi,58 mi,64 mi
EBITDA *,125 mi,84 mi,101 mi,102 mi,83 mi,63 mi,58 mi,68 mi
Liquidez corrente,"2,60","2,93","2,90","3,06","2,54","3,15","1,88","2,65"
Liquidez seca,"2,60","2,93","2,90","3,06","2,54","3,15","1,88","2,65"
Liquidez imediata,"0,01","0,01","0,00","0,03","0,02","0,01","0,02","0,01"
Dívida bruta,604 mi,360 mi,285 mi,164 mi,12 mi,79 mi,255 mi,253 mi
Dívida líquida,423 mi,-103 mi,-114 mi,-188 mi,-389 mi,-623 mi,119 mi,154 mi
Capital de giro,1.092 mi,1.309 mi,1.305 mi,1.242 mi,1.023 mi,1.083 mi,423 mi,615 mi
Endividamento geral,"125,34%","89,68%","82,79%","77,66%","62,75%","49,37%","144,71%","149,30%"
