Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"89,15 B","88,64 B","84,17 B","84,13 B","83,59 B","84,03 B","80,92 B","77,11 B","75,03 B","70,14 B","62,70 B","60,06 B","59,37 B","61,66 B","59,01 B","52,96 B","47,54 B","47,97 B","41,08 B","33,77 B","31,96 B","25,56 B","22,77 B","23,62 B","22,57 B","21,17 B","16,74 B"
Ativo circulante,"30,62 B","28,90 B","28,59 B","28,88 B","28,57 B","27,22 B","27,84 B","25,23 B","24,86 B","22,16 B","19,52 B","18,02 B","19,05 B","21,63 B","23,39 B","21,82 B","20,76 B","23,56 B","20,94 B","16,07 B","14,31 B","11,50 B","10,82 B","12,56 B","10,69 B","9,81 B","7,30 B"
Caixa e eq. de caixa,"3,53 B","3,03 B","3,22 B","2,28 B","1,86 B","1,90 B","1,89 B","2,13 B","1,64 B","1,35 B","1,64 B","1,59 B","2,62 B","1,72 B","1,88 B","2,53 B","2,55 B","1,03 B","5,17 B","3,30 B","1,73 B","409,60 M","641,48 M","723,25 M","596,04 M","592,43 M","696,84 M"
Aplicações financeiras,"11,82 B","11,22 B","9,38 B","10,10 B","11,87 B","12,10 B","12,12 B","9,89 B","10,86 B","9,63 B","6,33 B","6,18 B","7,16 B","11,02 B","13,48 B","12,48 B","12,14 B","17,62 B","11,48 B","8,80 B","9,12 B","8,00 B","7,21 B","7,55 B","5,97 B","5,21 B","4,14 B"
Contas a receber,"7,88 B","7,70 B","8,09 B","7,79 B","7,07 B","6,18 B","6,45 B","5,92 B","5,57 B","5,11 B","5,71 B","5,22 B","4,79 B","4,43 B","4,22 B","3,98 B","3,70 B","3,26 B","2,78 B","2,43 B","2,15 B","1,93 B","1,74 B","1,61 B","1,56 B","1,75 B","1,49 B"
Estoques,"2,53 B","2,83 B","2,84 B","3,04 B","3,04 B","3,20 B","3,22 B","2,99 B","2,89 B","2,89 B","2,55 B","2,01 B","1,77 B","1,69 B","1,17 B","775,16 M","596,62 M","525,95 M","378,18 M","378,57 M","255,36 M","213,02 M","235,56 M","292,12 M","308,24 M","306,04 M","261,99 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,"1,26 B","1,32 B",0,"1,22 B","851,29 M","757,03 M","431,96 M","459,64 M","508,65 M","359,35 M","320,88 M",0,0,0,"541,19 M",0
Ativo não circulante,"58,54 B","59,74 B","55,59 B","55,25 B","55,02 B","56,80 B","53,08 B","51,89 B","50,17 B","47,98 B","43,17 B","42,04 B","40,32 B","40,03 B","35,61 B","31,13 B","26,79 B","24,41 B","20,14 B","17,71 B","17,65 B","14,07 B","11,96 B","11,05 B","11,88 B","11,36 B","9,43 B"
Investimentos,"46,95 M","43,42 M","38,04 M","42,09 M","41,88 M","42,48 M","38,82 M","35,59 M","36,65 M","38,22 M","35,37 M","35,11 M","33,99 M","34,02 M","32,58 M","28,00 M","29,56 M","30,25 M","24,98 M","22,14 M","19,02 M","16,58 M","13,67 M","8,35 M","6,52 M","6,72 M","6,83 M"
Imobilizado,"46,50 B","47,94 B","46,25 B","46,08 B","45,55 B","46,26 B","43,60 B","42,81 B","41,69 B","39,83 B","36,14 B","34,98 B","34,23 B","34,13 B","30,58 B","27,51 B","23,81 B","21,57 B","17,43 B","15,02 B","12,75 B","11,75 B","10,16 B","9,40 B","9,88 B","9,62 B","7,86 B"
Intangível,"4,59 B","4,56 B","4,49 B","4,44 B","4,32 B","4,28 B","4,04 B","3,91 B","3,68 B","3,52 B","3,45 B","3,32 B","3,04 B","3,03 B","2,39 B","1,75 B","1,37 B","1,35 B","1,27 B","1,22 B","1,08 B","1,07 B","565,73 M","557,26 M","546,88 M","537,74 M","582,09 M"
Passivo total,"89,15 B","88,64 B","84,17 B","84,13 B","83,59 B","84,03 B","80,92 B","77,11 B","75,03 B","70,14 B","62,70 B","60,06 B","59,37 B","61,66 B","59,01 B","52,96 B","47,54 B","47,97 B","41,08 B","33,77 B","31,96 B","25,56 B","22,77 B","23,62 B","22,57 B","21,17 B","16,74 B"
