Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"-60,90","159,53","-23,60","-17,28","17,81","15,36","35,93",-,-
P/VP,"1,24","1,49","1,70","2,57","2,98","3,59","5,24",-,-
P/EBIT,"0,65","0,82","0,71","1,76","1,68","4,03","9,63",-,-
P/EBIT *,"0,70","0,90","0,68","1,76","1,62","4,09","8,83",-,-
PSR,"0,12","0,15","0,11","0,27","0,36","0,91","1,01",-,-
P/Ativos,"0,06","0,08","0,06","0,12","0,14","0,26","0,39",-,-
LPA,"-0,15","0,07","-0,34","-0,85","0,83","1,41","0,47",-,-
VPA,"7,29","7,73","4,71","5,70","4,94","6,02","3,24",-,-
EBIT por ação,"13,98","14,00","11,27","8,33","8,77","5,36","1,76",-,-
EBIT por ação *,"12,91","12,79","11,81","8,33","9,10","5,29","1,92",-,-
Ativo por ação,"152,72","151,85","143,94","120,15","105,62","82,17","43,79",-,-
Receita líquida por ação,"75,50","74,57","69,79","54,55","41,25","23,75","16,80",-,-
Margem bruta,"26,35%","26,17%","25,60%","25,57%","31,52%","32,34%","20,60%","21,26%","20,87%"
Margem líquida,"0,07%","0,49%","0,23%","-2,05%","3,91%","9,58%","4,05%","3,23%","2,37%"
Margem EBIT,"18,52%","18,77%","16,16%","15,28%","21,25%","22,58%","10,50%","12,38%","10,97%"
Margem EBIT *,"17,10%","17,15%","16,93%","15,27%","22,05%","22,25%","11,45%","12,34%","11,19%"
Margem EBITDA,"35,05%","29,99%","25,40%","25,02%","29,12%","30,21%","21,84%","21,84%",--%
Margem EBITDA *,"33,63%","28,37%","26,17%","25,02%","29,92%","29,89%","22,79%","21,80%",--%
Margem operacional,"0,06%","0,58%","0,99%","-3,23%","4,10%","13,80%","6,68%","4,45%","2,39%"
ROE,"0,41%","2,90%","1,64%","-9,65%","16,85%","22,82%","12,33%","12,27%","13,26%"
ROA,"0,00","0,00","0,00","-0,01","0,02","0,03","0,02","0,01","0,01"
ROIC,"12,35%","12,39%","10,61%","9,30%","11,97%","12,15%","6,96%","8,85%","8,18%"
ROIC *,"11,40%","11,32%","11,12%","9,30%","12,42%","11,97%","7,60%","8,82%","8,33%"
Giro do ativo,"0,49","0,49","0,48","0,45","0,39","0,29","0,38","0,46","0,48"
EBIT *,7.538 mi,7.466 mi,6.895 mi,4.861 mi,5.309 mi,3.085 mi,1.123 mi,1.195 mi,891 mi
EBITDA,15.447 mi,13.052 mi,10.348 mi,7.968 mi,7.012 mi,4.189 mi,2.141 mi,2.115 mi,--
EBITDA *,14.822 mi,12.349 mi,10.662 mi,7.965 mi,7.205 mi,4.144 mi,2.235 mi,2.111 mi,--
Liquidez corrente,"1,30","1,19","1,29","1,45","1,55","3,30","2,08","1,82","1,74"
Liquidez seca,"1,19","1,07","1,14","1,26","1,43","3,23","2,04","1,76","1,68"
Liquidez imediata,"0,15","0,12","0,09","0,09","0,12","0,14","0,07","0,11","0,17"
Dívida bruta,60.399 mi,59.073 mi,57.397 mi,45.302 mi,39.824 mi,34.377 mi,17.698 mi,14.568 mi,12.214 mi
Dívida líquida,45.052 mi,44.821 mi,43.393 mi,34.327 mi,27.082 mi,15.725 mi,9.289 mi,8.761 mi,7.380 mi
Capital de giro,7.074 mi,4.646 mi,6.140 mi,6.831 mi,7.672 mi,16.423 mi,5.971 mi,4.412 mi,3.104 mi
Endividamento geral,"1.149,97%","1.096,09%","1.367,70%","938,86%","1.004,66%","723,59%","692,91%","730,35%","1.072,13%"
