Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"9,62","10,81","9,59","10,21","15,39",-,-,-
P/VP,"0,99","1,29","1,50","2,65","3,43",-,-,-
P/EBIT,"8,83","9,26","9,43","8,45","11,54",-,-,-
P/EBIT *,"10,52","9,53","9,88","9,05","10,92",-,-,-
PSR,"0,78","1,04","1,23","1,80","2,12",-,-,-
P/Ativos,"0,68","0,86","1,01","1,60","1,95",-,-,-
LPA,"0,41","0,47","0,60","0,93","0,66",-,-,-
VPA,"3,98","3,92","3,83","3,56","2,96",-,-,-
EBIT por ação,"0,45","0,54","0,61","1,12","0,88",-,-,-
EBIT por ação *,"0,38","0,53","0,58","1,04","0,93",-,-,-
Ativo por ação,"5,78","5,88","5,71","5,91","5,22",-,-,-
Receita líquida por ação,"5,06","4,85","4,67","5,25","4,81",-,-,-
Margem bruta,"29,71%","33,79%","36,39%","38,35%","36,49%","36,54%","35,88%","34,27%"
Margem líquida,"8,07%","9,57%","12,87%","17,33%","13,83%","16,19%","13,45%","9,76%"
Margem EBIT,"8,84%","11,22%","13,09%","21,30%","18,34%","18,95%","15,39%","15,15%"
Margem EBIT *,"7,42%","10,90%","12,49%","19,89%","19,38%","19,28%","16,68%","15,75%"
Margem EBITDA,"11,90%","14,00%","15,77%","23,15%","19,69%","20,48%","16,99%","15,93%"
Margem EBITDA *,"10,49%","13,68%","15,17%","21,74%","20,73%","20,80%","18,28%","16,53%"
Margem operacional,"8,88%","11,82%","12,47%","20,03%","16,99%","17,53%","14,04%","13,80%"
ROE,"10,27%","11,86%","15,68%","25,41%","22,18%","29,52%","26,66%","25,92%"
ROA,"0,07","0,08","0,11","0,15","0,13","0,14","0,13","0,11"
ROIC,"8,35%","10,03%","11,98%","21,50%","19,69%","18,73%","16,56%","19,20%"
ROIC *,"7,01%","9,75%","11,43%","20,08%","20,80%","19,05%","17,94%","19,96%"
Giro do ativo,"0,88","0,83","0,82","0,89","0,92","0,85","0,94","1,10"
EBIT *,60 mi,85 mi,94 mi,169 mi,150 mi,102 mi,72 mi,71 mi
EBITDA,97 mi,110 mi,119 mi,197 mi,153 mi,108 mi,73 mi,72 mi
EBITDA *,85 mi,107 mi,114 mi,185 mi,161 mi,110 mi,78 mi,74 mi
Liquidez corrente,"2,65","2,67","2,06","2,21","1,95","1,66","1,89","1,73"
Liquidez seca,"1,93","1,94","1,50","1,60","1,49","1,35","1,55","1,29"
Liquidez imediata,"0,22","0,25","0,30","0,30","0,29","0,18","0,21","0,10"
Dívida bruta,180 mi,233 mi,199 mi,256 mi,252 mi,253 mi,181 mi,154 mi
Dívida líquida,132 mi,174 mi,116 mi,166 mi,159 mi,198 mi,140 mi,132 mi
Capital de giro,358 mi,368 mi,293 mi,355 mi,293 mi,169 mi,160 mi,134 mi
Endividamento geral,"44,32%","50,13%","49,23%","65,14%","74,08%","113,26%","110,86%","140,61%"
