Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"107,16","85,51","96,74","100,18","132,10","408,03",-,-
P/VP,"27,42","21,30","26,76","29,43","38,05","52,27",-,-
P/EBIT,"72,60","61,32","74,42","77,17","112,77","260,47",-,-
P/EBIT *,"70,53","62,74","75,49","79,61","113,30","261,05",-,-
PSR,"14,74","12,11","16,19","17,03","23,45","39,43",-,-
P/Ativos,"15,83","12,20","16,23","16,66","21,46","29,54",-,-
LPA,"0,15","0,12","0,12","0,10","0,08","0,03",-,-
VPA,"0,60","0,50","0,44","0,35","0,28","0,21",-,-
EBIT por ação,"0,23","0,17","0,16","0,13","0,10","0,04",-,-
EBIT por ação *,"0,23","0,17","0,16","0,13","0,10","0,04",-,-
Ativo por ação,"1,03","0,88","0,72","0,62","0,50","0,38",-,-
Receita líquida por ação,"1,11","0,88","0,73","0,60","0,46","0,28",-,-
Margem bruta,"57,46%","56,58%","57,69%","57,59%","59,82%","58,29%","53,30%","57,31%"
Margem líquida,"13,60%","14,16%","16,73%","17,00%","17,75%","9,66%","10,75%","10,36%"
Margem EBIT,"20,30%","19,74%","21,75%","22,07%","20,79%","15,14%","14,46%","13,78%"
Margem EBIT *,"20,90%","19,29%","21,44%","21,39%","20,70%","15,10%","5,90%","15,71%"
Margem EBITDA,"24,09%","23,85%","25,79%","25,47%","23,46%","16,36%","19,18%","15,13%"
Margem EBITDA *,"24,68%","23,40%","25,48%","24,79%","23,37%","16,32%","10,62%","17,07%"
Margem operacional,"17,18%","17,73%","20,03%","21,22%","20,42%","13,23%","16,62%","14,26%"
ROE,"25,17%","24,91%","27,66%","29,38%","28,81%","12,81%","184,71%","20,72%"
ROA,"0,15","0,14","0,17","0,17","0,16","0,07","0,09","0,14"
ROIC,"24,97%","22,79%","26,16%","27,28%","24,74%","17,48%","15,32%","23,48%"
ROIC *,"25,70%","22,27%","25,79%","26,44%","24,62%","17,44%","6,25%","26,77%"
Giro do ativo,"1,07","1,01","1,00","0,98","0,92","0,75","0,82","1,38"
EBIT *,218 mi,160 mi,146 mi,121 mi,89 mi,40 mi,12 mi,31 mi
EBITDA,252 mi,198 mi,176 mi,144 mi,101 mi,43 mi,41 mi,30 mi
EBITDA *,258 mi,194 mi,174 mi,140 mi,101 mi,43 mi,23 mi,34 mi
Liquidez corrente,"2,72","2,68","2,83","2,57","2,87","2,81","0,93","3,39"
Liquidez seca,"1,37","1,31","1,52","1,34","1,63","2,01","0,65","1,99"
Liquidez imediata,"0,14","0,11","0,31","0,36","0,52","0,89","0,24","0,43"
Dívida bruta,170 mi,151 mi,101 mi,91 mi,78 mi,50 mi,50 mi,0 mi
Dívida líquida,135 mi,127 mi,47 mi,30 mi,12 mi,-39 mi,3 mi,-17 mi
Capital de giro,430 mi,356 mi,324 mi,261 mi,238 mi,181 mi,-14 mi,91 mi
Endividamento geral,"72,30%","74,52%","64,91%","76,61%","77,33%","76,97%","2.001,26%","44,64%"
