Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017
P/L,"13,27","13,83","13,57","16,09","21,95","34,31","51,89",-,-,-
P/VP,"1,57","1,77","2,12","1,99","4,03","5,23","18,37",-,-,-
P/EBIT,"1,55","1,74","2,02","4,65","9,11","18,32","25,16",-,-,-
P/EBIT *,"1,52","1,70","1,88","4,47","9,09","18,31","26,14",-,-,-
PSR,"0,68","0,79","1,10","2,66","2,99","4,89","6,14",-,-,-
P/Ativos,"0,18","0,20","0,25","0,45","0,88","1,36","2,20",-,-,-
LPA,"0,25","0,27","0,31","0,48","0,55","0,33","0,15",-,-,-
VPA,"2,13","2,10","2,00","3,88","2,98","2,16","0,41",-,-,-
EBIT por ação,"2,15","2,14","2,10","1,66","1,32","0,62","0,30",-,-,-
EBIT por ação *,"2,20","2,19","2,25","1,73","1,32","0,62","0,29",-,-,-
Ativo por ação,"18,81","18,80","16,60","17,03","13,65","8,34","3,46",-,-,-
Receita líquida por ação,"4,95","4,71","3,85","2,90","4,02","2,31","1,24",-,-,-
Margem bruta,"50,50%","52,43%","63,95%","66,63%","42,59%","36,59%","34,21%","34,10%","33,47%","50,78%"
Margem líquida,"5,09%","5,71%","8,11%","16,54%","13,61%","14,25%","11,84%","11,70%","12,03%","19,50%"
Margem EBIT,"43,43%","45,38%","54,54%","57,18%","32,79%","26,69%","24,42%","24,16%","23,29%","39,48%"
Margem EBIT *,"44,49%","46,52%","58,40%","59,56%","32,87%","26,71%","23,50%","23,10%","22,35%","44,94%"
Margem EBITDA,"59,74%","63,41%","70,56%","72,59%","39,34%","37,18%","42,21%","43,55%","45,38%","65,23%"
Margem EBITDA *,"60,80%","64,55%","74,42%","74,98%","39,42%","37,20%","41,30%","42,50%","44,45%","70,68%"
Margem operacional,"6,59%","7,53%","20,06%","15,46%","15,89%","20,54%","17,01%","16,44%","16,15%","27,80%"
ROE,"11,81%","12,83%","15,60%","12,40%","18,37%","15,24%","35,40%","28,89%","19,42%","11,62%"
ROA,"0,01","0,01","0,02","0,03","0,04","0,04","0,04","0,05","0,06","0,04"
ROIC,"14,92%","14,88%","15,22%","11,73%","13,38%","13,48%","12,74%","12,31%","12,01%","9,90%"
ROIC *,"15,28%","15,26%","16,30%","12,22%","13,41%","13,49%","12,26%","11,78%","11,52%","11,27%"
Giro do ativo,"0,26","0,25","0,23","0,17","0,29","0,28","0,36","0,40","0,46","0,21"
EBIT *,2.688 mi,2.677 mi,2.744 mi,2.113 mi,1.614 mi,754 mi,355 mi,279 mi,209 mi,0 mi
EBITDA,3.610 mi,3.649 mi,3.315 mi,2.576 mi,1.933 mi,1.049 mi,638 mi,527 mi,426 mi,0 mi
EBITDA *,3.674 mi,3.715 mi,3.497 mi,2.660 mi,1.936 mi,1.050 mi,624 mi,514 mi,417 mi,0 mi
Liquidez corrente,"1,77","1,81","1,52","1,75","0,97","4,09","1,29","1,49","0,86","1,04"
Liquidez seca,"1,74","1,77","1,48","1,26","0,79","3,81","1,20","1,28","0,66","0,89"
Liquidez imediata,"0,05","0,09","0,06","0,03","0,02","0,13","0,02","0,47","0,11","0,21"
Dívida bruta,16.640 mi,16.690 mi,14.493 mi,11.717 mi,7.483 mi,6.088 mi,2.864 mi,2.138 mi,931 mi,0 mi
Dívida líquida,11.846 mi,11.972 mi,11.704 mi,9.422 mi,5.760 mi,2.263 mi,2.085 mi,1.639 mi,865 mi,0 mi
Capital de giro,2.856 mi,2.878 mi,1.415 mi,2.545 mi,-136 mi,3.678 mi,291 mi,331 mi,-74 mi,0 mi
Endividamento geral,"782,32%","796,33%","730,22%","339,44%","358,26%","285,79%","734,68%","522,28%","247,98%","189,67%"
