Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"50,59","15,35","8,18","9,00","13,64",-,-,-
P/VP,"0,76","1,07","2,44","1,85","2,67",-,-,-
P/EBIT,"10,96","9,89","9,73","8,17","12,19",-,-,-
P/EBIT *,"9,05","10,64","9,75","8,13","12,29",-,-,-
PSR,"0,39","0,78","1,19","0,86","1,67",-,-,-
P/Ativos,"0,28","0,54","1,04","1,05","1,83",-,-,-
LPA,"0,14","0,66","2,12","1,19","0,00",-,-,-
VPA,"9,38","9,49","7,14","5,79","0,00",-,-,-
EBIT por ação,"0,65","1,02","1,79","1,31","0,00",-,-,-
EBIT por ação *,"0,79","0,95","1,78","1,32","1,00",-,-,-
Ativo por ação,"25,43","18,79","16,66","10,21","0,00",-,-,-
Receita líquida por ação,"18,48","12,97","14,65","12,48","0,00",-,-,-
Margem bruta,"10,29%","13,13%","14,81%","13,17%","16,35%","20,66%","9,74%","7,51%"
Margem líquida,"3,86%","8,72%","16,59%","9,90%","12,24%","11,93%","6,59%","2,31%"
Margem EBIT,"3,52%","7,88%","12,20%","10,53%","13,70%","17,57%","10,86%","3,80%"
Margem EBIT *,"4,27%","7,32%","12,16%","10,58%","13,59%","17,52%","6,22%","3,15%"
Margem EBITDA,"5,02%","9,55%","12,94%","10,78%","13,88%","17,87%","11,25%","3,96%"
Margem EBITDA *,"5,77%","8,99%","12,91%","10,83%","13,77%","17,82%","6,60%","3,31%"
Margem operacional,"2,84%","9,53%","12,24%","10,84%","12,97%","15,32%","8,26%","1,91%"
ROE,"5,14%","8,21%","23,43%","18,31%","19,58%","64,51%","65,03%","50,07%"
ROA,"0,03","0,06","0,15","0,12","0,13","0,22","0,13","0,06"
ROIC,"3,75%","7,53%","17,20%","18,39%","24,16%","42,35%","27,41%","11,43%"
ROIC *,"4,55%","6,99%","17,15%","18,47%","23,96%","42,24%","15,70%","9,47%"
Giro do ativo,"0,73","0,69","0,88","1,22","1,09","1,88","1,99","2,41"
EBIT *,111 mi,134 mi,252 mi,187 mi,141 mi,103 mi,25 mi,9 mi
EBITDA,131 mi,175 mi,269 mi,191 mi,0 mi,105 mi,45 mi,12 mi
EBITDA *,151 mi,165 mi,268 mi,191 mi,143 mi,104 mi,26 mi,10 mi
Liquidez corrente,"6,77","4,06","4,52","3,21","3,19","1,47","1,20","1,32"
Liquidez seca,"6,13","3,54","4,12","2,78","2,78","1,24","1,12","1,08"
Liquidez imediata,"1,61","0,55","1,35","0,87","1,03","0,23","0,21","0,19"
Dívida bruta,1.318 mi,414 mi,573 mi,283 mi,0 mi,116 mi,110 mi,81 mi
Dívida líquida,322 mi,-164 mi,-157 mi,-33 mi,0 mi,83 mi,89 mi,72 mi
Capital de giro,1.893 mi,1.317 mi,1.211 mi,645 mi,506 mi,67 mi,20 mi,16 mi
Endividamento geral,"83,37%","36,45%","60,58%","51,44%","46,30%","187,34%","396,62%","799,97%"
