Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"2,03 B","1,87 B","1,73 B","1,62 B","1,63 B","1,63 B","1,51 B","1,46 B","1,45 B","1,44 B","1,39 B","1,33 B","1,35 B","1,35 B","1,39 B","1,37 B","1,41 B","1,45 B","1,17 B","1,07 B","1,53 B","456,93 M","455,55 M","390,49 M","382,27 M",0,"322,67 M"
Ativo circulante,"1,44 B","1,28 B","1,20 B","1,08 B","1,08 B","1,07 B","970,09 M","913,25 M","943,25 M","928,96 M","926,84 M","860,95 M","885,60 M","879,90 M","891,78 M","867,19 M","898,91 M","902,73 M","800,38 M","824,17 M","1,28 B","220,22 M","211,13 M","158,56 M","143,64 M",0,"73,05 M"
Caixa e eq. de caixa,"229,83 M","241,16 M","300,52 M","302,79 M","338,70 M","378,61 M","305,25 M","267,38 M","314,70 M","262,97 M","324,07 M","523,84 M","555,36 M","359,30 M","351,71 M","288,97 M","328,23 M","319,19 M","426,38 M","509,13 M","1,17 B","111,20 M","110,12 M","72,74 M","81,05 M",0,"23,57 M"
Aplicações financeiras,"119,39 M","122,00 M","174,66 M","189,64 M","181,74 M","209,97 M","264,41 M","246,35 M","228,01 M","244,77 M","211,27 M","19,99 M","19,38 M","219,81 M","194,76 M","204,44 M","198,40 M","193,80 M","203,28 M","200,80 M",0,0,0,0,0,0,0
Contas a receber,"975,88 M","808,13 M","632,79 M","506,49 M","476,19 M","399,94 M","319,26 M","320,73 M","319,58 M","329,16 M","230,34 M","204,33 M","192,52 M","221,86 M","215,79 M","213,18 M","198,83 M","216,11 M","134,65 M","93,64 M","92,54 M","93,88 M","86,03 M","41,26 M","42,51 M",0,"37,52 M"
Estoques,"18,86 M","15,54 M","16,12 M","22,11 M","22,15 M","15,74 M","18,01 M","19,39 M","18,69 M","28,19 M","31,56 M","28,71 M","43,76 M","42,18 M","46,78 M","58,97 M","56,88 M","57,40 M",0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"582,66 M","589,70 M","532,09 M","535,91 M","547,42 M","558,46 M","538,42 M","541,81 M","506,23 M","514,41 M","466,70 M","465,97 M","465,07 M","469,42 M","503,20 M","505,61 M","508,96 M","542,74 M","366,64 M","241,33 M","252,67 M","236,71 M","244,42 M","231,93 M","238,62 M",0,"249,62 M"
Investimentos,"2,20 M","2,24 M","2,22 M","2,20 M","2,17 M","2,14 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"20,23 M","21,43 M","16,20 M","16,02 M","16,11 M","16,39 M","16,74 M","17,79 M","14,38 M","14,10 M","12,47 M","13,41 M","12,81 M","11,37 M","19,98 M","20,74 M","27,29 M","29,78 M","10,17 M","10,33 M","11,48 M","12,63 M","13,55 M","10,51 M","10,54 M",0,"1,14 M"
