Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"482,96 M","461,90 M","438,40 M","408,52 M","387,57 M","399,83 M","381,34 M","364,51 M","352,38 M","346,93 M","326,06 M","318,86 M","316,00 M","346,69 M","374,94 M","375,65 M","378,55 M","288,77 M","75,67 M","62,00 M","62,40 M","171,55 M",0,0,0,0,0,"38,22 M","32,14 M"
Custos,"-352,87 M","-339,34 M","-323,76 M","-304,84 M","-291,69 M","-305,25 M","-295,76 M","-280,74 M","-271,71 M","-266,21 M","-250,74 M","-243,50 M","-236,96 M","-262,58 M","-292,87 M","-298,31 M","-305,05 M","-217,91 M","-32,85 M","-30,74 M","-29,80 M","-69,91 M",0,0,0,0,0,"-15,57 M","-14,54 M"
Lucro bruto,"130,09 M","122,56 M","114,65 M","103,69 M","95,89 M","94,58 M","85,58 M","83,77 M","80,68 M","80,71 M","75,32 M","75,36 M","79,04 M","84,11 M","82,06 M","77,34 M","73,50 M","70,86 M","42,82 M","31,25 M","32,60 M","101,64 M",0,0,0,0,0,"22,65 M","17,60 M"
Despesas operacionais,"-81,82 M","-87,76 M","-75,66 M","-67,62 M","-62,10 M","-62,09 M","-58,35 M","-53,56 M","-50,58 M","-57,52 M","-48,76 M","-55,12 M","-54,20 M","-57,72 M","-56,96 M","-53,77 M","-49,88 M","-46,37 M","-23,57 M","-9,83 M","-12,89 M","-39,53 M",0,0,0,0,0,"-4,74 M","-3,90 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,74 M",0
Despesas administrativas,"-81,78 M","-87,76 M","-75,67 M","-67,64 M","-62,24 M","-62,09 M","-58,41 M","-53,65 M","-52,43 M","-58,69 M","-49,01 M","-55,14 M","-54,60 M","-58,00 M","-56,96 M","-51,01 M","-49,88 M","-46,37 M","-23,57 M","-9,83 M","-12,89 M","-39,53 M","-6,54 M","-6,89 M","-7,20 M","-11,86 M","-6,16 M",0,"-3,90 M"
EBIT,"48,28 M","34,81 M","38,98 M","36,07 M","33,79 M","32,49 M","27,23 M","30,21 M","30,09 M","23,19 M","26,56 M","20,24 M","24,84 M","26,39 M","25,10 M","23,57 M","23,62 M","24,49 M","19,25 M","21,43 M","19,71 M","62,10 M",0,0,0,0,0,"17,92 M","13,70 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"9,58 M","11,03 M","16,70 M","15,97 M","11,10 M","15,02 M","9,65 M","10,99 M","8,60 M","22,63 M","2,24 M","5,95 M","6,26 M","4,89 M","29,70 M","-7,14 M","10,10 M","7,48 M","9,37 M","4,00 M","2,91 M","-3,72 M",0,0,0,0,0,"3,28 M","-1,08 M"
Antes dos impostos,"57,86 M","45,84 M","55,68 M","52,04 M","44,89 M","47,51 M","36,89 M","41,20 M","38,69 M","45,82 M","28,80 M","26,19 M","31,10 M","31,28 M","54,80 M","16,42 M","33,73 M","31,98 M","28,61 M","25,43 M","22,61 M","58,38 M",0,0,0,0,0,"21,19 M","12,62 M"
Imposto,"-19,63 M","6,87 M","-13,07 M","-17,38 M","-13,62 M","-5,66 M","-16,38 M","-5,22 M","-16,87 M","-4,52 M","-14,25 M","-12,24 M","-14,00 M","-8,68 M","-17,75 M","-11,57 M","-12,67 M","-7,58 M","-9,63 M","-7,41 M","-8,67 M","-22,65 M",0,0,0,0,0,"-6,75 M","-4,90 M"
Op. continuadas,"38,23 M","52,71 M","42,61 M","34,67 M","31,28 M","41,85 M","20,51 M","35,98 M","21,82 M","41,30 M","14,54 M","13,95 M","17,10 M","22,60 M","37,05 M","4,86 M","21,06 M","24,40 M","18,98 M","18,02 M","13,94 M","35,73 M",0,0,0,0,0,"14,45 M","7,72 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-83,27 M",0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"38,23 M","52,71 M","42,61 M","34,67 M","31,28 M","41,85 M","20,51 M","35,98 M","21,82 M","41,30 M","14,54 M","13,95 M","17,10 M","22,60 M","37,05 M","4,86 M","21,06 M","-58,87 M","18,98 M","18,02 M","13,94 M","35,73 M",0,0,0,0,0,"14,45 M","7,72 M"
Dos controladores,"34,21 M","51,24 M","41,02 M","33,23 M","31,17 M","41,42 M","20,14 M","36,05 M","21,86 M","40,67 M","14,88 M","13,95 M","17,10 M","85,57 M",0,"4,86 M","21,06 M","75,35 M",0,"18,02 M","13,94 M","35,73 M",0,0,0,0,0,--,--
Dos não controladores,"4,02 M","1,47 M","1,59 M","1,43 M","105,00 Mil","437,00 Mil","374,00 Mil","-77,00 Mil","-38,00 Mil","631,00 Mil","-342,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--
