Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"14,58","10,94","11,68","11,40","15,17","35,65",-,-
P/VP,"2,39","1,12","0,93","0,92","1,11","8,24",-,-
P/EBIT,"15,90","10,88","10,67","9,88","13,47","20,51",-,-
P/EBIT *,"15,92","11,07","10,88","9,64","13,47","20,51",-,-
PSR,"1,35","0,87","0,77","0,66","2,34","7,43",-,-
P/Ativos,"1,22","0,80","0,70","0,72","0,79","2,79",-,-
LPA,"1,83","1,40","1,01","1,00","0,88","0,42",-,-
VPA,"11,15","13,63","12,66","12,36","12,03","1,81",-,-
EBIT por ação,"1,68","1,40","1,11","1,15","0,99","0,73",-,-
EBIT por ação *,"1,68","1,38","1,09","1,18","0,99","0,73",-,-
Ativo por ação,"21,79","19,01","16,86","15,76","16,88","5,34",-,-
Receita líquida por ação,"19,82","17,50","15,28","17,24","5,71","2,00",-,-
Margem bruta,"25,75%","23,00%","23,74%","21,48%","37,20%","59,25%","59,12%","58,33%"
Margem líquida,"9,51%","8,02%","6,64%","5,80%","15,41%","20,83%","23,57%","62,38%"
Margem EBIT,"8,47%","8,01%","7,25%","6,69%","17,36%","36,20%","41,88%","48,47%"
Margem EBIT *,"8,46%","7,88%","7,11%","6,86%","17,36%","36,20%","41,88%","48,47%"
Margem EBITDA,"12,39%","12,32%","11,54%","10,72%","24,23%","49,62%","52,60%","56,82%"
Margem EBITDA *,"12,38%","12,19%","11,40%","10,89%","24,23%","49,62%","52,60%","56,82%"
Margem operacional,"11,70%","10,97%","10,09%","9,23%","22,22%","34,03%","37,61%","43,82%"
ROE,"16,57%","10,27%","8,00%","8,08%","7,32%","23,11%","10,34%","52,69%"
ROA,"0,09","0,07","0,06","0,06","0,05","0,08","0,10","0,28"
ROIC,"10,48%","13,11%","11,77%","14,96%","10,71%","19,46%","21,29%","23,73%"
ROIC *,"10,47%","12,89%","11,54%","15,34%","10,71%","19,46%","21,29%","23,73%"
Giro do ativo,"0,91","0,92","0,91","1,09","0,34","0,38","0,41","0,44"
EBIT *,143 mi,118 mi,93 mi,101 mi,84 mi,62 mi,64 mi,69 mi
EBITDA,210 mi,184 mi,150 mi,158 mi,118 mi,85 mi,0 mi,81 mi
EBITDA *,209 mi,182 mi,149 mi,160 mi,118 mi,85 mi,81 mi,81 mi
Liquidez corrente,"1,86","2,63","2,95","3,40","2,58","0,74","6,41","4,80"
Liquidez seca,"1,84","2,60","2,86","3,23","2,42","0,74","6,41","4,80"
Liquidez imediata,"0,35","0,93","0,84","1,39","0,91","0,37","3,11","1,55"
Dívida bruta,19 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-344 mi,-589 mi,-508 mi,-580 mi,-513 mi,-112 mi,0 mi,-24 mi
Capital de giro,589 mi,662 mi,614 mi,620 mi,553 mi,-80 mi,107 mi,57 mi
Endividamento geral,"91,63%","39,07%","32,87%","27,47%","40,37%","195,50%","5,85%","90,80%"
