Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"13,69","17,38","12,14","18,58","15,67","24,80","46,79","40,14","23,52","29,95","52,40","29,66","18,28","13,58","29,34","17,12","13,63","13,82"
P/VP,"1,39","1,69","1,04","1,47","1,22","1,88","2,60","5,88","3,80","4,20","7,29","3,90","2,90","2,75","5,92","3,22","2,42","2,70"
P/EBIT,"6,72","8,50","6,56","10,36","9,86","19,40","28,51","25,73","15,80","19,07","30,36","15,96","11,82","9,85","20,09","11,19","8,37","8,83"
P/EBIT *,"6,89","9,17","7,26","12,19","10,96","29,41","29,85","27,06","17,81","20,70","-63,23","-127,39","-84,58","297,59","70,62","33,97","16,05","11,26"
PSR,"0,32","0,39","0,26","0,39","0,34","0,61","0,93","1,13","0,73","0,79","1,31","0,68","0,48","0,44","0,91","0,48","0,35","0,38"
P/Ativos,"0,49","0,57","0,38","0,56","0,50","0,83","1,20","2,11","1,76","1,88","3,39","1,77","1,25","1,27","2,76","1,45","1,11","1,23"
LPA,"0,88","0,83","0,70","0,62","0,57","0,53","0,37","0,51","0,50","0,40","0,35","0,30","0,33","0,37","0,31","0,25","0,20","0,20"
VPA,"8,65","8,52","8,21","7,80","7,37","6,96","6,72","3,49","3,08","2,84","2,54","2,29","2,07","1,84","1,55","1,32","1,15","1,01"
EBIT por ação,"1,79","1,69","1,30","1,11","0,91","0,68","0,61","0,80","0,74","0,62","0,61","0,56","0,51","0,51","0,46","0,38","0,33","0,31"
EBIT por ação *,"1,75","1,57","1,17","0,94","0,82","0,45","0,59","0,76","0,66","0,58","-0,29","-0,07","-0,07","0,02","0,13","0,13","0,17","0,24"
Ativo por ação,"24,36","25,47","22,46","20,46","18,18","15,83","14,59","9,71","6,65","6,32","5,46","5,05","4,78","3,99","3,33","2,94","2,51","2,21"
Receita líquida por ação,"37,93","36,66","32,87","29,67","26,54","21,45","18,75","18,12","16,17","15,02","14,16","13,21","12,55","11,57","10,13","8,95","7,89","7,15"
Margem bruta,"32,37%","32,37%","31,79%","30,87%","31,14%","30,65%","29,22%","29,69%","29,44%","29,46%","24,44%","22,74%","22,23%","21,95%","22,49%","21,58%","21,29%","21,53%"
Margem líquida,"2,32%","2,26%","2,13%","2,08%","2,16%","2,46%","1,99%","2,82%","3,08%","2,65%","2,49%","2,28%","2,62%","3,23%","3,09%","2,78%","2,59%","2,76%"
Margem EBIT,"4,73%","4,62%","3,95%","3,73%","3,44%","3,15%","3,27%","4,40%","4,59%","4,16%","4,30%","4,24%","4,04%","4,45%","4,51%","4,25%","4,22%","4,33%"
Margem EBIT *,"4,61%","4,29%","3,57%","3,17%","3,09%","2,08%","3,12%","4,18%","4,07%","3,83%","-2,07%","-0,53%","-0,57%","0,15%","1,28%","1,40%","2,20%","3,39%"
Margem EBITDA,"6,72%","8,84%","8,20%","8,22%","8,07%","8,04%","7,45%","7,90%","5,75%","5,22%","5,26%","5,15%","4,80%","5,09%","5,09%","4,78%","4,88%","4,97%"
Margem EBITDA *,"6,61%","8,50%","7,82%","7,66%","7,72%","6,97%","7,30%","7,69%","5,23%","4,90%","-1,11%","0,38%","0,19%","0,79%","1,86%","1,93%","2,86%","4,04%"
