Conta,2T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-2,76","-713,30","-458,77","552,32","419,45","914,51",-,-
P/VP,"0,26","126,02","14,95","33,38","51,37","34,11",-,-
P/EBIT,"0,23","175,03","28,88","49,49","183,94","317,46",-,-
P/EBIT *,"0,25","189,88","25,91","51,03","193,40","321,15",-,-
PSR,"0,04","31,99","5,35","9,30","31,55","58,43",-,-
P/Ativos,"0,02","13,39","2,24","3,56","12,44","24,93",-,-
LPA,"-0,06","-0,17","-0,03","0,04","0,09","0,03",-,-
VPA,"0,65","0,97","1,04","0,63","0,70","0,72",-,-
EBIT por ação,"0,75","0,70","0,54","0,43","0,20","0,08",-,-
EBIT por ação *,"0,67","0,65","0,60","0,41","0,19","0,08",-,-
Ativo por ação,"10,13","9,17","6,97","5,92","2,91","0,98",-,-
Receita líquida por ação,"4,34","3,84","2,92","2,27","1,15","0,42",-,-
Margem bruta,"18,24%","19,56%","23,76%","22,18%","21,74%","22,63%","22,61%","22,01%"
Margem líquida,"-0,44%","-2,68%","1,16%","2,87%","8,81%","7,06%","7,32%","10,19%"
Margem EBIT,"17,36%","18,28%","18,52%","18,78%","17,15%","18,40%","17,47%","15,11%"
Margem EBIT *,"15,56%","16,85%","20,64%","18,22%","16,32%","18,19%","17,22%","15,18%"
Margem EBITDA,"36,34%","27,99%","27,01%","27,62%","26,98%","28,16%","27,25%","26,44%"
Margem EBITDA *,"34,55%","26,56%","29,13%","27,06%","26,14%","27,95%","26,99%","26,51%"
Margem operacional,"0,66%","-1,32%","4,78%","5,34%","11,62%","10,62%","9,21%","8,35%"
ROE,"-1,46%","-6,30%","2,17%","8,37%","12,94%","4,04%","16,97%","21,57%"
ROA,"-0,00","-0,01","0,00","0,01","0,03","0,03","0,06","0,09"
ROIC,"10,67%","10,57%","10,64%","10,58%","8,28%","12,48%","16,14%","13,99%"
ROIC *,"9,57%","9,74%","11,86%","10,26%","7,88%","12,34%","15,91%","14,05%"
Giro do ativo,"0,43","0,42","0,42","0,38","0,39","0,43","0,78","0,84"
EBIT *,1.127 mi,1.080 mi,1.005 mi,690 mi,312 mi,127 mi,83 mi,58 mi
EBITDA,2.632 mi,1.795 mi,1.315 mi,1.046 mi,516 mi,197 mi,131 mi,101 mi
EBITDA *,2.502 mi,1.703 mi,1.419 mi,1.025 mi,500 mi,196 mi,130 mi,101 mi
Liquidez corrente,"2,72","2,73","2,37","2,41","1,67","5,23","1,71","1,15"
Liquidez seca,"2,65","2,66","2,25","2,35","1,61","5,23","1,71","1,15"
Liquidez imediata,"0,97","1,00","1,34","1,57","0,88","3,57","0,59","0,17"
Dívida bruta,11.041 mi,9.765 mi,7.135 mi,7.101 mi,2.667 mi,207 mi,320 mi,201 mi
Dívida líquida,6.356 mi,5.896 mi,4.227 mi,4.191 mi,1.874 mi,-385 mi,243 mi,179 mi
Capital de giro,4.637 mi,3.957 mi,2.794 mi,2.571 mi,602 mi,700 mi,94 mi,18 mi
Endividamento geral,"680,93%","460,81%","345,51%","660,49%","272,60%","34,14%","197,91%","151,83%"
