Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,80","5,82","13,45","32,89","29,97","51,24","282,08","43,95","67,18","60,23","47,29","33,13","35,80","40,06","66,65","54,50","55,00",-
P/VP,"0,50","0,67","0,60","4,52","4,80","11,12","10,16","9,55","13,47","13,99","8,20","6,42","7,00","8,61","14,23","13,00","24,28",-
P/EBIT,"3,98","4,66","11,98","23,51","23,14","37,76","148,79","31,94","50,10","53,59","36,30","28,06","27,26","29,83","50,36","43,92","38,24",-
P/EBIT *,"4,08","4,96","8,26","25,27","27,43","52,33","217,45","42,59","50,20","52,95","35,73","27,58","26,60","30,03","48,57","44,58","39,72",-
PSR,"0,34","0,45","0,55","2,71","3,01","6,05","8,61","4,24","6,28","6,84","4,43","3,54","3,83","4,60","7,51","7,35","6,21",-
P/Ativos,"0,26","0,34","0,30","2,20","2,73","5,25","4,84","5,04","9,17","8,86","6,05","4,64","5,07","6,29","10,14","9,78","13,24",-
LPA,"4,03","4,41","1,65","1,93","2,06","1,67","0,24","0,79","0,69","0,75","0,56","0,58","0,55","0,54","0,47","0,44","0,31",-
VPA,"38,77","38,63","37,30","14,09","12,85","7,70","6,53","3,61","3,44","3,22","3,24","2,99","2,79","2,49","2,20","1,86","0,71",-
EBIT por ação,"4,87","5,51","1,86","2,71","2,66","2,27","0,45","1,08","0,93","0,84","0,73","0,68","0,72","0,72","0,62","0,55","0,45",-
EBIT por ação *,"4,74","5,18","2,70","2,52","2,25","1,64","0,31","0,81","0,92","0,85","0,74","0,70","0,73","0,71","0,64","0,54","0,43",-
Ativo por ação,"73,58","74,82","73,87","28,94","22,56","16,30","13,72","6,84","5,06","5,08","4,39","4,14","3,86","3,41","3,08","2,47","1,30",-
Receita líquida por ação,"56,19","57,24","40,58","23,47","20,50","14,16","7,70","8,13","7,39","6,59","6,00","5,43","5,10","4,66","4,17","3,29","2,77",-
Margem bruta,"54,89%","54,96%","53,28%","54,24%","53,94%","52,63%","47,47%","46,19%","46,55%","45,85%","44,33%","42,47%","42,67%","44,21%","43,68%","41,45%","40,53%","40,48%"
Margem líquida,"7,17%","7,71%","4,04%","8,23%","9,98%","11,76%","3,05%","9,66%","9,34%","11,35%","9,37%","10,68%","10,71%","11,48%","11,26%","13,49%","11,29%","11,83%"
Margem EBIT,"8,66%","9,63%","4,58%","11,53%","12,99%","16,02%","5,79%","13,29%","12,53%","12,76%","12,21%","12,61%","14,06%","15,42%","14,90%","16,74%","16,24%","14,29%"
Margem EBIT *,"8,44%","9,06%","6,64%","10,73%","10,96%","11,56%","3,96%","9,96%","12,50%","12,92%","12,41%","12,83%","14,42%","15,32%","15,45%","16,50%","15,64%","13,64%"
Margem EBITDA,"17,56%","15,53%","9,53%","16,13%","16,92%","19,64%","10,89%","18,07%","15,21%","15,16%","14,30%","14,77%","15,32%","16,56%","15,78%","17,34%","16,71%",--%
Margem EBITDA *,"17,34%","14,96%","11,59%","15,33%","14,88%","15,18%","9,06%","14,75%","15,18%","15,32%","14,49%","14,99%","15,67%","16,45%","16,33%","17,10%","16,10%",--%
Margem operacional,"1,69%","3,01%","-0,12%","7,76%","11,17%","13,81%","3,43%","12,20%","11,14%","13,45%","12,67%","14,69%","15,34%","16,21%","15,52%","18,48%","15,62%","14,28%"
ROE,"10,39%","11,42%","4,38%","13,61%","15,92%","21,59%","3,60%","21,73%","20,05%","23,23%","17,34%","19,37%","19,57%","21,49%","21,34%","23,85%","44,14%","40,77%"
ROA,"0,05","0,06","0,02","0,07","0,09","0,10","0,02","0,11","0,14","0,15","0,13","0,14","0,14","0,16","0,15","0,18","0,24","0,20"
ROIC,"7,95%","8,98%","3,03%","12,72%","15,67%","18,53%","4,92%","22,30%","27,36%","28,58%","25,31%","25,08%","28,16%","30,72%","32,14%","37,92%","41,00%","35,89%"
ROIC *,"7,75%","8,44%","4,40%","11,84%","13,22%","13,37%","3,37%","16,72%","27,30%","28,92%","25,71%","25,52%","28,87%","30,51%","33,33%","37,36%","39,47%","34,27%"
Giro do ativo,"0,76","0,77","0,55","0,81","0,91","0,87","0,56","1,19","1,46","1,30","1,37","1,31","1,32","1,37","1,35","1,33","2,13","1,73"
EBIT *,978 mi,1.070 mi,556 mi,519 mi,464 mi,338 mi,63 mi,167 mi,190 mi,175 mi,153 mi,143 mi,151 mi,147 mi,132 mi,112 mi,89 mi,56 mi
EBITDA,2.037 mi,1.835 mi,798 mi,781 mi,716 mi,574 mi,173 mi,303 mi,232 mi,206 mi,177 mi,165 mi,161 mi,159 mi,135 mi,117 mi,95 mi,--
EBITDA *,2.011 mi,1.767 mi,971 mi,742 mi,630 mi,443 mi,144 mi,247 mi,231 mi,208 mi,179 mi,167 mi,165 mi,158 mi,140 mi,116 mi,92 mi,--
Liquidez corrente,"2,20","1,84","1,51","1,27","1,46","1,08","1,72","2,11","3,29","2,40","3,50","3,45","3,46","3,84","4,03","4,23","2,23","1,97"
Liquidez seca,"1,48","1,27","1,02","0,93","0,99","0,79","1,40","1,72","2,70","2,08","2,95","2,89","2,91","3,25","3,43","3,67","1,71","1,74"
Liquidez imediata,"0,04","0,09","0,04","0,03","0,02","0,02","0,04","0,03","0,03","0,03","0,02","0,05","0,06","0,10","0,09","0,15","0,09","0,42"
Dívida bruta,3.244 mi,3.226 mi,2.654 mi,1.081 mi,401 mi,534 mi,634 mi,180 mi,111 mi,181 mi,106 mi,123 mi,99 mi,98 mi,94 mi,38 mi,46 mi,39 mi
Dívida líquida,2.181 mi,2.145 mi,1.880 mi,331 mi,-75 mi,272 mi,73 mi,-97 mi,-125 mi,-157 mi,-137 mi,-103 mi,-101 mi,-88 mi,-109 mi,-135 mi,33 mi,-6 mi
Capital de giro,3.647 mi,3.159 mi,2.314 mi,622 mi,748 mi,127 mi,653 mi,516 mi,586 mi,498 mi,504 mi,467 mi,439 mi,409 mi,386 mi,330 mi,115 mi,90 mi
Endividamento geral,"89,79%","93,66%","97,55%","104,02%","75,52%","111,45%","110,04%","89,43%","46,91%","57,89%","35,46%","38,20%","38,21%","36,79%","40,25%","32,96%","83,39%","99,13%"
