Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"12,21","6,82","6,26","3,12","0,52","1,76","2,03","1,29","0,72","0,85","2,07","-0,48","-0,90","1,12","2,70","46,44","1,41"
P/VP,"2,48","1,12","1,14","0,63","0,78","1,12","0,28","0,16","0,17","0,16","0,10","0,63","0,28","0,15","0,14","0,19","0,15"
P/EBIT,"9,92","5,38","5,17","2,16","0,35","5,80","1,55","0,49","0,41","0,72","0,23","-1,09","-2,07","1,18","0,51","1,13","0,56"
P/EBIT *,"15,81","10,11","9,07","5,15","5,37","9,20","1,98","1,59","0,57","-2,64","0,47","-1,35","-1,30","1,92","0,79","0,92","0,67"
PSR,"4,44","3,39","3,26","1,90","1,89","2,99","0,69","0,04","0,03","0,04","0,02","0,04","0,05","0,04","0,05","0,07","0,05"
P/Ativos,"1,67","0,80","0,81","0,43","0,43","0,20","0,06","0,03","0,03","0,03","0,02","0,03","0,04","0,03","0,03","0,04","0,04"
LPA,"2,57","2,42","2,55","2,72","17,47","6,00","1,44","1,25","1,81","1,56","0,35","-2,22","-1,33","0,77","0,36","0,03","0,73"
VPA,"12,69","14,78","13,99","13,56","11,50","9,42","10,59","10,19","7,53","8,49","7,59","1,71","4,28","5,91","7,19","6,84","6,76"
EBIT por ação,"3,17","3,07","3,08","3,95","26,07","1,82","1,88","3,28","3,20","1,84","3,20","-0,98","-0,57","0,73","1,93","1,16","1,84"
EBIT por ação *,"1,99","1,63","1,76","1,65","1,68","1,15","1,48","1,01","2,26","-0,50","1,55","-0,79","-0,92","0,45","1,24","1,43","1,53"
Ativo por ação,"18,82","20,60","19,64","19,93","21,01","53,19","51,42","51,91","49,98","43,58","46,84","38,90","33,78","33,18","30,11","29,55","27,77"
Receita líquida por ação,"7,08","4,86","4,89","4,47","4,76","3,54","4,23","35,93","37,68","29,34","33,24","27,66","22,32","22,61","19,08","17,82","22,68"
Margem bruta,"43,77%","55,10%","51,83%","54,06%","48,62%","48,92%","45,58%","14,68%","18,64%","13,15%","17,56%","12,03%","13,59%","17,75%","22,22%","22,98%","66,08%"
Margem líquida,"46,11%","64,37%","66,66%","80,09%","379,83%","182,37%","46,30%","4,47%","5,73%","6,14%","2,06%","-7,53%","-4,67%","4,57%","3,35%","1,47%","4,35%"
Margem EBIT,"44,75%","63,10%","63,05%","88,26%","547,73%","51,47%","44,58%","9,12%","8,49%","6,28%","9,63%","-3,55%","-2,58%","3,22%","10,12%","6,53%","8,11%"
Margem EBIT *,"28,09%","33,54%","35,92%","36,93%","35,27%","32,44%","34,90%","2,82%","6,00%","-1,70%","4,67%","-2,86%","-4,11%","1,98%","6,49%","8,01%","6,73%"
Margem EBITDA,"46,31%","65,46%","65,34%","91,29%","550,63%","54,73%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"29,65%","35,90%","38,20%","39,97%","38,16%","35,71%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"61,30%","83,06%","88,23%","113,24%","563,18%","51,66%","49,44%","4,76%","10,36%","4,54%","5,06%","-4,70%","-2,79%","7,45%","5,86%","3,06%","5,12%"
ROE,"20,18%","17,15%","18,52%","21,03%","123,15%","51,66%","14,40%","12,31%","20,90%","15,62%","6,31%","-43,08%","-13,85%","11,35%","6,18%","2,60%","10,00%"
ROA,"0,17","0,15","0,17","0,18","0,86","0,12","0,04","0,03","0,04","0,04","0,01","-0,05","-0,03","0,03","0,02","0,01","0,04"
ROIC,"25,16%","29,72%","31,21%","42,30%","241,84%","3,57%","4,46%","7,69%","7,42%","4,68%","7,75%","-2,98%","-2,08%","2,59%","7,15%","4,45%","7,28%"
ROIC *,"15,79%","15,80%","17,78%","17,70%","15,57%","2,25%","3,49%","2,38%","5,25%","-1,27%","3,76%","-2,40%","-3,31%","1,59%","4,58%","5,45%","6,04%"
Giro do ativo,"0,38","0,24","0,25","0,22","0,23","0,07","0,08","0,69","0,75","0,67","0,71","0,71","0,66","0,68","0,63","0,60","0,82"
EBIT *,143 mi,117 mi,126 mi,119 mi,121 mi,82 mi,106 mi,73 mi,163 mi,-37 mi,111 mi,-58 mi,-67 mi,32 mi,89 mi,102 mi,110 mi
