Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,01","-0,00","-0,01","-0,01","-0,08","0,17","-0,06","-0,02","-0,03","-0,04","-0,03","-0,12","-0,01","-0,07","-49,97","678,29","-2.082,74","-4.558,13"
P/VP,"-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,01","-0,00","-0,00","-0,01","-0,01","-0,03","-0,03","0,07","0,40","1,95","67,21","5.358,79"
P/EBIT,"-0,02","-0,02","-0,01","-0,04","0,04","0,03","-0,09","-0,05","-0,21","-0,13","-0,04","-0,19","-0,01","-0,07","-37,53","-40,85","-932,59","-4.156,99"
P/EBIT *,"0,72","-1,31","-0,14","-0,56","-0,95","-0,34","-1,69","-0,51","-0,21","-0,15","-0,07","-1,62","10,20","0,57","-65,42","-40,92","-932,59","-14.334,90"
PSR,"0,06","0,07","0,16","0,29","0,69","0,81","4,65","0,91","1,53","2,30","35,25","0,38","0,07","0,22","3,03","35,58","18.174,09",--
P/Ativos,"0,01","0,01","0,01","0,01","0,01","0,01","0,03","0,01","0,01","0,01","0,02","0,04","0,01","0,02","0,13","1,15","47,12","227,31"
LPA,"-275,36","-350,65","-506,81","-377,62","-91,39","38,93","-276,44","-180,29","-135,57","-183,19","-467,92","-195,52","-1.269,56","-734,27","-8,37","2,40","-24,49","-10,60"
VPA,"-3.234,82","-3.144,62","-2.794,87","-2.158,85","-1.783,31","-1.692,26","-1.730,83","-1.453,35","-1.272,92","-1.136,69","-969,95","-699,38","-514,08","702,51","1.033,16","834,58","758,79","9,01"
EBIT por ação,"-75,05","-77,30","-308,68","-110,74","177,23","264,93","-184,64","-66,96","-21,26","-59,57","-306,21","-123,28","-1.247,07","-728,99","-11,14","-39,90","-54,69","-11,62"
EBIT por ação *,"2,04","-1,30","-22,88","-7,46","-7,38","-20,22","-9,68","-6,82","-21,45","-52,46","-181,01","-14,21","1,67","91,98","-6,39","-39,83","-54,69","-3,37"
