Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"15,02","18,37","14,31","22,88","16,26","29,86",-,-
P/VP,"2,41","3,18","2,71","4,93","3,24","5,44",-,-
P/EBIT,"6,83","8,76","7,36","12,92","9,03","19,58",-,-
P/EBIT *,"7,36","9,51","8,22","14,65","9,39","21,26",-,-
PSR,"0,56","0,73","0,64","1,38","0,91","1,80",-,-
P/Ativos,"0,63","0,80","0,66","1,47","0,93","1,81",-,-
LPA,"0,88","0,91","0,87","0,85","0,69","0,53",-,-
VPA,"5,48","5,25","4,62","3,96","3,44","2,92",-,-
EBIT por ação,"1,93","1,91","1,70","1,51","1,24","0,81",-,-
EBIT por ação *,"1,79","1,76","1,52","1,33","1,19","0,75",-,-
Ativo por ação,"20,78","20,76","19,10","13,32","11,96","8,78",-,-
Receita líquida por ação,"23,48","22,97","19,64","14,13","12,25","8,79",-,-
Margem bruta,"14,66%","14,63%","15,14%","17,28%","16,55%","16,86%","19,04%","17,72%"
Margem líquida,"3,80%","4,02%","4,51%","6,08%","5,61%","6,04%","5,72%","4,92%"
Margem EBIT,"8,23%","8,30%","8,66%","10,71%","10,10%","9,21%","9,41%","8,73%"
Margem EBIT *,"7,63%","7,64%","7,75%","9,44%","9,71%","8,48%","9,43%","8,21%"
Margem EBITDA,"10,56%","10,72%","11,33%","12,95%","12,17%","11,12%","11,42%","9,15%"
Margem EBITDA *,"9,96%","10,07%","10,43%","11,69%","11,78%","10,40%","11,45%","8,63%"
Margem operacional,"5,37%","5,60%","6,46%","8,61%","8,39%","8,61%","8,42%","7,49%"
ROE,"16,17%","17,46%","19,09%","21,63%","19,95%","18,20%","38,26%","24,21%"
ROA,"0,04","0,04","0,05","0,06","0,06","0,06","0,06","0,06"
ROIC,"12,74%","12,72%","11,82%","15,00%","15,08%","12,53%","13,02%","14,65%"
ROIC *,"11,82%","11,71%","10,59%","13,22%","14,50%","11,54%","13,05%","13,78%"
Giro do ativo,"1,13","1,11","1,03","1,06","1,02","1,00","1,10","1,28"
EBIT *,1.348 mi,1.320 mi,1.145 mi,1.003 mi,894 mi,561 mi,466 mi,353 mi
EBITDA,1.864 mi,1.853 mi,1.673 mi,1.376 mi,1.122 mi,735 mi,564 mi,394 mi
EBITDA *,1.760 mi,1.740 mi,1.540 mi,1.242 mi,1.086 mi,687 mi,565 mi,372 mi
Liquidez corrente,"3,24","2,98","2,39","2,23","2,65","2,27","1,22","1,86"
Liquidez seca,"3,17","2,93","2,36","2,23","2,64","2,26","1,22","1,86"
Liquidez imediata,"1,38","1,33","0,46","0,40","0,45","0,43","0,42","0,79"
Dívida bruta,6.143 mi,6.220 mi,5.207 mi,3.030 mi,3.296 mi,2.064 mi,1.447 mi,1.227 mi
Dívida líquida,2.377 mi,2.328 mi,2.180 mi,774 mi,596 mi,424 mi,613 mi,485 mi
Capital de giro,6.090 mi,5.797 mi,4.401 mi,3.024 mi,3.237 mi,1.918 mi,388 mi,809 mi
Endividamento geral,"276,59%","292,89%","311,72%","235,28%","247,05%","200,60%","506,79%","285,10%"
