Conta,3T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"-0,24","3,14",-,-,-,-,-
P/VP,"0,90","0,36",-,-,-,-,-
P/EBIT,"-0,23","-2,85",-,-,-,-,-
P/EBIT *,"-4,43",--,-,-,-,-,-
PSR,"1,23","1,76",-,-,-,-,-
P/Ativos,"0,36","0,09",-,-,-,-,-
LPA,"-3,11","0,24",-,-,-,-,-
VPA,"0,83","2,06",-,-,-,-,-
EBIT por ação,"-3,22","-0,26",-,-,-,-,-
EBIT por ação *,"-0,17",--,-,-,-,-,-
Ativo por ação,"2,08","7,91",-,-,-,-,-
Receita líquida por ação,"0,61","0,43",-,-,-,-,-
Margem bruta,"92,02%","84,84%","89,39%","90,28%","90,18%","91,81%","91,93%"
Margem líquida,"-512,50%","56,03%","5,98%","-27,78%","-65,67%","-2,13%","-13,62%"
Margem EBIT,"-529,90%","-61,73%","-44,64%","-85,35%","-83,43%","-1,49%","-12,38%"
Margem EBIT *,"-27,86%","-40,85%","-31,61%","-86,28%","-82,23%","-1,49%","-12,23%"
Margem EBITDA,"-517,51%","-54,48%","-39,44%","-83,42%","-82,82%","-0,57%","-10,13%"
Margem EBITDA *,"-15,47%","-33,59%","-26,42%","-84,35%","-81,62%","-0,57%","-9,97%"
Margem operacional,"-575,24%","-36,59%","5,98%","-27,78%","-65,67%","-1,82%","-12,81%"
ROE,"-327,53%","10,95%","1,32%","-5,68%","-14,30%","17,21%","70,10%"
ROA,"-1,50","0,03","0,01","-0,05","-0,13","-0,11","-0,58"
ROIC,"-246,51%","-4,10%","-172,21%","-76,41%","-1.272,61%","-40,99%","-78,30%"
ROIC *,"-12,96%","-2,71%","-121,95%","-77,24%","-1.254,31%","-40,99%","-77,32%"
Giro do ativo,"0,29","0,05","0,21","0,19","0,20","5,14","4,22"
EBIT *,-24 mi,-25 mi,-20 mi,-50 mi,-52 mi,-1 mi,-3 mi
EBITDA,-444 mi,-33 mi,-25 mi,-48 mi,-52 mi,-1 mi,-3 mi
EBITDA *,-14 mi,-21 mi,-17 mi,-49 mi,-51 mi,-1 mi,-3 mi
Liquidez corrente,"3,05","1,34","17,70","12,99","15,14","0,55","0,37"
Liquidez seca,"3,05","1,34","17,70","12,99","15,14","0,55","0,37"
Liquidez imediata,"0,21","0,00","1,50","0,10","14,75","0,11","0,01"
Dívida bruta,98 mi,0 mi,1 mi,1 mi,0 mi,0 mi,0 mi
Dívida líquida,-3 mi,-206 mi,-275 mi,-228 mi,-294 mi,-2 mi,-1 mi
Capital de giro,122 mi,273 mi,270 mi,214 mi,281 mi,-6 mi,-6 mi
Endividamento geral,"118,56%","262,74%","6,19%","6,91%","6,93%","-257,42%","-221,79%"
