Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"550,04 M","633,89 M","667,69 M","655,32 M","486,79 M","486,79 M","470,64 M","673,29 M","972,95 M","979,00 M","1,20 B","1,17 B","1,25 B","1,36 B","1,32 B","1,32 B","863,49 M","902,83 M","826,25 M","429,38 M","398,81 M","377,20 M","66,53 M","51,91 M","41,20 M",0,"20,94 M"
Ativo circulante,"197,89 M","195,87 M","164,06 M","150,68 M","308,87 M","326,21 M","301,75 M","513,22 M","734,99 M","740,91 M","946,73 M","922,17 M","814,90 M","922,99 M","884,66 M","882,85 M","626,42 M","667,12 M","620,74 M","235,15 M","266,23 M","354,68 M","50,77 M","33,95 M","26,92 M",0,"16,61 M"
Caixa e eq. de caixa,"64,32 M","72,86 M","67,30 M","71,47 M","70,02 M","37,37 M","34,16 M","64,89 M","74,90 M","69,36 M","165,69 M","59,70 M","196,07 M","455,77 M","486,58 M","404,94 M","504,30 M","514,75 M","570,98 M","194,12 M","234,15 M","331,21 M","34,29 M","26,99 M","14,64 M",0,"11,13 M"
Aplicações financeiras,"27,04 M","16,25 M",0,0,"160,77 M","209,51 M","207,34 M","386,49 M","601,80 M","594,99 M","253,19 M","336,07 M","431,54 M","287,61 M","263,37 M","371,49 M",0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"82,44 M","83,88 M","55,29 M","31,38 M","40,66 M","40,10 M","21,91 M","26,84 M","20,93 M","43,80 M","19,53 M","32,57 M","24,27 M","31,18 M","38,06 M","47,40 M","77,69 M","112,47 M","30,74 M","28,59 M","24,18 M","17,89 M","6,35 M","5,50 M","10,73 M",0,"4,57 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"352,16 M","438,02 M","503,62 M","504,64 M","177,92 M","160,59 M","168,88 M","160,08 M","237,96 M","238,08 M","254,65 M","251,25 M","432,13 M","434,96 M","438,26 M","440,20 M","237,07 M","235,71 M","205,51 M","194,22 M","132,57 M","22,52 M","15,76 M","17,96 M","14,28 M",0,"4,33 M"
Investimentos,"2,90 M","2,90 M","2,90 M","2,90 M","2,90 M","2,90 M","2,90 M","2,90 M","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil","1,00 Mil",0,0,0,0,0,0
Imobilizado,"416,00 Mil","590,00 Mil","809,00 Mil","1,01 M","1,24 M","1,47 M","1,68 M","2,40 M","2,70 M","3,01 M","3,38 M","3,74 M","4,90 M","4,61 M","5,56 M","8,26 M","7,58 M","7,81 M","6,42 M","3,15 M","3,38 M","3,14 M","2,75 M","2,81 M","4,86 M",0,"2,24 M"
Intangível,"317,82 M","396,08 M","458,70 M","452,81 M","131,79 M","110,70 M","105,42 M","98,33 M","178,80 M","178,72 M","178,87 M","175,48 M","334,91 M","338,64 M","337,87 M","342,50 M","182,18 M","184,01 M","161,09 M","173,89 M","114,67 M","3,57 M","3,55 M","629,00 Mil","634,00 Mil",0,"892,00 Mil"
Passivo total,"550,04 M","633,89 M","667,69 M","655,32 M","486,79 M","486,79 M","470,64 M","673,29 M","972,95 M","979,00 M","1,20 B","1,17 B","1,25 B","1,36 B","1,32 B","1,32 B","863,49 M","902,83 M","826,25 M","429,38 M","398,81 M","377,20 M","66,53 M","51,91 M","41,20 M",0,"20,94 M"
Passivo circulante,"73,73 M","95,42 M","94,59 M","89,15 M","92,21 M","104,24 M","86,42 M","78,37 M","106,66 M","131,57 M","357,44 M","339,85 M","369,97 M","471,61 M","415,19 M","401,89 M","73,11 M","97,86 M","29,43 M","24,65 M","21,77 M","19,18 M","17,75 M","12,77 M","10,25 M",0,"12,26 M"
Fornecedores,"8,71 M","12,15 M","14,92 M","18,84 M","9,78 M","10,53 M","8,43 M","5,51 M","6,35 M","5,10 M","7,38 M","5,86 M","15,40 M","18,72 M","16,16 M","15,05 M","5,59 M","6,95 M","4,76 M","4,89 M","2,13 M","673,00 Mil","1,66 M","298,00 Mil","407,00 Mil",0,"280,00 Mil"
Empréstimos e financ.,0,0,"96,00 Mil","141,00 Mil","165,00 Mil",0,"155,00 Mil","440,00 Mil","395,00 Mil","350,00 Mil","351,00 Mil","326,00 Mil","451,00 Mil","132,00 Mil","181,00 Mil","876,00 Mil","890,00 Mil","965,00 Mil","985,00 Mil","291,00 Mil","830,00 Mil","209,00 Mil","7,44 M","2,58 M","1,43 M",0,0
Passivo não circulante,"18,20 M","20,38 M","22,82 M","30,43 M","36,18 M","33,08 M","60,26 M","61,73 M","63,07 M","64,94 M","56,02 M","53,72 M","86,87 M","87,14 M","118,82 M","117,51 M","106,32 M","109,49 M","67,45 M","37,47 M","3,10 M","538,00 Mil","6,00 M","3,56 M","1,86 M",0,"820,00 Mil"
Emprést. de longo prazo,0,0,"3,00 Mil","3,00 Mil","17,00 Mil",0,"96,00 Mil","389,00 Mil","454,00 Mil","496,00 Mil","639,00 Mil","779,00 Mil","779,00 Mil",0,0,"542,00 Mil","752,00 Mil","993,00 Mil","1,23 M","291,00 Mil","479,00 Mil",0,"5,79 M","2,83 M","933,00 Mil",0,0
Patrimônio líquido,"458,11 M","518,10 M","550,27 M","535,74 M","358,40 M","349,47 M","323,96 M","533,19 M","803,22 M","782,49 M","787,92 M","779,85 M","790,19 M","799,20 M","788,92 M","803,64 M","684,06 M","695,48 M","729,37 M","367,25 M","373,93 M","357,48 M","42,77 M","35,59 M","29,09 M",0,"7,86 M"
Aos não controladores,"6,33 M","6,61 M","5,84 M","6,84 M","5,81 M","7,00 M","4,06 M","3,85 M","4,94 M","6,01 M","7,18 M","9,27 M","10,85 M","12,74 M","12,43 M","13,66 M","13,70 M","16,57 M","15,52 M","15,68 M","15,01 M","2,35 M","2,45 M",--,--,0,--
