Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-669,15","-46,52","-46,85","-20,21","-76,67","235,01",-,-
P/VP,"0,81","1,08","1,12","1,45","4,27","13,06",-,-
P/EBIT,"21,32","-14,71","-12,24","-11,81","-42,72","162,79",-,-
P/EBIT *,"21,32","-14,71","-12,24","-11,81","-42,72","162,79",-,-
PSR,"0,90","1,01","2,66","3,57","11,00","36,98",-,-
P/Ativos,"0,66","0,76","0,89","0,84","3,21","12,29",-,-
LPA,"-0,01","-0,07","-0,16","-0,50","-0,33","0,17",-,-
VPA,"4,52","3,02","6,86","6,95","6,00","3,14",-,-
EBIT por ação,"0,17","-0,22","-0,63","-0,86","-0,60","0,25",-,-
EBIT por ação *,"0,17","-0,22","-0,63","-0,86","-0,60","0,25",-,-
Ativo por ação,"5,60","4,30","8,65","11,99","7,97","3,33",-,-
Receita líquida por ação,"4,06","3,22","2,88","2,83","2,33","1,11",-,-
Margem bruta,"4,24%","-6,90%","-21,76%","-30,26%","-25,75%","22,71%","10,56%","-17,34%"
Margem líquida,"-0,25%","-3,11%","-7,82%","-18,16%","-13,03%","15,66%","18,45%","-16,88%"
Margem EBIT,"4,24%","-6,90%","-21,76%","-30,26%","-25,75%","22,71%","10,56%","-17,34%"
Margem EBIT *,"4,24%","-6,90%","-21,76%","-30,26%","-25,75%","22,71%","10,56%","-17,34%"
Margem EBITDA,"8,08%","-3,86%","-15,69%","-25,98%","-24,02%","24,13%",--%,--%
Margem EBITDA *,"8,08%","-3,86%","-15,69%","-25,98%","-24,02%","24,13%",--%,--%
Margem operacional,"6,66%","4,69%","-6,05%","-14,78%","-19,48%","22,51%","10,20%","-16,88%"
ROE,"-0,22%","-3,24%","-3,27%","-7,28%","-4,94%","5,49%","65,67%","-95,66%"
ROA,"-0,00","-0,02","-0,03","-0,04","-0,04","0,05","0,40","-0,36"
ROIC,"3,66%","-10,97%","-22,96%","-16,26%","-17,80%","62,84%","31,27%","-81,06%"
ROIC *,"3,66%","-10,97%","-22,96%","-16,26%","-17,80%","62,84%","31,27%","-81,06%"
Giro do ativo,"0,73","0,75","0,33","0,24","0,29","0,33","2,16","2,13"
EBIT *,19 mi,-26 mi,-72 mi,-97 mi,-68 mi,28 mi,8 mi,-8 mi
EBITDA,37 mi,-15 mi,-52 mi,-84 mi,-64 mi,30 mi,--,--
EBITDA *,37 mi,-15 mi,-52 mi,-84 mi,-64 mi,30 mi,--,--
Liquidez corrente,"2,05","3,13","5,63","1,96","6,82","18,49","1,80","1,35"
Liquidez seca,"2,05","3,13","5,63","1,96","6,82","18,49","1,80","1,35"
Liquidez imediata,"0,76","0,36","0,53","0,97","5,26","17,27","0,82","0,91"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,1 mi,0 mi,0 mi,0 mi
Dívida líquida,-90 mi,-247 mi,-664 mi,-744 mi,-513 mi,-331 mi,0 mi,-12 mi
Capital de giro,100 mi,221 mi,609 mi,451 mi,569 mi,335 mi,9 mi,4 mi
Endividamento geral,"22,35%","39,29%","25,11%","69,91%","29,81%","5,52%","65,16%","166,36%"
