Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"13,47","14,22","9,65","16,72","20,56","19,62","40,57","25,68","23,63","31,04","32,84","33,03","32,84","51,19","28,29","37,40","28,92","49,43"
P/VP,"1,65","1,74","1,12","1,39","2,36","3,72","5,95","4,56","4,48","5,83","4,89","2,14","1,79","1,85","1,77","2,31","3,72","4,92"
P/EBIT,"6,81","7,14","4,97","7,74","8,61","10,29","21,78","14,32","15,57","20,87","22,17","15,05","14,52","18,46","14,06","26,69","22,30","27,85"
P/EBIT *,"6,65","7,00","4,90","7,76","8,89","10,63","21,33","14,12","15,28","20,76","21,00","12,63","14,79","20,07","14,17","22,60","22,39","30,32"
PSR,"1,01","1,05","0,77","1,10","1,42","1,77","3,51","2,76","2,94","4,18","3,58","1,87","1,68","1,89","2,01","3,34","4,31","5,36"
P/Ativos,"0,64","0,66","0,46","0,61","0,81","1,13","1,89","1,57","2,00","2,82","2,50","1,11","0,92","0,97","1,10","1,32","2,83","3,29"
LPA,"1,16","1,12","1,13","0,77","0,56","0,64","0,47","0,57","0,61","0,59","0,42","0,20","0,16","0,11","0,19","0,18","0,24","0,15"
VPA,"9,47","9,14","9,67","9,29","4,90","3,37","3,20","3,21","3,20","3,12","2,81","3,03","2,87","3,09","3,12","2,98","1,85","1,53"
EBIT por ação,"2,29","2,23","2,19","1,67","1,34","1,22","0,87","1,02","0,92","0,87","0,62","0,43","0,35","0,31","0,39","0,26","0,31","0,27"
EBIT por ação *,"2,35","2,28","2,22","1,67","1,30","1,18","0,89","1,04","0,94","0,88","0,65","0,51","0,35","0,28","0,39","0,30","0,31","0,25"
Ativo por ação,"24,35","24,16","23,87","21,16","14,24","11,10","10,08","9,31","7,15","6,45","5,49","5,86","5,62","5,87","5,00","5,19","2,43","2,30"
Receita líquida por ação,"15,53","15,15","14,04","11,83","8,16","7,08","5,43","5,31","4,87","4,36","3,83","3,46","3,07","3,03","2,74","2,06","1,59","1,41"
Margem bruta,"26,61%","26,61%","27,89%","26,89%","27,11%","29,10%","27,25%","30,58%","30,34%","30,89%","28,67%","26,54%","23,82%","22,45%","26,85%","31,99%","36,67%","41,35%"
Margem líquida,"7,28%","7,20%","7,86%","6,50%","6,92%","9,08%","8,65%","10,75%","12,44%","13,45%","10,91%","5,66%","5,11%","3,69%","7,10%","8,94%","14,92%","10,85%"
Margem EBIT,"14,77%","14,73%","15,59%","14,15%","16,47%","17,23%","16,11%","19,28%","18,89%","20,01%","16,17%","12,44%","11,56%","10,23%","14,28%","12,53%","19,35%","19,26%"
Margem EBIT *,"15,12%","15,03%","15,81%","14,11%","15,95%","16,68%","16,45%","19,55%","19,25%","20,12%","17,07%","14,81%","11,35%","9,41%","14,17%","14,80%","19,27%","17,70%"
Margem EBITDA,"20,13%","25,59%","25,74%","24,59%","26,67%","27,28%","28,17%","30,31%","25,99%","26,00%","23,10%","18,90%","18,36%","16,79%","20,96%","17,73%","23,13%","23,29%"
Margem EBITDA *,"20,48%","25,89%","25,96%","24,54%","26,15%","26,73%","28,51%","30,58%","26,36%","26,11%","24,00%","21,27%","18,15%","15,98%","20,84%","20,00%","23,05%","21,72%"
Margem operacional,"9,13%","9,08%","10,23%","8,21%","9,08%","12,81%","11,47%","14,67%","16,93%","17,95%","14,04%","9,10%","8,55%","6,71%","10,38%","11,84%","22,41%","16,50%"
ROE,"11,72%","11,71%","11,23%","8,23%","11,43%","18,95%","14,68%","17,76%","18,95%","18,79%","14,90%","6,48%","5,45%","3,62%","6,25%","6,17%","12,85%","9,96%"
ROA,"0,05","0,05","0,05","0,04","0,04","0,06","0,05","0,06","0,08","0,09","0,08","0,03","0,03","0,02","0,04","0,04","0,10","0,07"
ROIC,"12,03%","11,90%","11,96%","9,13%","12,01%","13,56%","11,34%","13,66%","17,31%","17,62%","13,80%","9,54%","7,87%","6,60%","8,63%","6,18%","22,67%","21,69%"
ROIC *,"12,31%","12,15%","12,13%","9,10%","11,63%","13,13%","11,58%","13,85%","17,64%","17,71%","14,57%","11,36%","7,72%","6,08%","8,56%","7,30%","22,58%","19,92%"
Giro do ativo,"0,64","0,63","0,59","0,56","0,57","0,64","0,54","0,57","0,68","0,68","0,70","0,59","0,55","0,52","0,55","0,40","0,66","0,61"
EBIT *,1.285 mi,1.245 mi,1.214 mi,912 mi,711 mi,645 mi,488 mi,568 mi,512 mi,479 mi,357 mi,280 mi,190 mi,155 mi,212 mi,166 mi,167 mi,136 mi
EBITDA,1.710 mi,2.121 mi,1.977 mi,1.591 mi,1.190 mi,1.056 mi,837 mi,880 mi,692 mi,619 mi,484 mi,358 mi,308 mi,278 mi,314 mi,199 mi,201 mi,179 mi
EBITDA *,1.740 mi,2.146 mi,1.994 mi,1.588 mi,1.167 mi,1.035 mi,847 mi,888 mi,702 mi,622 mi,503 mi,403 mi,304 mi,264 mi,313 mi,225 mi,200 mi,167 mi
Liquidez corrente,"2,14","1,97","2,51","1,66","1,94","1,44","1,70","1,99","2,30","1,98","2,28","2,71","3,84","4,05","2,72","2,21","5,89","3,87"
Liquidez seca,"2,07","1,89","2,42","1,58","1,86","1,38","1,64","1,95","2,25","1,95","2,20","2,67","3,79","3,99","2,64","2,16","5,81","3,80"
Liquidez imediata,"0,00","0,01","0,01","0,01","0,01","0,03","0,03","0,01","0,09","0,53","0,77","1,23","1,91","2,08","0,74","1,28","4,08","2,84"
Dívida bruta,5.357 mi,5.271 mi,5.391 mi,4.241 mi,3.678 mi,2.948 mi,2.689 mi,1.556 mi,1.259 mi,1.054 mi,832 mi,990 mi,1.038 mi,984 mi,560 mi,589 mi,90 mi,132 mi
Dívida líquida,3.206 mi,3.109 mi,3.049 mi,3.316 mi,2.368 mi,2.151 mi,1.647 mi,752 mi,450 mi,383 mi,425 mi,360 mi,533 mi,444 mi,379 mi,103 mi,-454 mi,-396 mi
Capital de giro,2.474 mi,2.175 mi,2.632 mi,1.116 mi,1.157 mi,535 mi,770 mi,738 mi,809 mi,627 mi,524 mi,714 mi,752 mi,794 mi,419 mi,458 mi,650 mi,533 mi
Endividamento geral,"152,49%","159,41%","143,03%","126,57%","188,47%","227,52%","214,98%","189,75%","123,46%","106,70%","95,73%","93,56%","95,66%","90,12%","60,51%","74,15%","31,27%","49,72%"
