Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"17,25","19,03","15,23","25,24","35,54","62,69","294,28",-,-
P/VP,"4,03","4,61","2,37","2,29","1,98","7,27","9,26",-,-
P/EBIT,"7,60","9,02","7,88","9,26","10,89","26,92","76,99",-,-
P/EBIT *,"7,82","9,08","7,88","8,51","10,02","25,63","69,19",-,-
PSR,"1,39","1,60","1,16","1,11","1,85","4,85","8,98",-,-
P/Ativos,"0,73","0,84","0,57","0,57","0,49","1,88","2,76",-,-
LPA,"2,02","2,05","1,68","0,89","0,52","0,69","0,19",-,-
VPA,"8,64","8,45","10,79","9,85","9,37","5,93","5,95",-,-
EBIT por ação,"4,58","4,32","3,25","2,43","1,70","1,60","0,72",-,-
EBIT por ação *,"4,45","4,29","3,25","2,64","1,85","1,68","0,80",-,-
Ativo por ação,"47,95","46,54","44,82","39,46","37,86","22,92","19,94",-,-
Receita líquida por ação,"24,94","24,34","22,09","20,32","10,04","8,90","6,13",-,-
Margem bruta,"22,21%","21,85%","18,71%","16,28%","22,63%","23,60%","18,30%","26,13%","25,70%"
Margem líquida,"8,38%","8,69%","7,78%","4,54%","5,49%","8,23%","3,27%","8,95%","10,81%"
Margem EBIT,"18,34%","17,74%","14,71%","11,97%","16,96%","18,00%","11,67%","20,84%","20,86%"
Margem EBIT *,"17,83%","17,64%","14,70%","13,02%","18,44%","18,91%","12,99%","22,39%","21,71%"
Margem EBITDA,"19,93%","21,03%","17,94%","15,19%","23,07%","24,03%","17,69%","26,16%","24,46%"
Margem EBITDA *,"19,41%","20,92%","17,93%","16,24%","24,55%","24,94%","19,01%","27,71%","25,31%"
Margem operacional,"10,53%","10,65%","9,69%","5,48%","5,77%","9,97%","3,45%","12,76%","15,07%"
ROE,"21,42%","22,40%","14,73%","8,87%","5,56%","11,43%","3,28%","21,89%","26,05%"
ROA,"0,04","0,05","0,04","0,02","0,01","0,03","0,01","0,04","0,06"
ROIC,"15,69%","15,39%","11,92%","9,72%","7,08%","9,42%","5,63%","13,01%","15,77%"
ROIC *,"15,25%","15,30%","11,91%","10,57%","7,70%","9,90%","6,26%","13,98%","16,40%"
Giro do ativo,"0,52","0,52","0,49","0,51","0,27","0,39","0,31","0,50","0,57"
EBIT *,10.178 mi,9.828 mi,7.435 mi,6.054 mi,4.238 mi,3.853 mi,1.821 mi,2.982 mi,2.369 mi
EBITDA,11.376 mi,11.718 mi,9.073 mi,7.065 mi,5.302 mi,4.897 mi,2.481 mi,3.484 mi,2.670 mi
EBITDA *,11.081 mi,11.660 mi,9.069 mi,7.554 mi,5.643 mi,5.082 mi,2.666 mi,3.691 mi,2.762 mi
Liquidez corrente,"2,86","2,79","2,88","3,03","2,75","4,25","5,81","3,61","3,69"
Liquidez seca,"2,80","2,73","2,83","2,98","2,70","4,11","5,65","3,49","3,56"
Liquidez imediata,"0,28","0,19","0,37","0,23","0,08","0,02","0,04","0,03","0,09"
Dívida bruta,48.516 mi,46.234 mi,38.870 mi,34.585 mi,32.883 mi,27.629 mi,23.938 mi,15.406 mi,11.846 mi
Dívida líquida,7.254 mi,5.673 mi,232 mi,2.854 mi,2.536 mi,15.075 mi,8.211 mi,10.636 mi,7.789 mi
Capital de giro,35.656 mi,34.506 mi,33.505 mi,28.885 mi,25.872 mi,16.740 mi,18.570 mi,7.036 mi,5.873 mi
Endividamento geral,"391,46%","392,80%","284,23%","279,02%","281,71%","257,55%","226,07%","388,78%","320,27%"
