Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-4,10","-2,71","-48,17","8,17","5,74","1,59","27,42","27,09","16,30","53,24","-12,61","-1,27","167,04","-65,45","-15,91","85,48","17,87","16,75"
P/VP,"0,52","0,40","0,29","0,48","0,40","0,66","1,24","0,41","0,83","0,90","0,62","0,31","1,29","0,55","0,68","1,15","1,61","1,36"
P/EBIT,"-7,48","-6,12","14,07","14,22","3,48","1,25","6,30","6,06","10,37","14,04","-38,11","-1,14","30,62","13,23","-36,54","28,76","14,32","18,16"
P/EBIT *,"12,59","9,10","11,94","17,39","2,08","1,41","7,59","4,98","8,24","12,66","-60,49","-7,84","88,59","16,23","-30,02","61,25","17,23","28,69"
PSR,"0,42","0,32","0,27","0,41","0,29","0,43","1,15","0,39","0,86","1,16","1,00","0,40","1,84","0,72","0,88","1,67","2,17","1,95"
P/Ativos,"0,31","0,23","0,18","0,28","0,23","0,36","0,62","0,22","0,45","0,48","0,32","0,15","0,71","0,30","0,34","0,60","0,88","0,82"
LPA,"-2,08","-2,46","-0,12","1,11","1,29","7,24","0,54","0,17","0,58","0,19","-0,53","-2,58","0,10","-0,11","-0,56","0,19","1,25","1,02"
VPA,"16,39","16,61","19,06","19,04","18,48","17,36","11,86","11,21","11,38","10,99","10,80","10,70","13,34","13,34","13,25","13,79","13,91","12,49"
EBIT por ação,"-1,14","-1,09","0,40","0,64","2,13","9,17","2,34","0,76","0,91","0,71","-0,18","-2,90","0,56","0,56","-0,25","0,55","1,56","0,94"
EBIT por ação *,"0,68","0,73","0,47","0,52","3,56","8,14","1,94","0,93","1,15","0,78","-0,11","-0,42","0,19","0,46","-0,30","0,26","1,30","0,59"
Ativo por ação,"27,74","28,48","31,82","32,05","31,92","31,51","23,90","21,02","21,17","20,74","20,95","22,15","24,33","25,02","26,15","26,62","25,37","20,70"
Receita líquida por ação,"20,17","20,96","20,64","22,06","25,91","26,92","12,84","11,93","10,96","8,57","6,75","8,13","9,37","10,24","10,14","9,50","10,34","8,72"
Margem bruta,"8,39%","8,32%","6,42%","6,47%","17,49%","33,42%","20,24%","12,54%","16,13%","15,23%","5,76%","1,69%","8,83%","11,50%","3,79%","10,87%","19,52%","13,58%"
