Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"9,81","11,07","7,17","4,97","6,33","4,44","-81,87",-,-
P/VP,"0,16","0,17","0,17","0,32","0,21","0,37","1,55",-,-
P/EBIT,"0,83","0,90","1,21","1,51","1,78","2,24","19,47",-,-
P/EBIT *,"0,83","0,88","1,21","1,45","1,64","2,20","23,37",-,-
PSR,"0,53","0,57","2,10","4,27","2,83","7,89","22,02",-,-
P/Ativos,"0,06","0,06","0,07","0,14","0,09","0,18","0,65",-,-
LPA,"0,29","0,27","0,46","1,28","0,61","1,51","-0,20",-,-
VPA,"17,54","17,76","20,05","19,62","18,69","18,35","10,68",-,-
EBIT por ação,"3,43","3,27","2,73","4,20","2,18","3,00","0,85",-,-
EBIT por ação *,"3,43","3,34","2,74","4,38","2,36","3,05","0,71",-,-
Ativo por ação,"47,38","49,32","49,33","45,44","41,50","36,52","25,33",-,-
Receita líquida por ação,"5,35","5,16","1,58","1,49","1,37","0,85","0,75",-,-
Margem bruta,"39,39%","39,26%","79,75%","81,03%","84,17%","84,02%","84,53%","88,90%","91,54%"
Margem líquida,"18,51%","18,18%","83,15%","174,22%","85,53%","205,32%","-35,43%","409,85%","334,53%"
Margem EBIT,"64,13%","63,40%","172,98%","282,73%","159,43%","352,14%","113,07%","477,13%","424,65%"
Margem EBIT *,"64,23%","64,70%","173,69%","294,80%","173,12%","357,96%","94,22%","363,63%","349,90%"
Margem EBITDA,"64,81%","64,72%","175,77%","284,02%","160,08%","352,85%","113,74%","479,13%","426,83%"
Margem EBITDA *,"64,92%","66,03%","176,48%","296,08%","173,77%","358,67%","94,89%","365,62%","352,07%"
Margem operacional,"29,26%","29,07%","93,45%","219,62%","104,50%","239,30%","22,25%","408,02%","356,73%"
ROE,"3,87%","3,56%","4,59%","9,78%","4,87%","7,68%","-2,01%","20,11%","18,10%"
ROA,"0,02","0,02","0,03","0,06","0,03","0,05","-0,01","0,12","0,11"
ROIC,"7,60%","6,85%","5,72%","9,67%","5,66%","9,48%","3,51%","14,60%","14,75%"
ROIC *,"7,61%","6,99%","5,74%","10,08%","6,15%","9,63%","2,92%","11,12%","12,16%"
Giro do ativo,"0,11","0,10","0,03","0,03","0,03","0,02","0,03","0,03","0,03"
EBIT *,354 mi,344 mi,283 mi,452 mi,243 mi,314 mi,72 mi,247 mi,200 mi
EBITDA,357 mi,344 mi,286 mi,435 mi,225 mi,310 mi,87 mi,325 mi,244 mi
EBITDA *,358 mi,351 mi,287 mi,454 mi,244 mi,315 mi,73 mi,248 mi,201 mi
Liquidez corrente,"0,72","1,78","1,64","1,65","1,20","2,39","0,61","1,78","0,85"
Liquidez seca,"0,72","1,78","1,64","1,65","1,20","2,39","0,61","1,78","0,85"
Liquidez imediata,"0,02","0,05","0,09","0,07","0,14","0,21","0,39","0,63","0,47"
Dívida bruta,1.555 mi,1.683 mi,1.526 mi,1.246 mi,1.169 mi,1.067 mi,884 mi,729 mi,415 mi
Dívida líquida,1.334 mi,1.540 mi,1.373 mi,1.057 mi,863 mi,574 mi,769 mi,596 mi,372 mi
Capital de giro,-167 mi,295 mi,187 mi,184 mi,61 mi,329 mi,-100 mi,73 mi,-15 mi
Endividamento geral,"85,41%","87,19%","72,59%","71,67%","73,12%","60,25%","91,68%","70,03%","59,79%"
