Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,2T2010
Ativo total,"3,82 B","3,74 B","3,83 B","3,84 B","3,97 B","3,94 B","3,86 B","3,61 B","3,34 B","3,28 B","3,46 B","3,51 B","3,33 B","3,37 B","3,48 B","3,35 B","3,49 B","3,63 B","3,57 B","3,43 B","2,86 B","2,18 B","2,14 B","2,04 B","1,93 B","1,52 B","1,47 B","1,36 B","1,31 B","1,29 B","1,30 B","1,18 B","975,08 M","920,31 M","885,41 M","883,29 M","848,55 M","820,75 M","883,29 M","855,00 M","896,65 M","913,04 M","1,00 B","1,02 B","867,51 M","807,65 M","790,38 M","828,38 M","809,97 M","793,94 M","759,22 M","770,83 M","730,72 M","729,16 M","729,37 M","735,76 M","748,48 M","735,27 M","763,29 M","751,27 M","710,02 M"
Ativo circulante,"1,20 B","1,07 B","1,19 B","1,18 B","1,25 B","1,10 B","1,16 B","1,10 B","1,22 B","1,10 B","1,27 B","1,35 B","1,36 B","1,28 B","1,45 B","1,59 B","1,79 B","1,78 B","1,94 B","1,76 B","1,22 B","734,08 M","662,29 M","642,46 M","556,47 M","479,15 M","464,28 M","440,83 M","415,85 M","401,03 M","396,73 M","372,28 M","240,18 M","209,35 M","183,44 M","171,10 M","159,38 M","253,23 M","171,10 M","264,88 M","299,28 M","325,21 M","423,58 M","448,84 M","211,65 M","189,75 M","188,59 M","238,09 M","234,07 M","223,38 M","270,94 M","271,56 M","259,62 M","275,51 M","209,40 M","219,16 M","240,43 M","224,30 M","261,36 M","251,01 M","245,97 M"
Caixa e eq. de caixa,"73,25 M","38,32 M","218,88 M","142,91 M","64,11 M","28,22 M","157,84 M","170,95 M","201,15 M","196,11 M","344,63 M","383,84 M","225,04 M","294,12 M","435,84 M","435,49 M","584,25 M","899,71 M","1,19 B","1,06 B","387,16 M","163,82 M","224,17 M","171,04 M","72,70 M","89,61 M","112,46 M","106,63 M","55,00 M","66,24 M","67,83 M","104,31 M","16,78 M","21,42 M","27,01 M","43,80 M","18,61 M","39,59 M","43,80 M","54,20 M","90,92 M","119,44 M","124,33 M","75,62 M","34,67 M","21,88 M","28,56 M","86,75 M","44,19 M","63,52 M","111,01 M","75,69 M","79,16 M","44,57 M","53,82 M","67,46 M","99,70 M","88,30 M","121,73 M","135,62 M","206,20 M"
Aplicações financeiras,"20,79 M","16,32 M","17,34 M","16,91 M","17,11 M","19,33 M","22,92 M","22,94 M","24,47 M","23,97 M","34,82 M","28,20 M","26,32 M","26,25 M","55,67 M","94,87 M",0,0,0,0,0,0,0,0,"7,03 M","3,93 M","4,04 M","4,04 M","4,54 M","10,04 M","23,67 M","11,21 M","1,15 M","1,05 M","3,73 M","6,97 M","1,59 M","97,56 M","6,97 M","113,56 M","90,05 M","66,67 M","154,60 M","273,26 M","2,77 M","18,36 M","35,94 M","21,53 M","12,74 M","909,00 Mil","11,03 M","9,24 M","20,00 M","32,72 M",0,0,0,0,0,0,0
Contas a receber,"409,68 M","384,35 M","380,38 M","429,46 M","494,61 M","425,60 M","526,83 M","415,00 M","368,18 M","330,03 M","420,56 M","430,04 M","354,19 M","282,03 M","337,11 M","442,31 M","441,96 M","325,67 M","291,81 M","193,09 M","233,97 M","227,34 M","206,63 M","184,05 M","152,61 M","139,15 M","158,58 M","127,31 M","83,39 M","116,38 M","136,23 M","96,84 M","67,78 M","76,87 M","86,75 M","55,32 M","29,33 M","27,58 M","55,32 M","32,14 M","31,39 M","45,66 M","52,27 M","47,20 M","63,39 M","44,43 M","49,35 M","66,17 M","60,17 M","41,52 M","46,66 M","131,88 M","42,05 M","72,11 M","28,10 M","61,37 M","29,54 M","22,15 M","22,47 M","25,97 M","17,77 M"
Estoques,"257,37 M","189,27 M","350,41 M","293,52 M","306,98 M","183,22 M","287,77 M","233,54 M","230,97 M","156,59 M","290,54 M","213,68 M","258,31 M","203,45 M","341,93 M","289,90 M","315,37 M","125,62 M","234,77 M","265,86 M","188,54 M","72,18 M","127,25 M","138,78 M","82,13 M","42,42 M","90,88 M","97,07 M","104,88 M","37,92 M","55,65 M","69,62 M","32,08 M","21,23 M","22,33 M","22,66 M","11,40 M","11,56 M","22,66 M","18,20 M","22,43 M","27,68 M","28,24 M","32,23 M","21,11 M","18,59 M","40,57 M","40,21 M","31,51 M","28,43 M","60,20 M","28,80 M","28,40 M","39,30 M","73,59 M","72,56 M","43,38 M","53,72 M","87,89 M","77,48 M","16,03 M"
Ativos biológicos,"381,02 M","405,68 M","175,03 M","265,44 M","338,41 M","396,63 M","121,73 M","210,34 M","295,21 M","342,44 M","138,37 M","216,92 M","368,83 M","403,72 M","208,28 M","264,98 M","371,16 M","410,85 M","202,90 M","210,49 M","350,13 M","228,27 M","97,52 M","115,55 M","203,63 M","196,61 M","92,67 M","99,88 M","152,23 M","153,53 M","78,89 M","61,99 M","118,58 M","84,06 M","40,50 M","38,26 M","81,05 M","51,68 M","38,26 M","22,29 M","29,62 M","36,51 M","6,28 M","1,62 M","68,80 M","64,79 M","10,43 M","1,42 M","63,58 M","66,11 M","9,03 M","1,20 M","66,05 M","65,70 M","21,32 M","4,11 M","58,28 M","44,35 M","9,37 M","1,33 M","1,00 M"
Ativo não circulante,"2,62 B","2,66 B","2,64 B","2,66 B","2,72 B","2,84 B","2,70 B","2,51 B","2,12 B","2,19 B","2,19 B","2,16 B","1,97 B","2,09 B","2,03 B","1,76 B","1,70 B","1,85 B","1,63 B","1,67 B","1,64 B","1,44 B","1,48 B","1,40 B","1,38 B","1,04 B","1,01 B","916,79 M","895,17 M","890,22 M","905,74 M","807,32 M","734,90 M","710,96 M","701,97 M","712,19 M","689,18 M","567,52 M","712,19 M","590,12 M","597,38 M","587,83 M","578,57 M","569,00 M","655,86 M","617,90 M","601,79 M","590,29 M","575,90 M","570,56 M","488,27 M","499,27 M","471,10 M","453,65 M","519,98 M","516,61 M","508,06 M","510,97 M","501,93 M","500,26 M","464,05 M"
Investimentos,"1,33 M","1,33 M","1,33 M","1,33 M","2,73 M","2,73 M","2,73 M","2,73 M","2,59 M","2,59 M","2,59 M","2,59 M","7,64 M","7,64 M","7,64 M","7,64 M","7,70 M","7,70 M","5,70 M","5,61 M","5,94 M","5,64 M","5,75 M","5,74 M","5,72 M","5,38 M","3,41 M","1,26 M","558,22 M","552,80 M","89,00 Mil","86,00 Mil","100,00 Mil","99,98 M","96,39 M","101,43 M","97,83 M","102,11 M","101,43 M","102,95 M","110,06 M","121,36 M","125,75 M","99,73 M","103,05 M","74,94 M","70,41 M","50,37 M","43,75 M","42,04 M","70,00 Mil","70,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil","410,00 Mil"
Imobilizado,"494,76 M","502,85 M","510,18 M","512,76 M","524,60 M","527,23 M","516,93 M","435,97 M","310,61 M","306,13 M","307,81 M","316,34 M","301,15 M","311,85 M","289,08 M","246,09 M","186,29 M","190,80 M","180,12 M","190,42 M","193,72 M","190,51 M","196,66 M","217,02 M","230,76 M","216,50 M","191,09 M","107,85 M","101,16 M","87,88 M","83,95 M","84,83 M","72,02 M","58,52 M","55,85 M","54,74 M","44,24 M","26,05 M","54,74 M","27,80 M","8,98 M","10,25 M","10,51 M","10,60 M","12,04 M","12,48 M","13,12 M","13,54 M","13,82 M","14,55 M","14,81 M","14,85 M","13,72 M","14,60 M","15,30 M","15,63 M","16,53 M","16,78 M","16,23 M","12,90 M","7,22 M"
