Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,92","9,00","4,90","4,57","3,99","3,81","9,09","-5,65","-1.788,19","-2,75","-38,91","749,71","8,96","7,22","9,61","290,28","104,85","158,25"
P/VP,"1,23","1,50","1,09","1,37","1,34","1,14","1,07","1,34","1,30","0,87","0,94","0,94","1,02","1,00","0,56","5,85","7,71","7,85"
P/EBIT,"4,47","4,86","4,54","3,18","2,60","2,50","5,10","2,19","3,06","51,85","5,83","3,97","5,09","4,46","3,37","46,72","43,14","105,77"
P/EBIT *,"4,43","4,79","3,99","3,92","2,60","2,46","5,14","3,65","2,87","3,73","5,64","3,93","4,83","5,51","3,00","50,55","43,20","209,50"
PSR,"1,08","1,29","0,96","1,10","0,90","0,68","0,82","0,50","0,50","0,35","0,54","0,49","0,69","0,80","0,52","5,76","8,14","9,92"
P/Ativos,"0,47","0,55","0,41","0,51","0,43","0,46","0,47","0,28","0,26","0,20","0,25","0,22","0,30","0,30","0,21","2,30","3,15","3,27"
LPA,"0,88","1,05","1,32","1,66","1,64","1,24","0,40","-0,35","-0,00","-0,47","-0,05","0,00","0,25","0,29","0,11","0,04","0,15","0,10"
VPA,"6,38","6,30","5,93","5,55","4,88","4,15","3,41","1,46","1,33","1,48","1,93","1,72","2,16","2,12","1,97","2,01","2,03","1,92"
EBIT por ação,"1,75","1,94","1,43","2,39","2,52","1,89","0,72","0,89","0,57","0,02","0,31","0,41","0,43","0,47","0,33","0,25","0,36","0,14"
EBIT por ação *,"1,77","1,97","1,62","1,94","2,52","1,92","0,71","0,53","0,60","0,35","0,32","0,41","0,46","0,38","0,37","0,23","0,36","0,07"
Ativo por ação,"16,69","17,14","15,71","15,04","15,25","10,26","7,87","6,85","6,62","6,52","7,29","7,20","7,28","7,08","5,24","5,13","4,97","4,61"
Receita líquida por ação,"7,26","7,32","6,75","6,92","7,32","6,97","4,47","3,90","3,47","3,73","3,37","3,29","3,20","2,62","2,10","2,05","1,92","1,52"
Margem bruta,"39,03%","41,53%","40,25%","43,07%","47,91%","39,36%","31,60%","29,86%","33,37%","26,29%","27,13%","29,24%","30,15%","30,82%","34,74%","29,23%","39,16%","24,71%"
Margem líquida,"12,12%","14,35%","19,58%","24,05%","22,42%","17,77%","9,01%","-8,86%","-0,03%","-12,59%","-1,39%","0,07%","7,66%","11,16%","5,46%","1,98%","7,76%","6,27%"
Margem EBIT,"24,18%","26,56%","21,15%","34,59%","34,38%","27,14%","16,08%","22,82%","16,32%","0,67%","9,26%","12,33%","13,50%","18,05%","15,56%","12,32%","18,87%","9,38%"
Margem EBIT *,"24,41%","26,99%","24,06%","28,07%","34,40%","27,54%","15,93%","13,71%","17,40%","9,29%","9,58%","12,43%","14,22%","14,59%","17,46%","11,39%","18,84%","4,74%"
Margem EBITDA,"29,89%","38,70%","33,70%","41,65%","40,49%","32,90%","23,58%","36,42%","31,05%","11,79%","25,33%","22,83%","23,28%","27,28%","27,98%","24,10%","30,39%","27,18%"
Margem EBITDA *,"30,13%","39,13%","36,61%","35,14%","40,51%","33,30%","23,43%","27,30%","32,13%","20,41%","25,65%","22,93%","23,99%","23,83%","29,88%","23,16%","30,36%","22,53%"
Margem operacional,"16,07%","18,80%","14,08%","31,73%","30,73%","24,30%","10,68%","-3,29%","4,76%","-11,71%","-4,52%","0,13%","3,84%","9,29%","5,15%","1,21%","9,47%","13,05%"
ROE,"13,78%","16,67%","22,28%","29,96%","33,62%","29,80%","11,80%","-23,65%","-0,07%","-31,75%","-2,42%","0,12%","11,37%","13,81%","5,81%","2,02%","7,36%","4,96%"
ROA,"0,05","0,06","0,08","0,11","0,11","0,12","0,05","-0,05","-0,00","-0,07","-0,01","0,00","0,03","0,04","0,02","0,01","0,03","0,02"
ROIC,"13,63%","15,13%","11,44%","20,13%","25,31%","25,26%","12,18%","14,87%","10,04%","0,43%","5,13%","6,48%","6,90%","7,77%","7,06%","5,46%","7,89%","3,25%"
ROIC *,"13,76%","15,38%","13,01%","16,34%","25,33%","25,64%","12,07%","8,93%","10,70%","5,98%","5,31%","6,54%","7,26%","6,28%","7,92%","5,05%","7,88%","1,64%"
Giro do ativo,"0,43","0,43","0,43","0,46","0,48","0,68","0,57","0,57","0,52","0,57","0,46","0,46","0,44","0,37","0,40","0,40","0,39","0,33"
EBIT *,408 mi,455 mi,374 mi,447 mi,580 mi,442 mi,163 mi,123 mi,139 mi,79 mi,74 mi,94 mi,104 mi,88 mi,84 mi,53 mi,83 mi,16 mi
EBITDA,500 mi,652 mi,524 mi,664 mi,682 mi,528 mi,242 mi,327 mi,248 mi,101 mi,196 mi,173 mi,171 mi,164 mi,135 mi,113 mi,134 mi,95 mi
EBITDA *,504 mi,659 mi,569 mi,560 mi,683 mi,534 mi,241 mi,245 mi,256 mi,175 mi,199 mi,174 mi,177 mi,143 mi,144 mi,109 mi,134 mi,78 mi
Liquidez corrente,"2,19","2,77","2,49","3,75","2,61","2,78","2,78","1,17","0,85","1,14","1,00","0,99","1,20","0,97","1,14","1,08","0,87","0,62"
Liquidez seca,"1,99","2,50","2,19","3,35","2,37","2,42","2,45","0,99","0,69","0,91","0,85","0,81","1,01","0,80","0,96","0,90","0,68","0,46"
Liquidez imediata,"1,30","1,67","1,23","1,60","1,27","0,09","0,20","0,19","0,29","0,26","0,23","0,33","0,50","0,38","0,44","0,35","0,19","0,01"
Dívida bruta,1.842 mi,1.909 mi,1.686 mi,1.626 mi,1.792 mi,892 mi,588 mi,838 mi,824 mi,772 mi,917 mi,922 mi,776 mi,633 mi,408 mi,368 mi,331 mi,303 mi
Dívida líquida,1.082 mi,1.069 mi,1.081 mi,1.025 mi,742 mi,386 mi,242 mi,728 mi,692 mi,686 mi,719 mi,776 mi,608 mi,495 mi,310 mi,288 mi,284 mi,288 mi
Capital de giro,694 mi,893 mi,736 mi,832 mi,927 mi,614 mi,494 mi,73 mi,-68 mi,43 mi,-2 mi,-4 mi,66 mi,-10 mi,29 mi,17 mi,-28 mi,-78 mi
Endividamento geral,"161,47%","172,03%","164,95%","170,93%","212,45%","147,04%","130,76%","369,42%","396,65%","340,78%","277,35%","318,17%","237,37%","234,16%","166,10%","154,55%","145,06%","139,99%"
