Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"14,01","17,29","-3,62","15,30","23,59","34,66",--,-
P/VP,"1,16","1,31","0,85","1,11","1,51","3,06",--,-
P/EBIT,"4,57","5,40","-3,64","4,32","7,23","20,73",--,-
P/EBIT *,"4,33","5,10","3,29","4,41","6,90","18,57",--,-
PSR,"0,77","0,88","0,55","0,84","1,38","4,90",--,-
P/Ativos,"0,40","0,44","0,28","0,35","0,49","1,23",--,-
LPA,"0,37","0,33","-1,01","0,36","0,31","0,43","0,00",-
VPA,"4,49","4,39","4,34","4,96","4,85","4,92","0,00",-
EBIT por ação,"1,14","1,06","-1,01","1,27","1,01","0,73","0,00",-
EBIT por ação *,"1,20","1,12","1,11","1,25","1,06","0,81",--,-
Ativo por ação,"13,00","12,93","13,01","15,50","14,79","12,26","0,00",-
Receita líquida por ação,"6,75","6,52","6,67","6,56","5,29","3,07","0,00",-
Margem bruta,"30,28%","29,95%","30,13%","32,54%","35,35%","39,51%","36,52%","45,82%"
Margem líquida,"5,52%","5,14%","-14,55%","6,46%","6,96%","14,34%","10,12%","18,85%"
Margem EBIT,"16,88%","16,26%","-15,09%","19,36%","19,16%","23,65%","16,27%","28,79%"
Margem EBIT *,"17,78%","17,22%","16,71%","19,00%","20,08%","26,41%","24,09%","29,91%"
Margem EBITDA,"24,31%","21,37%","-10,19%","24,03%","24,27%","27,63%","21,63%","35,19%"
Margem EBITDA *,"25,21%","22,32%","21,61%","23,66%","25,19%","30,39%","29,45%","36,31%"
Margem operacional,"8,35%","7,68%","-22,40%","9,54%","10,54%","21,52%","14,31%","28,81%"
ROE,"8,22%","7,57%","-21,94%","8,05%","7,21%","8,72%","27,83%","16,31%"
ROA,"0,03","0,03","-0,07","0,03","0,02","0,04","0,06","0,10"
ROIC,"10,54%","10,00%","-9,50%","9,01%","7,65%","8,90%","13,66%","20,92%"
ROIC *,"11,10%","10,58%","10,52%","8,83%","8,02%","9,94%","20,22%","21,72%"
Giro do ativo,"0,52","0,50","0,51","0,42","0,36","0,25","0,61","0,55"
EBIT *,400 mi,374 mi,371 mi,415 mi,354 mi,270 mi,172 mi,219 mi
EBITDA,547 mi,464 mi,-227 mi,525 mi,427 mi,283 mi,0 mi,257 mi
EBITDA *,567 mi,485 mi,480 mi,517 mi,444 mi,311 mi,211 mi,266 mi
Liquidez corrente,"2,91","3,04","3,16","2,59","2,62","5,05","1,30","2,93"
Liquidez seca,"2,76","2,90","3,05","2,46","2,47","4,95","1,25","2,84"
Liquidez imediata,"1,07","1,22","1,33","0,47","0,56","2,89","0,28","0,71"
Dívida bruta,1.364 mi,1.402 mi,1.422 mi,1.254 mi,1.203 mi,1.111 mi,0 mi,190 mi
Dívida líquida,781 mi,776 mi,747 mi,935 mi,824 mi,-168 mi,0 mi,-71 mi
Capital de giro,994 mi,1.002 mi,1.010 mi,772 mi,716 mi,1.403 mi,127 mi,338 mi
Endividamento geral,"186,76%","191,89%","194,01%","194,80%","189,74%","143,04%","353,51%","55,92%"
