Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"-0,25","-0,35","-3,46","-181,31","-357,83","-20.174,57",-,-
P/VP,"0,58","0,62","-60,22","33,01","65,68","612,87",-,-
P/EBIT,"-0,72","-1,09","-3,82","-2.856,44","-1.123,51","-27.827,29",-,-
P/EBIT *,"-0,74","-1,13","-3,87","-1.633,88","-982,12","-17.929,08",-,-
PSR,"0,13","0,17","5,90","49,85","106,36","1.865,25",-,-
P/Ativos,"0,07","0,09","3,88","15,53","29,54","286,91",-,-
LPA,"-2,59","-2,48","-12,71","-2,14","-1,92","-0,28",-,-
VPA,"1,11","1,42","-0,73","11,76","10,47","9,33",-,-
EBIT por ação,"-0,88","-0,81","-11,50","-0,14","-0,61","-0,21",-,-
EBIT por ação *,"-0,86","-0,78","-11,38","-0,24","-0,70","-0,32",-,-
Ativo por ação,"9,24","9,50","11,33","24,99","23,29","19,94",-,-
Receita líquida por ação,"4,81","5,15","7,45","7,78","6,47","3,07",-,-
Margem bruta,"20,39%","23,38%","29,53%","42,45%","42,51%","48,52%","49,76%","46,18%"
Margem líquida,"-53,78%","-48,16%","-170,48%","-27,49%","-29,73%","-9,25%","-2,77%","-4,46%"
Margem EBIT,"-18,36%","-15,66%","-154,33%","-1,75%","-9,47%","-6,70%","2,47%","1,53%"
Margem EBIT *,"-17,90%","-15,12%","-152,68%","-3,05%","-10,83%","-10,40%","0,19%","-2,99%"
Margem EBITDA,"-6,98%","-5,02%","-143,91%","13,40%","6,38%","4,01%","8,36%","7,43%"
Margem EBITDA *,"-6,52%","-4,49%","-142,25%","12,10%","5,01%","0,31%","6,08%","2,91%"
Margem operacional,"-52,70%","-46,94%","-169,42%","-27,12%","-29,55%","-8,85%","-2,77%","-4,46%"
ROE,"-234,17%","-175,26%","1.739,31%","-18,20%","-18,36%","-3,04%","-11,07%","-15,22%"
ROA,"-0,28","-0,26","-1,12","-0,09","-0,08","-0,01","-0,02","-0,03"
ROIC,"-12,87%","-11,77%","-152,72%","-0,77%","-3,46%","-1,36%","3,02%","1,93%"
ROIC *,"-12,55%","-11,37%","-151,09%","-1,34%","-3,96%","-2,11%","0,23%","-3,77%"
Giro do ativo,"0,52","0,54","0,66","0,31","0,28","0,15","0,56","0,57"
EBIT *,-119 mi,-108 mi,-1.569 mi,-33 mi,-97 mi,-44 mi,0 mi,-5 mi
EBITDA,-47 mi,-36 mi,-1.479 mi,143 mi,56 mi,16 mi,19 mi,10 mi
EBITDA *,-44 mi,-32 mi,-1.462 mi,129 mi,44 mi,1 mi,14 mi,4 mi
Liquidez corrente,"1,67","1,55","0,58","1,10","0,99","0,94","0,97","0,96"
Liquidez seca,"1,67","1,55","0,58","1,10","0,99","0,94","0,97","0,96"
Liquidez imediata,"0,07","0,19","0,08","0,40","0,29","0,24","0,28","0,09"
Dívida bruta,503 mi,458 mi,806 mi,762 mi,631 mi,364 mi,103 mi,47 mi
Dívida líquida,381 mi,335 mi,678 mi,337 mi,338 mi,154 mi,36 mi,32 mi
Capital de giro,249 mi,229 mi,-527 mi,104 mi,-9 mi,-52 mi,-8 mi,-7 mi
Endividamento geral,"736,03%","571,12%","-1.651,03%","112,58%","122,37%","113,61%","613,01%","493,57%"
