Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,40","6,96","7,25","4,67","6,43","7,11","4,86","8,37","7,35","3,12","2,91","6,80","8,09","6,19","7,72","10,66"
P/VP,"1,23","1,25","1,55","1,13","1,36","1,36","0,76","0,69","0,49","0,34","0,39","1,17","1,18","1,08","1,51","1,76"
P/EBIT,"7,77","6,12","6,62","3,33","5,16","7,01","4,90","5,77","5,84","1,99","1,80","3,36","4,38","3,40","4,48","10,66"
P/EBIT *,"15,07","9,00","10,00","4,09","6,09","11,45","5,70","6,16","5,77","2,08","1,59","2,99","4,83","3,28","4,02","11,70"
PSR,"0,95","0,91","1,05","0,60","0,73","0,96","0,44","0,49","0,39","0,23","0,21","0,51","0,57","0,43","0,62","1,00"
P/Ativos,"0,60","0,68","0,85","0,53","0,57","0,57","0,34","0,31","0,24","0,15","0,16","0,44","0,43","0,37","0,53","0,57"
LPA,"0,81","0,71","0,78","0,76","0,54","0,40","0,27","0,11","0,09","0,13","0,15","0,17","0,13","0,14","0,13","0,10"
VPA,"4,20","3,98","3,63","3,12","2,54","2,08","1,74","1,36","1,28","1,23","1,12","1,00","0,88","0,79","0,68","0,59"
EBIT por ação,"0,67","0,81","0,85","1,06","0,67","0,40","0,27","0,16","0,11","0,21","0,24","0,35","0,24","0,25","0,23","0,10"
EBIT por ação *,"0,34","0,55","0,56","0,86","0,57","0,25","0,23","0,15","0,11","0,20","0,28","0,39","0,22","0,26","0,26","0,09"
Ativo por ação,"8,66","7,28","6,66","6,63","6,10","4,99","3,91","3,02","2,62","2,81","2,83","2,68","2,41","2,32","1,96","1,80"
Receita líquida por ação,"5,43","5,44","5,39","5,86","4,77","2,94","2,97","1,92","1,62","1,81","2,05","2,27","1,81","1,97","1,67","1,03"
Margem bruta,"23,52%","25,81%","26,03%","25,96%","22,24%","22,97%","21,77%","23,14%","23,15%","27,71%","29,97%","32,01%","28,75%","28,92%","30,87%","25,81%"
Margem líquida,"14,90%","13,11%","14,43%","12,90%","11,30%","13,49%","9,16%","5,84%","5,29%","7,42%","7,37%","7,57%","7,10%","6,98%","8,01%","9,35%"
Margem EBIT,"12,29%","14,92%","15,80%","18,11%","14,10%","13,67%","9,09%","8,48%","6,65%","11,65%","11,87%","15,33%","13,13%","12,71%","13,80%","9,34%"
Margem EBIT *,"6,33%","10,14%","10,46%","14,73%","11,94%","8,37%","7,80%","7,94%","6,73%","11,12%","13,44%","17,19%","11,89%","13,17%","15,36%","8,52%"
Margem EBITDA,"16,84%","18,47%","19,09%","20,91%","17,15%","17,75%","12,98%","13,29%","12,74%","17,23%","16,59%","19,40%","17,56%","16,43%","17,82%","16,51%"
