Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,"-1,79","-4,89","-5,77","7,65","-10,65","-2,33","-49,58","235,33","613,08","-22,28","-11,51","-207,24",-,-,-,-
P/VP,"0,31","0,36","0,46","0,49","0,76","0,93","0,69","1,83","2,26","1,65","0,95","1,87",-,-,-,-
P/EBIT,"6,57","7,38","5,98","2,23","-265,21","-1,98","15,89","73,82","78,03","-34,70","-16,53","542,48",-,-,-,-
P/EBIT *,"-6,13","-4,33","-6,08","-7,41","-26,67","-5,44","29,70","57,60","121,69","-144,70","-70,06","83,56",-,-,-,-
PSR,"0,15","0,21","0,21","0,27","0,46","0,96","0,49","1,17","1,50","1,11","0,70","3,88",-,-,-,-
P/Ativos,"0,12","0,13","0,17","0,19","0,29","0,40","0,29","1,13","1,49","1,13","0,51","0,90",-,-,-,-
LPA,"-0,52","-0,27","-0,29","0,25","-0,28","-1,65","-0,06","0,03","0,01","-0,27","-0,34","-0,03",-,-,-,-
VPA,"3,00","3,63","3,57","3,94","3,93","4,12","3,99","3,54","3,48","3,60","4,16","3,18",-,-,-,-
EBIT por ação,"0,14","0,18","0,28","0,87","-0,01","-1,94","0,17","0,09","0,10","-0,17","-0,24","0,01",-,-,-,-
EBIT por ação *,"-0,15","-0,30","-0,27","-0,26","-0,11","-0,71","0,09","0,11","0,06","-0,04","-0,06","0,07",-,-,-,-
Ativo por ação,"8,04","9,76","9,56","10,31","10,29","9,60","9,37","5,72","5,28","5,24","7,76","6,58",-,-,-,-
Receita líquida por ação,"6,03","6,32","7,77","7,30","6,46","4,02","5,59","5,52","5,21","5,37","5,63","1,53",-,-,-,-
Margem bruta,"33,23%","32,63%","34,61%","30,37%","31,78%","23,53%","31,98%","32,18%","31,15%","30,66%","29,58%","32,77%","38,85%","39,02%","37,26%","43,21%"
Margem líquida,"-8,61%","-4,21%","-3,68%","3,47%","-4,34%","-41,05%","-0,99%","0,50%","0,25%","-4,96%","-6,12%","-1,87%","8,91%","10,87%","5,45%","19,39%"
