Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"16,56","18,48","27,80","14,51","-84,81","-19,26",-,-,-,-,-,-
P/VP,"1,93","2,09","2,22","2,97","1,81","2,78",-,-,-,-,-,-
P/EBIT,"6,29","6,95","9,60","14,39","28,58","-34,00",-,-,-,-,-,-
P/EBIT *,"6,25","6,91","9,43","16,75","27,92","-35,12",-,-,-,-,-,-
PSR,"1,49","1,63","2,17","3,54","2,59","7,16",-,-,-,-,-,-
P/Ativos,"0,50","0,55","0,66","1,06","0,63","1,05",-,-,-,-,-,-
LPA,"1,12","1,04","0,71","1,68","-0,15","-1,03",-,-,-,-,-,-
VPA,"9,62","9,19","8,86","8,23","6,79","7,14",-,-,-,-,-,-
EBIT por ação,"2,95","2,76","2,05","1,70","0,43","-0,58",-,-,-,-,-,-
EBIT por ação *,"2,97","2,77","2,09","1,46","0,44","-0,56",-,-,-,-,-,-
Ativo por ação,"36,77","34,89","29,78","23,10","19,56","18,92",-,-,-,-,-,-
Receita líquida por ação,"12,44","11,75","9,06","6,89","4,76","2,77",-,-,-,-,-,-
Margem bruta,"42,93%","42,49%","41,45%","40,31%","31,12%","6,67%","-0,83%","37,00%","30,40%","28,93%","31,13%","32,20%"
Margem líquida,"9,02%","8,85%","7,90%","24,60%","-2,94%","-37,09%","-48,11%","-17,10%","30,77%","-1,55%","-3,37%","-0,20%"
Margem EBIT,"23,71%","23,45%","22,64%","24,62%","9,06%","-21,06%","-31,34%","4,55%","43,55%","7,91%","10,19%","15,03%"
Margem EBIT *,"23,86%","23,60%","23,06%","21,15%","9,27%","-20,39%","-28,40%","6,06%","10,49%","6,80%","12,52%","13,73%"
Margem EBITDA,"58,55%","47,71%","47,95%","51,88%","39,85%","25,28%","24,71%","31,13%","59,43%","23,90%","26,89%","32,02%"
Margem EBITDA *,"58,70%","47,86%","48,36%","48,42%","40,06%","25,96%","27,65%","32,64%","26,37%","22,78%","29,22%","30,72%"
Margem operacional,"10,48%","10,28%","8,89%","13,47%","-2,81%","-38,36%","-52,14%","-15,05%","33,12%","-0,65%","-1,28%","2,19%"
ROE,"11,67%","11,31%","8,05%","20,49%","-2,04%","-14,29%","-24,48%","-14,96%","29,59%","-2,81%","-4,87%","-0,42%"
ROA,"0,03","0,03","0,02","0,07","-0,01","-0,05","-0,07","-0,05","0,09","-0,01","-0,02","-0,00"
ROIC,"10,48%","9,73%","8,45%","9,31%","2,99%","-4,65%","-5,37%","1,53%","16,53%","5,44%","7,30%","9,44%"
ROIC *,"10,54%","9,80%","8,60%","8,00%","3,06%","-4,50%","-4,87%","2,04%","3,98%","4,68%","8,97%","8,62%"
Giro do ativo,"0,34","0,34","0,30","0,30","0,24","0,15","0,15","0,27","0,30","0,38","0,56","0,57"
EBIT *,1.828 mi,1.708 mi,1.286 mi,897 mi,271 mi,-349 mi,-357 mi,120 mi,121 mi,50 mi,80 mi,73 mi
EBITDA,4.488 mi,3.455 mi,2.675 mi,2.202 mi,1.167 mi,431 mi,310 mi,617 mi,689 mi,178 mi,172 mi,171 mi
EBITDA *,4.499 mi,3.466 mi,2.698 mi,2.055 mi,1.173 mi,443 mi,347 mi,647 mi,305 mi,169 mi,187 mi,164 mi
Liquidez corrente,"1,72","1,32","1,47","1,49","2,01","2,92","1,21","1,39","1,00","1,54","1,57","0,58"
Liquidez seca,"1,72","1,32","1,47","1,49","2,01","2,92","1,21","1,39","1,00","1,54","1,57","0,58"
Liquidez imediata,"0,78","0,36","0,53","0,49","0,72","1,37","0,94","1,15","0,74","1,33","1,00","0,23"
Dívida bruta,8.666 mi,7.477 mi,5.914 mi,3.819 mi,3.419 mi,3.590 mi,2.616 mi,2.206 mi,1.809 mi,1.236 mi,469 mi,467 mi
Dívida líquida,4.103 mi,4.051 mi,2.967 mi,1.206 mi,497 mi,-130 mi,1.596 mi,855 mi,1.116 mi,429 mi,236 mi,397 mi
Capital de giro,2.532 mi,1.151 mi,1.320 mi,1.101 mi,1.767 mi,2.741 mi,226 mi,460 mi,-1 mi,327 mi,133 mi,-129 mi
Endividamento geral,"282,11%","279,59%","235,36%","179,26%","186,34%","163,12%","244,05%","226,98%","219,01%","372,23%","160,37%","259,77%"
