Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,"5,78","-2,93","45,88","8,55","19,16","14,34","15,95","6,75","6,32","4,87","2,73","4,77","4,32","10,50","5,43","7,83"
P/VP,"0,47","0,36","0,70","0,53","0,36","0,47","0,66","0,30","0,30","0,28","0,17","0,20","0,26","0,78","0,40","0,56"
P/EBIT,"6,76","-2,59","84,01","9,43","20,61","14,35","16,12","6,91","6,80","4,91","2,76","4,81","4,33","-10,68","-5,75","-7,88"
P/EBIT *,"-259,60","-152,72","-110,06","-125,78","-101,29","-98,25","-184,25","-84,17","-42,62","-81,29","-48,54","-56,29","-62,66","-4,45","-2,93","-3,84"
PSR,--,--,--,--,--,"5.019,83","2.328,76","896,48","893,56","1.034,61","743,77","690,14","927,86","54,31","23,23","36,60"
P/Ativos,"0,46","0,35","0,69","0,53","0,35","0,47","0,65","0,30","0,30","0,28","0,16","0,20","0,26","0,16","0,08","0,11"
LPA,"0,97","-1,36","0,20","0,78","0,23","0,40","0,48","0,51","0,51","0,60","0,61","0,39","0,53","0,62","0,56","0,51"
VPA,"12,00","11,21","12,79","12,60","12,27","12,14","11,74","11,33","10,84","10,43","10,05","9,18","8,76","8,32","7,70","7,14"
EBIT por ação,"0,83","-1,54","0,11","0,71","0,21","0,40","0,48","0,50","0,48","0,60","0,60","0,38","0,53","-0,61","-0,53","-0,51"
EBIT por ação *,"-0,02","-0,03","-0,08","-0,05","-0,04","-0,06","-0,04","-0,04","-0,08","-0,04","-0,03","-0,03","-0,04","-1,46","-1,05","-1,04"
Ativo por ação,"12,20","11,42","12,93","12,74","12,38","12,26","11,85","11,42","10,93","10,50","10,13","9,25","8,82","39,48","38,09","35,10"
Receita líquida por ação,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,13","0,11"
Margem bruta,--%,--%,--%,--%,--%,"94,85%","95,00%","95,06%","95,13%","94,98%","95,24%","85,90%","85,65%","19,07%","32,58%","42,73%"
Margem líquida,--%,--%,--%,--%,--%,"35.003,09%","14.600,00%","13.275,31%","14.135,06%","21.248,12%","27.268,25%","14.461,67%","21.494,26%","517,08%","427,48%","467,30%"
Margem EBIT,--%,--%,--%,--%,--%,"34.974,23%","14.448,93%","12.983,02%","13.139,29%","21.085,36%","26.919,05%","14.350,22%","21.444,50%","-508,47%","-404,19%","-464,29%"
