Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"15,84","6,85","6,61","6,33","2,98","6,79",-,-
P/VP,"3,91","3,02","2,20","1,64","1,35","2,58",-,-
P/EBIT,"5,21","6,24","3,91","3,93","2,00","4,34",-,-
P/EBIT *,"5,05","6,53","3,45","3,71","1,96","3,95",-,-
PSR,"1,45","1,88","1,25","1,41","1,00","1,99",-,-
P/Ativos,"0,78","0,85","0,79","0,75","0,70","1,40",-,-
LPA,"0,30","0,83","0,66","0,54","1,17","0,74",-,-
VPA,"1,23","1,89","1,97","2,10","2,58","1,95",-,-
EBIT por ação,"0,92","0,91","1,11","0,87","1,74","1,16",-,-
EBIT por ação *,"0,95","0,87","1,26","0,93","1,78","1,28",-,-
Ativo por ação,"6,18","6,70","5,47","4,61","4,97","3,61",-,-
Receita líquida por ação,"3,32","3,04","3,48","2,44","3,51","2,54",-,-
Margem bruta,"45,35%","51,35%","47,89%","46,63%","57,94%","60,26%","61,90%","51,30%"
Margem líquida,"9,15%","27,45%","18,90%","22,23%","33,46%","29,23%","31,99%","14,68%"
Margem EBIT,"27,80%","30,11%","31,97%","35,81%","49,74%","45,70%","46,29%","29,01%"
Margem EBIT *,"28,73%","28,80%","36,17%","38,00%","50,68%","50,25%","47,41%","31,28%"
Margem EBITDA,"34,88%","37,08%","37,49%","43,34%","53,69%","54,64%","50,63%","34,57%"
Margem EBITDA *,"35,81%","35,77%","41,69%","45,53%","54,63%","59,19%","51,76%","36,84%"
Margem operacional,"13,58%","34,85%","25,46%","29,99%","48,34%","41,99%","45,35%","21,75%"
ROE,"24,68%","44,09%","33,36%","25,89%","45,51%","38,02%","39,16%","10,27%"
ROA,"0,05","0,12","0,12","0,12","0,24","0,21","0,23","0,07"
ROIC,"22,28%","25,97%","33,46%","28,07%","63,52%","41,31%","36,35%","16,24%"
ROIC *,"23,02%","24,85%","37,86%","29,78%","64,73%","45,43%","37,23%","17,51%"
Giro do ativo,"0,54","0,45","0,64","0,53","0,71","0,70","0,72","0,48"
EBIT *,5.178 mi,4.751 mi,6.829 mi,5.043 mi,9.649 mi,6.929 mi,5.431 mi,2.262 mi
EBITDA,6.287 mi,6.117 mi,7.078 mi,5.752 mi,10.221 mi,7.534 mi,5.800 mi,2.500 mi
EBITDA *,6.454 mi,5.901 mi,7.872 mi,6.043 mi,10.401 mi,8.162 mi,5.929 mi,2.664 mi
Liquidez corrente,"1,20","2,36","2,14","2,07","1,96","1,43","1,22","1,45"
Liquidez seca,"1,12","2,26","1,99","1,87","1,83","1,32","1,00","1,22"
Liquidez imediata,"0,88","2,01","1,61","1,40","1,64","0,65","0,20","0,73"
Dívida bruta,9.186 mi,10.128 mi,8.178 mi,8.396 mi,4.713 mi,1.325 mi,1.479 mi,2.783 mi
Dívida líquida,296 mi,-5.072 mi,-1.630 mi,1.659 mi,-6.221 mi,-1.649 mi,1.015 mi,1.330 mi
Capital de giro,2.045 mi,10.286 mi,6.917 mi,4.974 mi,6.265 mi,1.998 mi,469 mi,887 mi
Endividamento geral,"402,24%","254,37%","177,52%","119,90%","92,82%","85,09%","69,68%","46,46%"
