Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"15,01","15,50","5,42","5,16","5,37","6,81","4,75","3,93","7,44","5,62","6,33","-98,74","3,71","5,44","6,26","5,46","2,34","3,10"
P/VP,"2,32","2,56","0,89","0,94","0,62","0,54","0,60","0,44","0,69","0,50","0,46","0,20","0,21","0,43","0,61","0,56","0,37","0,43"
P/EBIT,"10,46","10,93","3,58","3,98","3,61","4,32","3,03","2,57","4,67","3,29","3,44","3,63","1,90","3,15","3,95","3,45","1,65","2,47"
P/EBIT *,"9,43","9,94","3,31","3,69","3,56","3,43","2,97","2,34","4,77","3,25","3,24","3,94","1,71","3,15","3,97","3,38","2,30","2,41"
PSR,"2,42","2,63","0,91","0,96","0,73","0,62","0,73","0,58","0,91","0,73","0,68","0,30","0,29","0,61","0,87","0,79","0,48","0,49"
P/Ativos,"0,95","1,24","0,46","0,50","0,34","0,29","0,33","0,26","0,39","0,29","0,25","0,10","0,12","0,24","0,33","0,31","0,22","0,23"
LPA,"3,56","3,72","3,46","3,63","2,22","1,41","2,15","1,98","1,52","1,47","1,14","-0,03","0,84","1,10","1,27","1,22","1,76","1,37"
VPA,"23,06","22,56","21,17","19,92","19,08","17,78","16,98","17,73","16,38","16,42","15,62","14,85","14,56","14,04","12,98","11,92","11,10","9,93"
EBIT por ação,"5,12","5,28","5,25","4,71","3,29","2,23","3,37","3,04","2,43","2,52","2,10","0,83","1,63","1,91","2,01","1,94","2,50","1,71"
EBIT por ação *,"5,67","5,81","5,66","5,07","3,34","2,81","3,44","3,33","2,37","2,55","2,23","0,76","1,82","1,91","2,00","1,97","1,79","1,75"
Ativo por ação,"56,52","46,65","40,79","37,32","34,69","33,46","30,96","30,32","29,40","28,43","28,79","28,75","26,72","24,69","23,90","21,74","19,15","18,39"
Receita líquida por ação,"22,08","21,91","20,72","19,47","16,24","15,50","14,05","13,56","12,46","11,38","10,61","10,08","10,87","9,82","9,07","8,48","8,52","8,60"
Margem bruta,"41,86%","42,41%","42,82%","41,35%","37,49%","36,46%","44,99%","41,81%","39,04%","42,42%","38,40%","29,63%","34,08%","37,27%","39,18%","40,36%","36,90%","35,51%"
Margem líquida,"16,14%","17,00%","16,72%","18,63%","13,65%","9,12%","15,28%","14,63%","12,22%","12,95%","10,77%","-0,30%","7,70%","11,24%","13,97%","14,40%","20,68%","15,88%"
Margem EBIT,"23,17%","24,09%","25,32%","24,16%","20,27%","14,36%","23,96%","22,40%","19,47%","22,11%","19,82%","8,21%","15,00%","19,45%","22,13%","22,82%","29,33%","19,93%"
Margem EBIT *,"25,68%","26,51%","27,33%","26,02%","20,55%","18,11%","24,45%","24,58%","19,06%","22,41%","21,05%","7,57%","16,71%","19,46%","22,02%","23,28%","21,04%","20,38%"
Margem EBITDA,"40,10%","35,46%","35,49%","34,83%","32,10%","27,07%","36,06%","34,10%","31,47%","35,15%","34,62%","22,55%","26,82%","30,99%","33,15%","32,61%","39,28%","27,66%"
Margem EBITDA *,"42,61%","37,87%","37,50%","36,69%","32,37%","30,81%","36,54%","36,27%","31,05%","35,45%","35,85%","21,91%","28,53%","30,99%","33,04%","33,07%","31,00%","28,11%"
