Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,1T2010
Ativo total,"23,14 B","22,66 B","21,91 B","21,77 B","22,32 B","21,21 B","21,65 B","20,37 B","19,49 B","19,14 B","18,97 B","18,82 B","18,86 B","18,07 B","17,96 B","17,36 B","14,40 B","13,82 B","13,11 B","12,42 B","12,28 B","12,36 B","11,92 B","12,11 B","11,51 B","11,53 B","12,39 B","9,75 B","9,47 B","9,57 B","9,51 B","9,11 B","9,29 B","9,40 B","9,17 B","8,69 B","7,71 B","7,59 B","7,22 B","7,38 B","7,12 B","7,33 B","7,33 B","7,17 B","6,78 B","6,55 B","5,46 B","5,04 B","4,98 B","4,96 B","4,90 B","4,92 B","5,45 B","5,51 B","5,39 B","4,79 B","4,83 B","4,41 B","4,21 B","3,94 B","4,19 B"
Ativo circulante,"7,79 B","7,74 B","6,60 B","6,31 B","7,59 B","6,76 B","6,95 B","6,23 B","6,28 B","6,12 B","5,88 B","5,69 B","6,40 B","5,92 B","5,77 B","5,55 B","4,63 B","4,82 B","3,78 B","3,21 B","3,70 B","4,24 B","3,51 B","3,49 B","3,78 B","3,65 B","3,82 B","3,25 B","3,38 B","3,64 B","3,21 B","2,69 B","3,26 B","3,47 B","3,10 B","2,48 B","2,30 B","2,38 B","1,99 B","2,09 B","1,77 B","2,02 B","1,94 B","1,75 B","1,62 B","1,54 B","1,30 B","862,66 M","1,01 B","1,01 B","880,26 M","847,07 M","1,30 B","1,34 B","1,18 B","663,21 M","1,01 B","848,75 M","663,88 M","471,21 M","413,60 M"
Caixa e eq. de caixa,"45,59 M","113,45 M","190,34 M","898,59 M","1,35 B","221,59 M","205,44 M","204,56 M","124,30 M","111,88 M","86,02 M","273,41 M","252,86 M","130,57 M","175,09 M","114,90 M","323,65 M","246,81 M","45,01 M","288,35 M","237,70 M","121,33 M","236,86 M","92,07 M","18,09 M","48,62 M","76,42 M","197,61 M","152,62 M","197,82 M","313,81 M","140,87 M","373,08 M","327,56 M","79,79 M","142,45 M","230,41 M","212,83 M","170,20 M","266,66 M","345,55 M","592,95 M","1,01 B","1,02 B","532,28 M","539,07 M","761,05 M","551,36 M","442,73 M","490,70 M","468,68 M","531,14 M","574,01 M","711,34 M","793,06 M","410,57 M","464,10 M","274,63 M","323,88 M","222,22 M","130,63 M"
Aplicações financeiras,"3,26 B","3,02 B","2,60 B","2,18 B","1,89 B","2,36 B","3,22 B","2,95 B","1,49 B","1,50 B","2,28 B","2,80 B","2,44 B","1,74 B","2,65 B","2,86 B","1,18 B","1,10 B","1,28 B","1,06 B","1,15 B","1,72 B","1,41 B","1,83 B","1,33 B","1,30 B","2,07 B","1,84 B","1,01 B","1,08 B","1,26 B","1,32 B","795,34 M","1,06 B","1,26 B","1,03 B","482,95 M","571,85 M","344,79 M","706,49 M","306,41 M","222,25 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"415,24 M","439,59 M","543,84 M","477,21 M","791,84 M","552,75 M","595,69 M","666,11 M","450,52 M","363,62 M","325,02 M","274,90 M","371,46 M","448,22 M","431,74 M","225,71 M","370,41 M","532,97 M","268,85 M","215,66 M","312,88 M","306,39 M","266,66 M","165,83 M","377,97 M","253,66 M","171,09 M","163,41 M","292,39 M","249,03 M","215,03 M","177,89 M","331,45 M","215,67 M","303,50 M","168,87 M","207,49 M","108,33 M","142,49 M","86,42 M","197,11 M","191,04 M","116,75 M","156,32 M","197,36 M","137,50 M","142,81 M","72,11 M","126,27 M","140,52 M","91,10 M","51,74 M","117,81 M","128,90 M","64,60 M","38,40 M","63,69 M","62,49 M","55,31 M","59,67 M","41,63 M"
Estoques,"2,03 B","2,00 B","871,98 M","597,08 M","1,95 B","2,02 B","1,14 B","465,56 M","2,40 B","2,38 B","1,24 B","694,12 M","1,82 B","2,21 B","1,11 B","764,58 M","1,55 B","1,84 B","940,83 M","446,31 M","1,09 B","1,33 B","720,18 M","366,18 M","1,04 B","1,23 B","650,93 M","232,32 M","1,13 B","1,37 B","727,08 M","334,65 M","1,02 B","1,11 B","590,60 M","256,57 M","693,59 M","777,85 M","468,58 M","229,25 M","657,41 M","702,61 M","486,98 M","177,44 M","616,05 M","667,31 M","235,59 M","99,66 M","313,30 M","249,79 M","142,70 M","101,50 M","478,63 M","390,80 M","199,29 M","137,38 M","384,01 M","443,85 M","216,39 M","139,11 M","105,07 M"
Ativos biológicos,"1,06 B","1,19 B","1,36 B","1,41 B","1,17 B","1,17 B","1,36 B","1,36 B","1,10 B","1,22 B","1,41 B","1,16 B","1,09 B","1,03 B","1,12 B","1,22 B","1,01 B","859,53 M","945,16 M","989,54 M","658,95 M","606,50 M","689,68 M","713,55 M","657,95 M","614,45 M","654,03 M","657,06 M","571,54 M","504,13 M","572,72 M","581,73 M","558,47 M","524,67 M","578,95 M","586,36 M","433,53 M","398,80 M","454,76 M","470,24 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"15,35 B","14,91 B","15,32 B","15,46 B","14,73 B","14,44 B","14,70 B","14,14 B","13,21 B","13,02 B","13,09 B","13,14 B","12,46 B","12,15 B","12,19 B","11,81 B","9,77 B","9,00 B","9,33 B","9,21 B","8,58 B","8,11 B","8,41 B","8,63 B","7,72 B","7,88 B","8,57 B","6,50 B","6,09 B","5,93 B","6,29 B","6,43 B","6,02 B","5,93 B","6,07 B","6,21 B","5,41 B","5,20 B","5,23 B","5,29 B","5,35 B","5,31 B","5,40 B","5,42 B","5,16 B","5,01 B","4,16 B","4,18 B","3,98 B","3,96 B","4,02 B","4,08 B","4,15 B","4,18 B","4,21 B","4,12 B","3,82 B","3,56 B","3,55 B","3,47 B","3,77 B"
Investimentos,"70,38 M","67,12 M","62,90 M","62,57 M","62,16 M","59,34 M","56,60 M","54,69 M","54,43 M","52,02 M","49,60 M","47,80 M","47,81 M","46,54 M","45,07 M","45,56 M","43,52 M","41,51 M","40,18 M","39,95 M","38,40 M","36,53 M","34,56 M","33,87 M","34,79 M","34,45 M","33,65 M","33,54 M","33,65 M","32,87 M","32,01 M","32,55 M","32,39 M","31,99 M","31,28 M","31,18 M","593,64 M","561,05 M","533,33 M","513,23 M","471,33 M","439,79 M","442,51 M","429,78 M","437,07 M","425,95 M","573,94 M","537,76 M","576,60 M","575,16 M","580,42 M","567,14 M","12,14 M","12,52 M","12,14 M","8,26 M","2,87 M","2,53 M",0,0,0
Imobilizado,"10,82 B","10,68 B","11,12 B","11,46 B","10,65 B","10,62 B","10,91 B","10,83 B","10,24 B","10,14 B","10,33 B","10,53 B","9,95 B","10,01 B","10,11 B","9,86 B","7,91 B","7,55 B","7,79 B","7,83 B","7,18 B","6,98 B","7,31 B","7,56 B","6,84 B","7,08 B","7,63 B","5,64 B","5,26 B","5,09 B","5,32 B","5,45 B","5,10 B","4,99 B","5,14 B","5,29 B","3,97 B","3,90 B","3,95 B","4,00 B","3,27 B","3,27 B","3,34 B","3,38 B","3,21 B","3,10 B","2,69 B","2,72 B","2,61 B","2,59 B","2,62 B","2,63 B","3,19 B","3,21 B","3,26 B","3,24 B","3,05 B","2,84 B","2,86 B","2,86 B","3,04 B"
