Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"6,20","7,51","6,73","9,26","7,14","3,35","7,19",-
P/VP,"1,96","2,66","2,73","4,03","2,33","1,43","4,13",-
P/EBIT,"4,26","5,28","5,16","7,76","5,90","2,76","6,31",-
P/EBIT *,"2,35","3,25","3,29","4,25","2,80","1,43","3,49",-
PSR,"0,61","0,83","0,89","1,20","0,64","0,36","1,05",-
P/Ativos,"0,47","0,64","0,90","1,22","0,59","0,36","0,99",-
LPA,"1,65","1,78","1,69","1,32","0,66","0,66","0,65",-
VPA,"5,22","5,02","4,16","3,03","2,01","1,56","1,13",-
EBIT por ação,"2,40","2,53","2,20","1,57","0,79","0,80","0,74",-
EBIT por ação *,"4,35","4,10","3,44","2,87","1,67","1,56","1,34",-
Ativo por ação,"21,62","20,78","12,66","10,00","7,95","6,22","4,71",-
Receita líquida por ação,"16,73","16,09","12,70","10,16","7,32","6,23","4,42",-
Margem bruta,"29,95%","31,09%","33,07%","33,94%","28,81%","31,21%","36,81%","35,55%"
Margem líquida,"11,31%","12,88%","15,08%","13,36%","8,88%","10,63%","14,67%","14,23%"
Margem EBIT,"14,33%","15,69%","17,29%","15,47%","10,85%","12,88%","16,71%","16,24%"
Margem EBIT *,"25,99%","25,46%","27,13%","28,24%","22,84%","24,95%","30,23%","28,32%"
Margem EBITDA,"14,99%","16,39%","18,02%","16,29%","12,34%","12,94%","18,29%","16,28%"
Margem EBITDA *,"26,65%","26,15%","27,85%","29,06%","24,33%","25,00%","31,82%","28,36%"
Margem operacional,"13,96%","15,51%","17,24%","15,66%","11,15%","12,74%","16,89%","16,29%"
ROE,"33,05%","37,00%","42,65%","42,86%","32,41%","42,58%","57,44%","106,58%"
ROA,"0,09","0,10","0,15","0,14","0,08","0,11","0,14","0,15"
ROIC,"17,25%","21,91%","28,94%","23,45%","14,83%","18,07%","21,32%","23,54%"
ROIC *,"31,28%","35,55%","45,40%","42,81%","31,23%","35,00%","38,60%","41,05%"
Giro do ativo,"0,77","0,77","1,00","1,02","0,92","1,00","0,94","1,04"
EBIT *,886 mi,835 mi,702 mi,585 mi,340 mi,317 mi,272 mi,203 mi
EBITDA,511 mi,537 mi,466 mi,337 mi,184 mi,164 mi,164 mi,117 mi
EBITDA *,909 mi,858 mi,721 mi,602 mi,363 mi,317 mi,286 mi,203 mi
Liquidez corrente,"2,87","2,38","3,70","2,63","3,44","4,78","5,92","5,05"
Liquidez seca,"1,84","1,58","2,42","2,63","3,44","4,78","5,92","5,05"
Liquidez imediata,"0,75","0,70","1,24","0,47","0,60","0,84","1,33","1,22"
Dívida bruta,1.136 mi,1.114 mi,588 mi,387 mi,532 mi,405 mi,290 mi,240 mi
Dívida líquida,89 mi,1 mi,-213 mi,-38 mi,192 mi,114 mi,86 mi,81 mi
Capital de giro,2.590 mi,2.146 mi,1.601 mi,1.074 mi,1.031 mi,904 mi,752 mi,528 mi
Endividamento geral,"277,54%","270,91%","181,90%","215,58%","296,50%","299,88%","317,71%","623,01%"
