Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,82","7,83","7,00","6,32","5,78","4,01","9,01","2,62","4,87","9,18","-3,29","8,49","11,98","132,42","-5,05","59,54","5,71","41,64"
P/VP,"0,49","0,53","0,65","0,89","1,14","0,85","1,93","0,45","0,59","0,54","0,22","0,08","0,13","0,28","0,30","0,31","0,55","0,72"
P/EBIT,"7,37","7,13","7,08","5,99","4,58","3,86","14,71","3,25","8,88","6,74","-2,94","-26,01","9,04","5,97","-5,15","-19,20","5,04","53,89"
P/EBIT *,"9,41","8,78","9,44","9,15","5,09","3,94","15,79","13,48","9,73","7,49","-2,89","-2,27","18,71","6,12","-4,22","-17,60","5,21","221,85"
PSR,"0,48","0,50","0,65","0,84","0,78","0,59","1,62","0,44","0,55","0,51","0,22","0,09","0,13","0,27","0,32","0,34","0,58","1,04"
P/Ativos,"0,23","0,24","0,31","0,45","0,55","0,42","0,90","0,25","0,33","0,32","0,12","0,04","0,07","0,13","0,12","0,12","0,21","0,28"
LPA,"0,83","0,91","1,22","1,76","2,31","2,19","1,87","1,39","0,90","0,40","-0,43","0,07","0,08","0,01","-0,41","0,04","0,73","0,13"
VPA,"13,33","13,38","13,17","12,55","11,73","10,34","8,73","8,13","7,47","6,89","6,44","7,20","6,90","6,96","6,82","7,27","7,51","7,33"
EBIT por ação,"0,88","1,00","1,21","1,86","2,91","2,27","1,15","1,12","0,49","0,55","-0,48","-0,02","0,10","0,33","-0,40","-0,12","0,83","0,10"
EBIT por ação *,"0,69","0,81","0,91","1,22","2,62","2,22","1,07","0,27","0,45","0,50","-0,48","-0,25","0,05","0,32","-0,49","-0,13","0,80","0,02"
Ativo por ação,"28,41","29,61","27,33","24,49","24,09","20,98","18,75","14,67","13,33","11,54","11,64","13,08","13,83","15,25","17,33","19,12","19,98","18,66"
Receita líquida por ação,"13,68","14,24","13,09","13,17","17,09","14,85","10,44","8,22","7,98","7,22","6,30","6,51","6,96","7,16","6,43","6,77","7,23","5,10"
Margem bruta,"28,18%","27,92%","29,12%","29,95%","31,96%","32,29%","30,71%","27,26%","27,76%","28,18%","19,93%","22,75%","25,81%","28,96%","22,79%","27,35%","36,04%","30,98%"
Margem líquida,"6,15%","6,50%","9,42%","13,41%","13,57%","14,76%","17,95%","16,97%","11,33%","5,64%","-6,72%","1,21%","1,18%","0,28%","-6,24%","0,69%","10,21%","2,69%"
Margem EBIT,"6,45%","7,04%","9,23%","14,11%","17,03%","15,29%","10,98%","13,65%","6,19%","7,62%","-7,57%","-0,34%","1,48%","4,54%","-6,22%","-1,75%","11,42%","1,93%"
Margem EBIT *,"5,05%","5,72%","6,92%","9,23%","15,34%","14,98%","10,23%","3,29%","5,66%","6,86%","-7,70%","-3,86%","0,71%","4,42%","-7,58%","-1,91%","11,05%","0,47%"
Margem EBITDA,"14,62%","12,32%","14,20%","18,68%","20,21%","18,35%","14,77%","18,03%","10,67%","12,12%","-1,71%","5,34%","6,91%","10,00%","0,05%","2,81%","14,99%","6,13%"
Margem EBITDA *,"13,22%","11,00%","11,89%","13,80%","18,52%","18,04%","14,02%","7,67%","10,13%","11,36%","-1,84%","1,82%","6,14%","9,89%","-1,32%","2,65%","14,62%","4,67%"
Margem operacional,"8,15%","8,12%","9,94%","14,94%","17,53%","15,41%","17,38%","21,70%","11,72%","8,19%","-8,22%","1,46%","1,90%","5,17%","-6,52%","-0,04%","12,05%","3,06%"
ROE,"6,30%","6,90%","9,35%","14,05%","19,73%","21,16%","21,45%","17,12%","12,08%","5,90%","-6,56%","1,09%","1,19%","0,28%","-5,86%","0,64%","9,79%","1,87%"
ROA,"0,03","0,03","0,05","0,07","0,10","0,10","0,10","0,10","0,07","0,04","-0,04","0,01","0,01","0,00","-0,02","0,00","0,04","0,01"
ROIC,"3,79%","4,23%","5,43%","9,17%","14,59%","12,82%","8,05%","8,95%","4,20%","5,56%","-4,79%","-0,20%","0,86%","2,38%","-2,50%","-0,70%","4,91%","0,62%"
ROIC *,"2,97%","3,43%","4,07%","6,00%","13,14%","12,56%","7,50%","2,16%","3,83%","5,01%","-4,87%","-2,24%","0,42%","2,32%","-3,05%","-0,77%","4,75%","0,15%"
Giro do ativo,"0,48","0,48","0,48","0,54","0,71","0,71","0,56","0,56","0,60","0,63","0,54","0,50","0,50","0,47","0,37","0,35","0,36","0,27"
EBIT *,64 mi,75 mi,84 mi,113 mi,244 mi,207 mi,99 mi,25 mi,42 mi,46 mi,-46 mi,-24 mi,4 mi,29 mi,-46 mi,-13 mi,74 mi,2 mi
EBITDA,186 mi,163 mi,173 mi,229 mi,321 mi,253 mi,143 mi,138 mi,79 mi,81 mi,-11 mi,32 mi,44 mi,66 mi,0 mi,17 mi,100 mi,29 mi
EBITDA *,168 mi,145 mi,145 mi,169 mi,294 mi,249 mi,136 mi,58 mi,75 mi,76 mi,-11 mi,11 mi,39 mi,65 mi,-8 mi,16 mi,98 mi,22 mi
Liquidez corrente,"2,27","2,35","2,07","2,23","2,32","2,02","1,82","1,92","1,92","2,11","2,14","2,83","2,06","1,90","1,72","1,85","2,17","2,25"
Liquidez seca,"1,27","1,40","1,13","1,26","1,25","1,09","1,21","1,05","1,09","1,25","1,23","1,75","1,31","1,24","1,15","1,24","1,58","1,65"
Liquidez imediata,"0,48","0,52","0,34","0,45","0,22","0,17","0,33","0,37","0,28","0,43","0,42","0,58","0,41","0,26","0,17","0,32","0,55","0,56"
Dívida bruta,941 mi,1.021 mi,855 mi,785 mi,721 mi,582 mi,536 mi,349 mi,313 mi,249 mi,329 mi,391 mi,498 mi,585 mi,810 mi,991 mi,995 mi,923 mi
Dívida líquida,557 mi,545 mi,493 mi,470 mi,470 mi,407 mi,213 mi,200 mi,212 mi,130 mi,207 mi,246 mi,352 mi,478 mi,726 mi,828 mi,748 mi,697 mi
Capital de giro,908 mi,984 mi,814 mi,772 mi,791 mi,588 mi,481 mi,364 mi,334 mi,311 mi,331 mi,453 mi,373 mi,371 mi,351 mi,437 mi,526 mi,508 mi
Endividamento geral,"112,71%","120,92%","107,21%","94,82%","104,94%","102,55%","114,43%","80,17%","78,05%","67,12%","80,23%","81,09%","100,10%","118,66%","153,36%","162,07%","165,12%","153,94%"
