Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"25,16","6,62","17,61","33,21","91,72","306,12",-,-
P/VP,"1,32","0,89","2,34","4,26","4,79","63,10",-,-
P/EBIT,"3,99","2,15","6,32","15,40","41,14","134,79",-,-
P/EBIT *,"3,99","2,15","6,32","15,40","41,14","134,79",-,-
PSR,"0,89","0,64","2,11","5,18","13,66","48,23",-,-
P/Ativos,"0,32","0,24","0,72","1,32","1,62","12,48",-,-
LPA,"0,19","0,49","0,47","0,43","0,17","0,05",-,-
VPA,"3,69","3,63","3,55","3,34","3,21","0,25",-,-
EBIT por ação,"1,22","1,51","1,31","0,92","0,37","0,11",-,-
EBIT por ação *,"1,22","1,51","1,31","0,92","0,37","0,11",-,-
Ativo por ação,"15,41","13,38","11,49","10,77","9,47","1,24",-,-
Receita líquida por ação,"5,45","5,10","3,93","2,75","1,12","0,32",-,-
Margem bruta,"33,97%","40,47%","46,06%","47,03%","48,20%","45,15%","43,82%","39,53%"
Margem líquida,"3,91%","9,95%","12,00%","15,61%","14,90%","15,75%","14,93%","14,79%"
Margem EBIT,"22,38%","29,62%","33,44%","33,66%","33,21%","35,78%","36,83%","34,08%"
Margem EBIT *,"22,38%","29,62%","33,44%","33,66%","33,21%","35,78%","36,83%","34,08%"
Margem EBITDA,"35,12%","41,14%","47,08%","48,07%","47,22%","50,27%","48,24%","44,74%"
Margem EBITDA *,"35,12%","41,14%","47,08%","48,07%","47,22%","50,27%","48,24%","44,74%"
Margem operacional,"2,47%","12,79%","14,61%","17,65%","22,99%","21,99%","24,58%","22,59%"
ROE,"5,55%","13,40%","13,28%","12,83%","5,22%","20,61%","39,66%","37,99%"
ROA,"0,01","0,04","0,04","0,04","0,02","0,04","0,08","0,08"
ROIC,"11,87%","14,69%","15,93%","12,77%","8,28%","16,08%","21,98%","20,59%"
ROIC *,"11,87%","14,69%","15,93%","12,77%","8,28%","16,08%","21,98%","20,59%"
Giro do ativo,"0,35","0,38","0,34","0,26","0,12","0,26","0,53","0,57"
EBIT *,422 mi,523 mi,455 mi,320 mi,129 mi,39 mi,22 mi,14 mi
EBITDA,662 mi,726 mi,640 mi,457 mi,184 mi,55 mi,29 mi,19 mi
EBITDA *,662 mi,726 mi,640 mi,457 mi,184 mi,55 mi,29 mi,19 mi
Liquidez corrente,"2,56","2,13","1,59","3,28","6,09","1,36","0,49","0,58"
Liquidez seca,"2,46","2,01","1,51","3,19","6,04","1,34","0,49","0,58"
Liquidez imediata,"0,29","0,33","0,34","2,39","0,00","0,94","0,19","0,13"
Dívida bruta,2.975 mi,2.479 mi,2.136 mi,2.139 mi,1.911 mi,302 mi,72 mi,48 mi
Dívida líquida,1.820 mi,1.837 mi,1.407 mi,1.201 mi,242 mi,133 mi,66 mi,46 mi
Capital de giro,1.295 mi,724 mi,440 mi,897 mi,1.585 mi,32 mi,-19 mi,-8 mi
Endividamento geral,"301,46%","253,72%","223,81%","222,05%","194,91%","405,56%","403,60%","352,87%"
