Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"-22,44","-39,39","-5,33","331,61","-358,30","-13,24","-76,82",-,-,-,-,-,-,-,-,-
P/VP,"2,22","2,57","2,88","4,22","2,20","3,60","5,31",-,-,-,-,-,-,-,-,-
P/EBIT,"8,21","9,73","-28,67","14,95","9,22","50,09","40,01",-,-,-,-,-,-,-,-,-
P/EBIT *,"8,02","9,14","-158,91","15,42","10,04","-774,81","46,56",-,-,-,-,-,-,-,-,-
PSR,"2,02","2,48","2,12","3,03","1,65","4,02","5,55",-,-,-,-,-,-,-,-,-
P/Ativos,"0,72","0,86","0,42","0,93","0,46","0,69","1,42",-,-,-,-,-,-,-,-,-
LPA,"-0,15","-0,10","-0,42","0,01","-0,01","-0,25","-0,08",-,-,-,-,-,-,-,-,-
VPA,"1,47","1,59","0,77","1,02","0,98","0,92","1,12",-,-,-,-,-,-,-,-,-
EBIT por ação,"0,40","0,42","-0,08","0,29","0,23","0,07","0,15",-,-,-,-,-,-,-,-,-
EBIT por ação *,"0,41","0,45","-0,01","0,28","0,21","-0,00","0,13",-,-,-,-,-,-,-,-,-
Ativo por ação,"4,55","4,77","5,35","4,59","4,68","4,79","4,20",-,-,-,-,-,-,-,-,-
Receita líquida por ação,"1,62","1,65","1,05","1,41","1,30","0,82","1,07",-,-,-,-,-,-,-,-,-
Margem bruta,"37,96%","40,52%","18,82%","35,43%","34,97%","21,04%","25,48%","33,28%","49,56%","42,83%","39,16%","17,40%","15,10%","-26,20%",--%,--%
Margem líquida,"-8,99%","-6,29%","-39,75%","0,91%","-0,46%","-30,40%","-7,22%","6,25%","12,89%","1,48%","-22,64%","-30,61%","-21,60%","-937,92%",--%,--%
Margem EBIT,"24,57%","25,45%","-7,39%","20,28%","17,94%","8,04%","13,86%","28,22%","45,29%","31,53%","17,90%","-14,60%","-35,41%","-1.007,74%",--%,--%
Margem EBIT *,"25,15%","27,10%","-1,33%","19,67%","16,49%","-0,52%","11,91%","23,98%","43,21%","40,75%","35,18%","12,43%","7,56%","-246,24%",--%,--%
Margem EBITDA,"39,16%","39,81%","18,71%","36,56%","34,90%","38,34%","28,22%","47,21%","57,61%","48,14%","40,31%","5,22%","-15,40%","-963,63%",--%,--%
Margem EBITDA *,"39,73%","41,46%","24,76%","35,94%","33,45%","29,78%","26,27%","42,98%","55,54%","57,36%","57,59%","32,25%","27,57%","-202,14%",--%,--%
Margem operacional,"5,59%","8,58%","-41,28%","3,62%","4,74%","-26,77%","-3,31%","10,07%","14,52%","4,33%","-22,13%","-25,84%","-19,31%","-937,92%",--%,--%
ROE,"-9,88%","-6,52%","-54,13%","1,27%","-0,61%","-27,18%","-6,92%","3,80%","10,04%","0,89%","-7,53%","-5,39%","-2,23%","-5,64%","-6,86%","-11,39%"
ROA,"-0,03","-0,02","-0,08","0,00","-0,00","-0,05","-0,02","0,01","0,03","0,00","-0,03","-0,02","-0,01","-0,04","-0,07","-0,11"
ROIC,"10,56%","10,89%","-1,75%","7,42%","5,83%","1,57%","4,39%","7,14%","15,81%","7,22%","2,16%","-1,16%","-2,10%","-5,22%","-16,77%","-33,80%"
ROIC *,"10,81%","11,60%","-0,32%","7,19%","5,36%","-0,10%","3,77%","6,07%","15,08%","9,34%","4,25%","0,99%","0,45%","-1,28%","-3,23%","-6,51%"
Giro do ativo,"0,36","0,35","0,20","0,31","0,28","0,17","0,26","0,20","0,26","0,21","0,11","0,07","0,05","0,00","0,00","0,00"
EBIT *,554 mi,607 mi,-20 mi,378 mi,291 mi,-6 mi,174 mi,224 mi,543 mi,322 mi,138 mi,24 mi,5 mi,-8 mi,-4 mi,-3 mi
EBITDA,863 mi,892 mi,267 mi,703 mi,617 mi,427 mi,412 mi,442 mi,724 mi,380 mi,158 mi,10 mi,-12 mi,-30 mi,--,--
EBITDA *,875 mi,929 mi,354 mi,691 mi,591 mi,332 mi,384 mi,403 mi,698 mi,453 mi,226 mi,63 mi,20 mi,-7 mi,--,--
Liquidez corrente,"3,59","2,97","0,75","1,78","1,86","2,04","3,20","3,86","3,52","0,63","0,21","0,52","1,40","1,80","39,81","22,49"
Liquidez seca,"3,27","2,71","0,68","1,65","1,71","1,88","3,07","3,74","3,44","0,61","0,20","0,51","1,34","1,80","39,81","22,49"
Liquidez imediata,"2,05","1,94","0,43","0,89","0,58","0,13","0,48","0,14","0,34","0,17","0,06","0,12","0,64","1,04","29,22","19,83"
Dívida bruta,3.716 mi,3.728 mi,5.119 mi,4.296 mi,4.550 mi,4.937 mi,3.961 mi,3.023 mi,2.941 mi,2.135 mi,2.052 mi,1.566 mi,637 mi,199 mi,0 mi,0 mi
Dívida líquida,2.798 mi,2.615 mi,4.066 mi,3.482 mi,3.815 mi,4.278 mi,2.930 mi,2.064 mi,1.852 mi,1.945 mi,1.790 mi,1.254 mi,492 mi,72 mi,-117 mi,-55 mi
Capital de giro,1.115 mi,1.100 mi,-591 mi,577 mi,597 mi,624 mi,981 mi,923 mi,1.016 mi,-185 mi,-1.289 mi,-429 mi,61 mi,63 mi,155 mi,59 mi
Endividamento geral,"208,52%","200,05%","591,30%","351,68%","378,17%","422,38%","274,52%","205,63%","195,56%","179,38%","201,11%","160,59%","98,91%","42,44%","1,77%","2,86%"
