Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"9,82","9,46","8,94","10,32","8,89",-,-
P/VP,"1,71","1,78","1,54","2,09","1,71",-,-
P/EBIT,"14,86","5,76","11,64","10,97","10,82",-,-
P/EBIT *,"14,26","5,78","12,56","11,50","11,76",-,-
PSR,"0,49","0,56","0,57","0,86","0,72",-,-
P/Ativos,"0,61","0,81","0,75","0,97","0,87",-,-
LPA,"1,63","1,51","1,15","1,14","0,86",-,-
VPA,"9,38","8,06","6,69","5,63","4,47",-,-
EBIT por ação,"1,08","2,49","0,88","1,07","0,71",-,-
EBIT por ação *,"1,12","2,48","0,82","1,02","0,65",-,-
Ativo por ação,"26,17","17,75","13,75","12,15","8,78",-,-
Receita líquida por ação,"32,80","25,61","17,97","13,75","10,66",-,-
Margem bruta,"15,13%","19,74%","13,85%","15,15%","13,13%","16,07%","14,16%"
Margem líquida,"4,92%","5,90%","6,38%","8,29%","8,06%","7,91%","5,43%"
Margem EBIT,"3,28%","9,71%","4,91%","7,81%","6,62%","10,52%","6,62%"
Margem EBIT *,"3,42%","9,68%","4,55%","7,45%","6,09%","9,71%","5,44%"
Margem EBITDA,"3,96%","10,42%","5,48%","8,29%","7,06%","11,08%","7,19%"
Margem EBITDA *,"4,10%","10,39%","5,12%","7,93%","6,53%","10,27%","6,01%"
Margem operacional,"6,31%","7,80%","4,76%","7,85%","7,11%","8,21%","5,67%"
ROE,"17,21%","18,70%","17,12%","20,26%","19,24%","34,58%","30,22%"
ROA,"0,06","0,09","0,08","0,09","0,10","0,11","0,08"
ROIC,"7,16%","24,69%","12,18%","16,61%","17,01%","27,24%","20,33%"
ROIC *,"7,46%","24,61%","11,29%","15,85%","15,65%","25,14%","16,70%"
Giro do ativo,"1,25","1,44","1,31","1,13","1,21","1,34","1,46"
EBIT *,561 mi,1.241 mi,409 mi,512 mi,325 mi,302 mi,120 mi
EBITDA,651 mi,1.336 mi,492 mi,570 mi,376 mi,344 mi,159 mi
EBITDA *,673 mi,1.332 mi,460 mi,545 mi,348 mi,319 mi,133 mi
Liquidez corrente,"1,36","1,58","1,59","1,55","1,83","1,30","1,13"
Liquidez seca,"1,00","1,09","1,04","0,81","1,05","0,72","0,68"
Liquidez imediata,"0,43","0,46","0,37","0,26","0,19","0,19","0,17"
Dívida bruta,4.660 mi,2.066 mi,1.272 mi,1.096 mi,799 mi,641 mi,423 mi
Dívida líquida,1.905 mi,294 mi,46 mi,216 mi,-291 mi,388 mi,259 mi
Capital de giro,2.133 mi,2.110 mi,1.637 mi,1.518 mi,1.523 mi,404 mi,128 mi
Endividamento geral,"178,82%","119,72%","105,37%","115,78%","96,56%","225,98%","281,18%"
