Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017
P/L,"-9,62","-9,58","33,82","-41,64","88,28","-333,94","602,84","129,63",-,-
P/VP,"0,90","0,88","0,52","1,07","0,84","1,79","17,66","26,52",-,-
P/EBIT,"-8,12","-7,81","12,54","35,51","54,83","616,62","269,32","44,25",-,-
P/EBIT *,"11,94","13,75","12,55","37,60","53,08","326,64","274,97","50,13",-,-
PSR,"1,40","1,45","1,04","2,38","2,20","6,57","24,37","6,07",-,-
P/Ativos,"0,60","0,59","0,36","0,67","0,53","1,15","8,19","4,56",-,-
LPA,"-0,38","-0,40","0,07","-0,13","0,05","-0,03","0,03","0,03",-,-
VPA,"4,12","4,34","4,83","5,07","5,23","5,16","1,19","0,16",-,-
EBIT por ação,"-0,46","-0,49","0,20","0,15","0,08","0,01","0,08","0,09",-,-
EBIT por ação *,"0,31","0,28","0,20","0,14","0,08","0,03","0,08","0,08",-,-
Ativo por ação,"6,19","6,40","7,05","8,10","8,31","8,07","2,55","0,90",-,-
Receita líquida por ação,"2,64","2,62","2,41","2,27","2,00","1,41","0,86","0,68",-,-
Margem bruta,"48,73%","48,31%","47,81%","46,25%","45,02%","45,55%","42,06%","41,82%","44,60%","43,90%"
Margem líquida,"-14,56%","-15,15%","3,08%","-5,70%","2,49%","-1,97%","4,04%","4,68%","3,46%","3,42%"
Margem EBIT,"-17,23%","-18,59%","8,31%","6,69%","4,01%","1,07%","9,05%","13,73%","11,54%","10,35%"
Margem EBIT *,"11,73%","10,56%","8,30%","6,32%","4,14%","2,01%","8,86%","12,12%","11,70%","9,74%"
Margem EBITDA,"-7,91%","-9,05%","17,83%","15,83%","13,08%","11,98%","20,64%","27,70%","23,22%","23,59%"
Margem EBITDA *,"21,05%","20,10%","17,82%","15,46%","13,21%","12,93%","20,46%","26,09%","23,38%","22,97%"
Margem operacional,"-19,13%","-20,45%","4,74%","-8,48%","5,29%","1,57%","6,09%","6,29%","6,38%","5,70%"
ROE,"-9,34%","-9,14%","1,54%","-2,56%","0,95%","-0,54%","2,93%","20,46%","17,82%","19,84%"
ROA,"-0,06","-0,06","0,01","-0,02","0,01","-0,00","0,01","0,04","0,04","0,04"
ROIC,"-8,34%","-8,83%","3,32%","2,57%","1,41%","0,29%","4,39%","11,30%","15,39%","15,46%"
ROIC *,"5,67%","5,02%","3,32%","2,42%","1,46%","0,54%","4,30%","9,98%","15,61%","14,54%"
Giro do ativo,"0,43","0,41","0,34","0,28","0,24","0,17","0,34","0,75","1,14","1,21"
EBIT *,176 mi,157 mi,113 mi,81 mi,47 mi,16 mi,43 mi,46 mi,36 mi,28 mi
EBITDA,-119 mi,-135 mi,244 mi,204 mi,148 mi,95 mi,100 mi,106 mi,73 mi,69 mi
EBITDA *,316 mi,299 mi,244 mi,199 mi,149 mi,103 mi,99 mi,100 mi,73 mi,67 mi
Liquidez corrente,"1,14","1,26","1,18","1,35","1,97","3,12","1,79","0,74","0,65","0,66"
Liquidez seca,"1,14","1,26","1,18","1,35","1,97","3,12","1,79","0,74","0,65","0,66"
Liquidez imediata,"0,27","0,35","0,40","0,82","1,30","2,30","0,90","0,11","0,11","0,27"
Dívida bruta,71 mi,75 mi,74 mi,77 mi,77 mi,105 mi,154 mi,186 mi,82 mi,68 mi
Dívida líquida,-303 mi,-390 mi,-470 mi,-1.111 mi,-1.371 mi,-1.481 mi,-272 mi,153 mi,54 mi,30 mi
Capital de giro,148 mi,270 mi,204 mi,508 mi,1.077 mi,1.463 mi,356 mi,-62 mi,-54 mi,-47 mi
Endividamento geral,"50,22%","47,43%","46,06%","59,76%","58,87%","56,31%","115,49%","481,90%","352,36%","377,36%"
