Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,67","4,89","-9,26","5,47","2,10","7,20","-7,12","-14,14","161,02","20,23",-,-,-,-,-,-,-,-
P/VP,"1,10","1,50","2,03","1,72","1,49","4,12","10,55","2,22","4,27","3,15",-,-,-,-,-,-,-,-
P/EBIT,"5,22","6,16","4,17","6,31","2,21","3,42","9,04","15,16","10,24","11,22",-,-,-,-,-,-,-,-
P/EBIT *,"5,61","6,48","4,54","7,58","2,36","3,77","9,69","18,19","10,06","11,75",-,-,-,-,-,-,-,-
PSR,"1,07","1,31","1,38","1,94","0,99","1,52","2,51","1,53","3,81","3,47",-,-,-,-,-,-,-,-
P/Ativos,"0,32","0,39","0,39","0,54","0,37","0,52","0,75","0,41","0,95","1,28",-,-,-,-,-,-,-,-
LPA,"9,00","10,61","-5,60","11,14","18,50","6,82","-8,48","-2,23","0,25","1,43",-,-,-,-,-,-,-,-
VPA,"38,00","34,66","25,54","35,35","26,15","11,93","5,72","14,22","9,50","9,19",-,-,-,-,-,-,-,-
EBIT por ação,"8,04","8,42","12,41","9,66","17,58","14,38","6,68","2,08","3,96","2,58",-,-,-,-,-,-,-,-
EBIT por ação *,"7,48","8,01","11,43","8,04","16,47","13,04","6,23","1,73","4,03","2,46",-,-,-,-,-,-,-,-
Ativo por ação,"131,18","132,85","131,27","113,59","105,37","94,12","80,53","77,45","42,66","22,56",-,-,-,-,-,-,-,-
Receita líquida por ação,"39,18","39,64","37,50","31,45","39,42","32,41","24,10","20,58","10,63","8,32",-,-,-,-,-,-,-,-
Margem bruta,"31,42%","32,38%","42,19%","36,92%","50,19%","49,68%","37,73%","20,26%","48,51%","38,70%","33,50%","39,51%","26,28%","26,34%","22,43%","22,20%","30,25%","22,10%"
Margem líquida,"23,02%","26,81%","-14,86%","35,48%","46,95%","21,08%","-35,18%","-10,82%","2,37%","17,18%","17,12%","-9,05%","-3,60%","-3,88%","-3,51%","0,62%","17,04%","23,95%"
Margem EBIT,"20,52%","21,25%","33,10%","30,73%","44,60%","44,38%","27,72%","10,10%","37,25%","30,97%","13,33%","30,03%","16,93%","17,15%","10,48%","13,95%","25,98%","16,18%"
Margem EBIT *,"19,09%","20,20%","30,47%","25,55%","41,77%","40,23%","25,86%","8,42%","37,92%","29,57%","25,04%","31,05%","16,73%","15,30%","9,87%","10,20%","18,81%","12,25%"
Margem EBITDA,"43,96%","43,79%","52,56%","49,14%","59,50%","61,56%","49,77%","41,06%","48,89%","44,30%","27,53%","43,91%","33,67%","32,78%","24,49%","26,85%","37,63%","29,37%"
Margem EBITDA *,"42,52%","42,74%","49,93%","43,97%","56,68%","57,41%","47,91%","39,38%","49,55%","42,91%","39,24%","44,93%","33,47%","30,93%","23,88%","23,10%","30,46%","25,44%"
Margem operacional,"34,01%","40,73%","-27,66%","45,27%","57,51%","21,56%","-57,92%","-15,75%","1,21%","21,28%","24,47%","-13,29%","-5,01%","-4,92%","-5,99%","-2,03%","19,92%","33,80%"
ROE,"23,66%","30,57%","-21,73%","31,48%","70,54%","56,91%","-146,03%","-15,56%","2,65%","15,55%","16,68%","-10,07%","-2,54%","-2,06%","-1,66%","0,31%","8,90%","12,04%"
