Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"67,57","136,13","-41,55","-13,35","-1,59","-4,21","-9,94",-,-
P/VP,"2,53","2,70","1,89","2,69","0,58","1,69","2,51",-,-
P/EBIT,"3,39","3,68","3,14","5,74","3,38","-29,04","207,50",-,-
P/EBIT *,"3,54","3,81","2,88","3,03","1,22","8,09","20,10",-,-
PSR,"0,47","0,51","0,42","0,73","0,23","1,13","2,62",-,-
P/Ativos,"0,35","0,38","0,26","0,39","0,10","0,37","0,63",-,-
LPA,"0,06","0,03","-0,07","-0,34","-0,73","-1,02","-0,78",-,-
VPA,"1,65","1,62","1,59","1,67","2,03","2,53","3,09",-,-
EBIT por ação,"1,23","1,19","0,96","0,78","0,35","-0,15","0,04",-,-
EBIT por ação *,"1,18","1,15","1,05","1,49","0,96","0,53","0,39",-,-
Ativo por ação,"11,84","11,54","11,43","11,47","11,69","11,74","12,30",-,-
Receita líquida por ação,"8,86","8,54","7,23","6,18","5,07","3,81","2,96",-,-
Margem bruta,"30,29%","30,44%","33,49%","32,44%","28,49%","24,78%","25,38%","29,56%","28,20%"
Margem líquida,"1,04%","0,75%","-0,55%","-5,02%","-14,17%","-26,85%","-26,28%","-3,94%","-5,14%"
Margem EBIT,"13,90%","13,93%","13,31%","12,68%","6,81%","-3,88%","1,26%","12,69%","15,64%"
Margem EBIT *,"13,29%","13,46%","14,49%","24,03%","18,85%","13,92%","13,02%","19,43%","18,24%"
Margem EBITDA,"27,41%","27,64%","28,75%","29,97%","27,54%","24,58%","40,84%",--%,--%
Margem EBITDA *,"26,81%","27,16%","29,93%","41,31%","39,57%","42,38%","52,60%",--%,--%
Margem operacional,"1,76%","1,38%","-0,25%","-4,60%","-13,74%","-26,54%","-26,04%","-3,52%","-5,06%"
ROE,"5,44%","3,82%","-2,40%","-18,19%","-34,51%","-39,88%","-24,84%","-7,34%","-8,27%"
ROA,"0,01","0,01","-0,00","-0,03","-0,06","-0,09","-0,06","-0,02","-0,03"
ROIC,"12,10%","12,00%","9,69%","7,89%","3,32%","-1,38%","0,32%","6,17%","8,01%"
ROIC *,"11,57%","11,59%","10,54%","14,94%","9,17%","4,96%","3,29%","9,44%","9,34%"
Giro do ativo,"0,75","0,74","0,63","0,54","0,43","0,32","0,24","0,45","0,49"
EBIT *,258 mi,252 mi,229 mi,325 mi,209 mi,116 mi,84 mi,210 mi,178 mi
EBITDA,532 mi,517 mi,455 mi,406 mi,306 mi,205 mi,265 mi,--,--
EBITDA *,520 mi,508 mi,474 mi,560 mi,440 mi,353 mi,341 mi,--,--
Liquidez corrente,"0,86","0,68","0,69","0,49","0,31","0,36","0,25","0,50","0,30"
Liquidez seca,"0,86","0,68","0,69","0,49","0,31","0,36","0,25","0,50","0,30"
Liquidez imediata,"0,44","0,36","0,34","0,28","0,15","0,14","0,05","0,24","0,07"
Dívida bruta,1.519 mi,1.452 mi,1.462 mi,1.411 mi,1.370 mi,1.365 mi,1.480 mi,1.549 mi,1.160 mi
Dívida líquida,1.257 mi,1.207 mi,1.244 mi,1.222 mi,1.232 mi,1.269 mi,1.438 mi,1.428 mi,1.119 mi
Capital de giro,-83 mi,-219 mi,-200 mi,-346 mi,-625 mi,-441 mi,-608 mi,-248 mi,-395 mi
Endividamento geral,"596,47%","586,07%","590,86%","571,99%","461,07%","358,18%","292,60%","316,44%","230,29%"
