Conta
P/L
P/VP
P/EBIT
P/EBIT *
PSR
P/Ativos
LPA
VPA
EBIT por ação
EBIT por ação *
Ativo por ação
Receita líquida por ação
Margem bruta
Margem líquida
Margem EBIT
Margem EBIT *
Margem EBITDA
Margem EBITDA *
Margem operacional
ROE
ROA
ROIC
ROIC *
Giro do ativo
EBIT *
EBITDA
EBITDA *
Liquidez corrente
Liquidez seca
Liquidez imediata
Dívida bruta
Dívida líquida
Capital de giro
Endividamento geral
