Conta
Receita líquida
Custos
Lucro bruto
Despesas operacionais
Despesas com vendas
Despesas administrativas
EBIT
Resultado operacional
Resultado financeiro
Antes dos impostos
Imposto
Op. continuadas
Op. descontinuadas
Lucro líquido
Dos controladores
Dos não controladores
