Conta
Ativo total
Ativo circulante
Caixa e eq. de caixa
Aplicações financeiras
Contas a receber
Estoques
Ativos biológicos
Ativo não circulante
Investimentos
Imobilizado
Intangível
Passivo total
Passivo circulante
Fornecedores
Empréstimos e financ.
Passivo não circulante
Emprést. de longo prazo
Patrimônio líquido
Aos não controladores
