Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"12,46","14,89","37,89","-3,00","39,48","22,25","153,09","49,22","26,99","21,96","15,23","12,39","16,09","17,76","20,81","21,57","15,10","35,00"
P/VP,"2,23","2,55","1,01","1,50","0,83","4,52","7,28","5,10","3,76","3,64","2,79","1,83","2,26","3,00","3,52","4,49","3,53","4,08"
P/EBIT,"11,35","14,24","79,86","-2,82","23,84","24,78","72,47","31,63","16,53","20,97","11,66","9,24","13,55","16,92","19,97","21,27","14,26","28,54"
P/EBIT *,"9,02","11,28","20,08","75,46","8,84","22,64","39,10","23,19","20,66","19,24","9,90","7,22","11,80","13,08","15,53","19,14","12,91","20,64"
PSR,"1,64","1,86","1,00","1,50","1,15","3,89","6,83","4,11","2,65","2,14","1,36","0,84","1,27","1,61","1,94","2,58","2,07","2,29"
P/Ativos,"1,23","1,39","0,60","0,89","0,56","1,91","4,46","2,98","2,25","2,07","1,46","0,90","1,23","1,64","2,13","2,75","2,05","2,45"
LPA,"0,91","0,83","0,16","-2,73","0,18","1,01","0,21","0,40","0,49","0,53","0,53","0,40","0,41","0,45","0,41","0,45","0,45","0,18"
VPA,"5,06","4,87","5,91","5,46","8,43","4,97","4,32","3,87","3,49","3,20","2,89","2,69","2,92","2,69","2,42","2,16","1,92","1,58"
EBIT por ação,"1,00","0,87","0,07","-2,91","0,29","0,91","0,43","0,62","0,79","0,56","0,69","0,53","0,49","0,48","0,43","0,46","0,47","0,23"
EBIT por ação *,"1,25","1,10","0,30","0,11","0,79","0,99","0,80","0,85","0,63","0,61","0,81","0,68","0,56","0,62","0,55","0,51","0,52","0,31"
Ativo por ação,"9,20","8,93","10,01","9,26","12,44","11,76","7,05","6,62","5,83","5,63","5,54","5,51","5,34","4,92","4,01","3,53","3,31","2,64"
Receita líquida por ação,"6,88","6,68","6,01","5,47","6,12","5,78","4,60","4,80","4,95","5,45","5,94","5,91","5,18","5,02","4,40","3,77","3,27","2,82"
Margem bruta,"52,49%","52,17%","43,15%","40,07%","46,10%","49,55%","51,26%","52,91%","48,93%","44,05%","44,40%","42,71%","41,03%","41,46%","42,33%","44,82%","45,62%","43,12%"
Margem líquida,"13,15%","12,44%","2,61%","-50,01%","2,60%","17,54%","4,04%","7,91%","9,59%","9,42%","8,84%","6,52%","8,10%","9,04%","9,33%","12,00%","13,91%","6,43%"
Margem EBIT,"14,46%","13,03%","1,25%","-53,26%","4,81%","15,68%","9,42%","13,01%","16,01%","10,19%","11,65%","9,04%","9,40%","9,50%","9,70%","12,11%","14,53%","8,01%"
Margem EBIT *,"18,19%","16,45%","4,96%","1,99%","12,98%","17,16%","17,46%","17,74%","12,81%","11,11%","13,72%","11,58%","10,80%","12,29%","12,47%","13,46%","16,05%","11,08%"
Margem EBITDA,"19,07%","17,78%","7,33%","-48,77%","7,84%","17,96%","11,59%","15,42%","18,89%","13,06%","14,21%","11,56%","11,60%","11,44%","11,70%","14,21%","16,80%","11,61%"
Margem EBITDA *,"22,79%","21,20%","11,04%","6,49%","16,01%","19,45%","19,63%","20,15%","15,69%","13,98%","16,28%","14,09%","13,00%","14,23%","14,48%","15,56%","18,33%","14,68%"
Margem operacional,"13,58%","12,22%","1,55%","-55,83%","6,48%","18,10%","7,25%","12,99%","15,79%","8,22%","9,50%","7,54%","8,75%","10,14%","9,97%","13,24%","14,93%","6,55%"
