Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"7,08","8,68","-3,01","-2,32","12,04","5,74",-,-
P/VP,"0,41","0,36","0,33","0,60","0,27","1,11",-,-
P/EBIT,"6,46","9,94","-47,22","-2,67","5,84","5,71",-,-
P/EBIT *,"16,19","-1.261,62","-5,35","-2,28","21,07","11,14",-,-
PSR,"0,32","0,27","0,29","0,55","0,25","0,92",-,-
P/Ativos,"0,24","0,20","0,18","0,35","0,16","0,67",-,-
LPA,"0,22","0,15","-0,39","-1,02","0,11","0,94",-,-
VPA,"3,76","3,62","3,52","3,92","4,94","4,89",-,-
EBIT por ação,"0,24","0,13","-0,03","-0,89","0,23","0,95",-,-
EBIT por ação *,"0,10","-0,00","-0,22","-1,04","0,06","0,49",-,-
Ativo por ação,"6,41","6,40","6,47","6,65","8,38","8,14",-,-
Receita líquida por ação,"4,91","4,78","4,13","4,26","5,34","5,91",-,-
Margem bruta,"26,14%","24,73%","23,20%","5,46%","25,95%","27,99%","34,49%","32,39%"
Margem líquida,"4,48%","3,11%","-9,48%","-23,90%","2,05%","15,98%","15,62%","12,12%"
Margem EBIT,"4,91%","2,71%","-0,61%","-20,76%","4,23%","16,06%","18,45%","11,55%"
Margem EBIT *,"1,96%","-0,02%","-5,34%","-24,28%","1,17%","8,24%","13,52%","8,43%"
Margem EBITDA,"6,30%","4,12%","1,22%","-18,82%","5,58%","16,85%","19,28%","12,42%"
Margem EBITDA *,"3,34%","1,39%","-3,52%","-22,34%","2,52%","9,03%","14,35%","9,30%"
Margem operacional,"4,98%","3,64%","-7,50%","-24,82%","3,21%","16,10%","15,16%","11,53%"
ROE,"5,85%","4,11%","-11,11%","-25,99%","2,22%","19,33%","29,15%","20,12%"
ROA,"0,03","0,02","-0,06","-0,15","0,01","0,12","0,09","0,12"
ROIC,"5,87%","3,16%","-0,59%","-18,94%","3,43%","18,72%","23,50%","14,90%"
ROIC *,"2,34%","-0,02%","-5,25%","-22,15%","0,95%","9,60%","17,22%","10,87%"
Giro do ativo,"0,77","0,75","0,64","0,64","0,64","0,73","0,61","0,99"
EBIT *,79 mi,-1 mi,-181 mi,-850 mi,51 mi,399 mi,384 mi,160 mi
EBITDA,253 mi,161 mi,41 mi,-659 mi,244 mi,816 mi,548 mi,237 mi
EBITDA *,134 mi,54 mi,-120 mi,-782 mi,110 mi,437 mi,408 mi,177 mi
Liquidez corrente,"2,08","1,92","2,31","3,29","2,51","2,79","1,72","2,83"
Liquidez seca,"1,27","1,22","1,36","2,05","1,18","1,57","0,67","1,46"
Liquidez imediata,"0,35","0,35","0,47","0,86","0,30","0,66","0,18","0,17"
Dívida bruta,433 mi,490 mi,647 mi,820 mi,1.210 mi,997 mi,705 mi,177 mi
Dívida líquida,-191 mi,-167 mi,-97 mi,-226 mi,546 mi,-363 mi,244 mi,79 mi
Capital de giro,1.921 mi,1.753 mi,2.069 mi,2.794 mi,3.320 mi,3.656 mi,1.790 mi,1.052 mi
Endividamento geral,"70,19%","77,00%","83,58%","69,66%","69,68%","66,62%","207,55%","67,26%"
