Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
P/L,"12,04","12,60","10,71","10,75","6,55","9,73",-,-,-,-,-
P/VP,"3,84","3,99","3,13","3,06","1,60","1,75",-,-,-,-,-
P/EBIT,"11,14","11,63","9,55","9,75","5,84","8,80",-,-,-,-,-
P/EBIT *,"-334,81","-361,80","-318,44","-350,07","-196,51","-265,23",-,-,-,-,-
PSR,--,--,--,--,--,--,-,-,-,-,-
P/Ativos,"3,54","3,66","2,88","2,75","1,50","1,73",-,-,-,-,-
LPA,"1,46","1,43","1,26","1,19","1,00","0,63",-,-,-,-,-
VPA,"4,59","4,52","4,30","4,20","4,11","3,52",-,-,-,-,-
EBIT por ação,"1,58","1,55","1,41","1,32","1,13","0,70",-,-,-,-,-
EBIT por ação *,"-0,05","-0,05","-0,04","-0,04","-0,03","-0,02",-,-,-,-,-
Ativo por ação,"4,98","4,92","4,67","4,67","4,38","3,55",-,-,-,-,-
Receita líquida por ação,"0,00","0,00","0,00","0,00","0,00","0,00",-,-,-,-,-
Margem bruta,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem líquida,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROE,"31,89%","31,67%","29,21%","28,46%","24,41%","17,96%","19,48%","29,88%","32,10%","31,08%","28,90%"
ROA,"0,29","0,29","0,27","0,26","0,23","0,18","0,19","0,28","0,32","0,29","0,28"
ROIC,"34,36%","35,56%","32,96%","30,04%","27,62%","20,36%","23,32%","34,77%","37,80%","35,41%","32,56%"
ROIC *,"-1,14%","-1,14%","-0,99%","-0,84%","-0,82%","-0,68%","-0,64%","-0,91%","-1,03%","-0,92%","-0,57%"
Giro do ativo,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
EBIT *,-158 mi,-150 mi,-127 mi,-111 mi,-101 mi,-70 mi,-56 mi,-45 mi,-46 mi,-38 mi,-22 mi
EBITDA,4.748 mi,4.648 mi,4.223 mi,3.951 mi,3.377 mi,2.096 mi,2.025 mi,1.709 mi,1.672 mi,1.450 mi,1.209 mi
EBITDA *,-157 mi,-149 mi,-127 mi,-111 mi,-101 mi,-70 mi,-56 mi,-45 mi,-46 mi,-38 mi,-22 mi
Liquidez corrente,"1,86","1,70","1,74","1,03","2,04","10,21","2,46","3,23","8,51","2,23","3,02"
Liquidez seca,"1,86","1,70","1,74","1,03","2,04","10,21","2,46","3,23","8,51","2,23","3,02"
Liquidez imediata,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,82","3,56","0,83","1,35"
Dívida bruta,10 mi,10 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-1.100 mi,-1.687 mi,-1.210 mi,-852 mi,-919 mi,-363 mi,-774 mi,-502 mi,-250 mi,-394 mi,-219 mi
Capital de giro,978 mi,844 mi,838 mi,49 mi,849 mi,876 mi,540 mi,612 mi,526 mi,381 mi,327 mi
Endividamento geral,"8,37%","8,96%","8,80%","11,27%","6,65%","0,91%","4,09%","5,37%","1,54%","7,43%","4,31%"
