Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"16,25","17,02","-71,79","16,20","-6,39","-11,35","-77,32",-,-
P/VP,"1,97","1,77","1,13","1,51","0,78","0,60","11,15",-,-
P/EBIT,"5,80","5,47","4,01","4,32","18,18","17,28","24,82",-,-
P/EBIT *,"5,79","5,57","4,13","5,70","8,17","11,56","37,26",-,-
PSR,"0,91","0,84","0,65","0,72","0,49","0,61","2,74",-,-
P/Ativos,"0,58","0,52","0,37","0,50","0,26","0,22","1,57",-,-
LPA,"0,61","0,53","-0,08","0,37","-0,47","-0,24","-0,11",-,-
VPA,"5,02","5,07","4,97","3,94","3,82","4,49","0,79",-,-
EBIT por ação,"1,70","1,64","1,40","1,38","0,16","0,16","0,36",-,-
EBIT por ação *,"1,71","1,61","1,36","1,04","0,36","0,23","0,24",-,-
Ativo por ação,"16,98","17,39","15,16","11,92","11,37","12,43","5,62",-,-
Receita líquida por ação,"10,86","10,67","8,61","8,25","6,01","4,41","3,21",-,-
Margem bruta,"27,42%","26,89%","26,84%","22,78%","15,62%","17,79%","19,48%","18,01%","24,31%"
Margem líquida,"5,60%","4,94%","-0,91%","4,45%","-7,74%","-5,37%","-3,55%","2,17%","-4,65%"
Margem EBIT,"15,66%","15,39%","16,24%","16,69%","2,72%","3,53%","11,06%","9,18%","6,91%"
Margem EBIT *,"15,71%","15,11%","15,77%","12,64%","6,06%","5,27%","7,37%","6,72%","9,95%"
Margem EBITDA,"31,93%","30,57%","31,31%","31,72%","21,34%","21,67%","23,52%","23,38%","20,13%"
Margem EBITDA *,"31,98%","30,30%","30,84%","27,66%","24,68%","23,41%","19,83%","20,92%","23,17%"
Margem operacional,"6,81%","6,66%","0,67%","7,54%","-9,82%","-6,36%","-5,02%","2,87%","-6,92%"
ROE,"12,13%","10,41%","-1,57%","9,30%","-12,17%","-5,28%","-14,43%","6,39%","-9,50%"
ROA,"0,04","0,03","-0,01","0,03","-0,04","-0,02","-0,02","0,01","-0,03"
ROIC,"12,34%","12,49%","11,67%","13,66%","1,61%","1,70%","7,85%","6,77%","4,64%"
ROIC *,"12,38%","12,26%","11,33%","10,34%","3,59%","2,54%","5,23%","4,95%","6,68%"
Giro do ativo,"0,64","0,61","0,57","0,69","0,53","0,35","0,57","0,64","0,63"
EBIT *,341 mi,322 mi,271 mi,208 mi,72 mi,46 mi,47 mi,29 mi,29 mi
EBITDA,693 mi,652 mi,538 mi,523 mi,256 mi,191 mi,151 mi,103 mi,60 mi
EBITDA *,694 mi,646 mi,530 mi,456 mi,296 mi,206 mi,127 mi,92 mi,69 mi
Liquidez corrente,"2,32","2,59","1,82","1,23","0,81","2,20","1,29","0,93","0,95"
Liquidez seca,"2,30","2,57","1,81","1,22","0,80","2,19","1,27","0,92","0,94"
Liquidez imediata,"1,04","1,39","0,93","0,38","0,13","1,31","0,64","0,21","0,18"
Dívida bruta,2.010 mi,2.083 mi,1.698 mi,1.181 mi,1.188 mi,1.260 mi,804 mi,425 mi,271 mi
Dívida líquida,1.480 mi,1.371 mi,1.164 mi,924 mi,1.032 mi,719 mi,637 mi,381 mi,254 mi
Capital de giro,652 mi,798 mi,453 mi,130 mi,-124 mi,449 mi,74 mi,-15 mi,-5 mi
Endividamento geral,"238,53%","243,15%","204,90%","202,30%","197,80%","176,75%","610,55%","362,15%","226,47%"
