Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-97,43","-2,98","-1,30","-0,11","-0,47",-,-,-
P/VP,"-0,19","-0,20","-0,34","-0,06","-0,49",-,-,-
P/EBIT,"1,35","-6,98","-1,34","-0,10","-0,52",-,-,-
P/EBIT *,"1,22","4.096,51","-2,84","-0,18","-2,85",-,-,-
PSR,"0,20","0,32","0,57","0,08","0,31",-,-,-
P/Ativos,"0,22","0,25","0,28","0,03","0,09",-,-,-
LPA,"-0,04","-1,24","-4,54","-7,15","-6,17",-,-,-
VPA,"-18,53","-18,50","-17,26","-12,72","-5,84",-,-,-
EBIT por ação,"2,54","-0,53","-4,39","-7,87","-5,51",-,-,-
EBIT por ação *,"2,82","0,00","-2,08","-4,52","-1,02",-,-,-
Ativo por ação,"15,49","14,61","21,19","29,58","30,52",-,-,-
Receita líquida por ação,"17,32","11,56","10,41","10,44","9,27",-,-,-
Margem bruta,"73,18%","82,32%","85,80%","89,35%","89,34%","89,70%","93,60%","94,64%"
Margem líquida,"-0,20%","-10,70%","-43,63%","-68,43%","-66,61%","-57,87%","-14,60%","-12,17%"
Margem EBIT,"14,64%","-4,57%","-42,18%","-75,35%","-59,40%","-14,85%","-6,89%","-8,58%"
Margem EBIT *,"16,29%","0,01%","-19,95%","-43,29%","-10,96%","18,11%","27,54%","-7,14%"
Margem EBITDA,"26,51%","14,62%","-21,17%","-58,69%","-46,85%","-2,47%","3,10%","-2,59%"
Margem EBITDA *,"28,15%","19,20%","1,07%","-26,63%","1,60%","30,49%","37,53%","-1,16%"
Margem operacional,"5,37%","-10,70%","-43,53%","-67,87%","-65,50%","-56,35%","-14,46%","-10,19%"
ROE,"0,19%","6,69%","26,31%","56,19%","105,75%","17,47%","6,12%","5,42%"
ROA,"-0,00","-0,08","-0,21","-0,24","-0,20","-0,32","-0,07","-0,10"
ROIC,"27,27%","-5,37%","-40,76%","-73,39%","-111,79%","-28,32%","-12,37%","-16,55%"
ROIC *,"30,33%","0,01%","-19,27%","-42,17%","-20,62%","34,55%","49,42%","-13,77%"
Giro do ativo,"1,12","0,79","0,49","0,35","0,30","0,56","0,48","0,79"
EBIT *,37 mi,0 mi,-28 mi,-61 mi,-14 mi,20 mi,35 mi,-10 mi
EBITDA,61 mi,22 mi,-30 mi,-82 mi,-58 mi,-3 mi,3 mi,-4 mi
EBITDA *,64 mi,29 mi,1 mi,-38 mi,1 mi,33 mi,47 mi,-2 mi
Liquidez corrente,"0,35","0,24","0,42","0,69","1,02","0,43","0,70","0,44"
Liquidez seca,"0,35","0,24","0,42","0,69","1,02","0,43","0,70","0,44"
Liquidez imediata,"0,08","0,02","0,15","0,46","0,80","0,33","0,52","0,22"
Dívida bruta,111 mi,69 mi,101 mi,102 mi,33 mi,127 mi,130 mi,49 mi
Dívida líquida,73 mi,40 mi,5 mi,-100 mi,-261 mi,17 mi,-19 mi,-12 mi
Capital de giro,-173 mi,-217 mi,-198 mi,-112 mi,7 mi,-192 mi,-87 mi,-155 mi
Endividamento geral,"-183,59%","-178,96%","-222,78%","-332,61%","-622,78%","-154,33%","-186,91%","-156,70%"
