rank,model,accuracy,balanced_accuracy,macro_f1
1,Random Forest,0.4186202277294039,0.37023154009855885,0.37036072840624706
2,HistGradientBoosting,0.3697253851306095,0.34113232537567906,0.3422598389047441
3,TensorFlow Dense + Embedding,0.33891493636972536,0.31347168011436993,0.312118536451991
4,Logistic Regression,0.297052913596785,0.29200234902438266,0.2870810381295086
