,precision,recall,f1-score,support
NH,0.4956803455723542,0.5550181378476421,0.5236737022247575,827.0
N,0.28160919540229884,0.23167848699763594,0.25421530479896237,423.0
S,0.3849462365591398,0.34095238095238095,0.3616161616161616,525.0
P,0.27340823970037453,0.18961038961038962,0.22392638036809817,385.0
PH,0.45,0.5338983050847458,0.4883720930232558,826.0
accuracy,0.4186202277294039,0.4186202277294039,0.4186202277294039,0.4186202277294039
macro avg,0.37712880344683347,0.37023154009855885,0.37036072840624706,2986.0
weighted avg,0.4045905163836912,0.4186202277294039,0.4085956851296877,2986.0
