Conta,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"77,82 M","33,40 M","26,88 M","8,26 M","15,79 M","7,35 M","14,09 M","-27,32 M","-41,14 M","11,95 M","-112,00 Mil","-8,10 M","18,69 M","7,63 M","16,86 M","16,23 M","81,02 M","14,25 M","8,37 M","1,08 M","51,56 M","9,22 M","5,99 M","15,84 M","134,72 M","14,01 M","55,42 M","59,90 M","76,18 M","42,89 M","68,34 M","138,62 M","170,62 M","139,53 M","120,78 M","107,07 M","227,22 M","259,36 M","492,56 M","247,01 M","167,65 M","414,18 M","480,21 M","475,78 M","521,49 M","562,44 M","506,33 M","542,52 M","203,86 M","519,68 M","614,79 M","668,51 M","824,99 M","738,89 M","675,69 M","597,56 M","646,59 M","622,49 M","619,71 M","460,71 M"
Custos,"-65,25 M","-22,85 M","-25,61 M","-6,71 M","-4,93 M","-21,98 M","-11,27 M","15,31 M","5,75 M","-10,12 M","16,80 M","-11,88 M","-58,43 M","3,87 M","-1,66 M","-16,88 M","-86,34 M","-12,49 M","-8,73 M","-1,18 M","-52,31 M","-11,06 M","-7,63 M","-18,86 M","-171,51 M","-11,43 M","-58,64 M","-71,63 M","-74,41 M","-91,93 M","-87,14 M","-141,01 M","-138,10 M","-139,43 M","-113,58 M","-112,02 M","-244,84 M","-216,19 M","-401,12 M","-235,58 M","-231,16 M","-401,84 M","-390,79 M","-390,62 M","-414,90 M","-471,00 M","-383,23 M","-462,91 M","-288,52 M","-403,20 M","-430,07 M","-461,79 M","-669,77 M","-552,69 M","-487,83 M","-439,84 M","-482,21 M","-454,95 M","-433,17 M","-343,00 M"
Lucro bruto,"12,57 M","10,55 M","1,28 M","1,54 M","10,86 M","-14,62 M","2,82 M","-12,01 M","-35,40 M","1,83 M","16,68 M","-19,98 M","-39,74 M","11,50 M","15,20 M","-648,00 Mil","-5,32 M","1,76 M","-361,00 Mil","-99,00 Mil","-747,00 Mil","-1,84 M","-1,64 M","-3,02 M","-36,80 M","2,58 M","-3,22 M","-11,74 M","1,76 M","-49,04 M","-18,79 M","-2,40 M","32,51 M","108,00 Mil","7,20 M","-4,95 M","-17,62 M","43,17 M","91,44 M","11,42 M","-63,51 M","12,34 M","89,42 M","85,16 M","106,59 M","91,45 M","123,10 M","79,61 M","-84,67 M","116,49 M","184,72 M","206,72 M","155,21 M","186,20 M","187,86 M","157,73 M","164,38 M","167,54 M","186,54 M","117,71 M"
Despesas operacionais,"60,96 M","-5,93 M","-12,43 M","-1,84 M","-257,15 M","-25,29 M","-35,34 M","-12,34 M","-178,60 M","-19,41 M","-42,46 M","-85,49 M","-85,47 M","-89,28 M","-83,47 M","1,81 M","-194,44 M","-52,59 M","-81,64 M","-47,76 M","-197,00 M","-96,58 M","-66,53 M","-52,35 M","-308,73 M","-95,49 M","-56,31 M","-81,72 M","-120,74 M","-74,41 M","-91,93 M","-80,26 M","-68,03 M","-106,61 M","-84,28 M","-88,09 M","-108,18 M","-163,40 M","-112,06 M","-78,06 M","-249,99 M","-190,06 M","-61,00 M","-55,79 M","-76,01 M","-28,82 M","-44,72 M","-56,26 M","-185,95 M","-73,99 M","-89,67 M","-100,54 M","-123,35 M","-149,11 M","-145,11 M","-127,74 M","-131,26 M","-108,01 M","-105,95 M","-82,11 M"
Despesas com vendas,"-33,07 M","165,00 Mil","-7,32 M","-1,04 M","-3,12 M","-1,39 M","-1,33 M","-703,00 Mil","-334,00 Mil","-1,77 M","-2,81 M","-3,05 M","1,23 M","-8,05 M","-5,50 M","-5,63 M","17,75 M","-20,53 M","-14,63 M","-3,46 M","-16,15 M","-28,86 M","-7,51 M","-4,96 M","-39,22 M","-8,42 M","-11,27 M","-16,60 M","-10,43 M","-6,73 M","-9,19 M","-13,51 M","-16,16 M","-19,35 M","-23,51 M","-14,24 M","-28,38 M","-34,58 M","-29,57 M","-21,62 M","-59,37 M","-49,59 M","-40,07 M","-33,49 M","-41,33 M","-50,44 M","-34,60 M","-28,77 M","-62,70 M","-49,50 M","-56,16 M","-68,75 M","-51,42 M","-76,90 M","-70,42 M","-66,42 M","-77,75 M","-67,47 M","-50,90 M","-38,64 M"
Despesas administrativas,"-3,66 M","-3,47 M","-3,64 M","-3,34 M","-14,23 M","-4,08 M","-4,23 M","-3,99 M","-4,30 M","-5,48 M","-6,86 M","-7,07 M","-7,19 M","-8,09 M","-5,80 M","-6,14 M","-9,97 M","-8,21 M","-6,62 M","-8,67 M","-37,79 M","-7,49 M","-15,73 M","-11,52 M","-45,17 M","-10,23 M","-14,59 M","-15,27 M","-18,96 M","-19,30 M","-20,62 M","-21,86 M","-35,07 M","-23,19 M","-24,37 M","-30,52 M","-31,27 M","-49,08 M","-41,26 M","-41,64 M","-45,19 M","-62,78 M","-30,03 M","-47,70 M","-48,38 M","-45,69 M","-52,56 M","-43,71 M","-54,33 M","-44,03 M","-61,29 M","-55,29 M","-70,95 M","-66,84 M","-69,64 M","-60,09 M","-54,20 M","-43,57 M","-53,32 M","-41,51 M"
EBIT,"73,53 M","4,62 M","-11,16 M","-301,00 Mil","-246,29 M","-39,91 M","-32,52 M","-24,35 M","-214,00 M","-17,58 M","-25,77 M","-105,46 M","-125,21 M","-77,78 M","-68,27 M","1,17 M","-199,77 M","-50,83 M","-82,00 M","-47,86 M","-197,75 M","-98,42 M","-68,17 M","-55,37 M","-345,53 M","-92,91 M","-59,53 M","-93,45 M","-118,97 M","-123,45 M","-110,72 M","-82,66 M","-35,52 M","-106,50 M","-77,08 M","-93,04 M","-125,80 M","-120,23 M","-20,62 M","-66,63 M","-313,50 M","-177,72 M","28,42 M","29,37 M","30,58 M","62,63 M","78,38 M","23,35 M","-270,62 M","42,50 M","95,05 M","106,19 M","31,86 M","37,10 M","42,75 M","29,99 M","33,12 M","59,53 M","80,59 M","35,60 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"129,45 M","-65,43 M","-17,06 M","-30,39 M","987,66 M","-9,46 M","-9,12 M","-24,61 M","16,74 M","-21,31 M","-33,63 M","-50,04 M","-27,74 M","-35,65 M","213,14 M","-27,85 M","433,04 M","-29,25 M","53,28 M","-31,76 M","27,18 M","-50,14 M","-38,21 M","-27,84 M","-111,78 M","-56,70 M","-34,33 M","-40,43 M","262,47 M","-47,88 M","-56,85 M","-77,55 M","-59,29 M","-62,34 M","-44,26 M","-49,70 M","-57,10 M","-37,82 M","-51,75 M","-52,31 M","-36,78 M","-77,15 M","-10,31 M","-6,58 M","-14,53 M","-41,72 M","-16,65 M","-12,15 M","-62,09 M","-11,89 M","-15,14 M","-10,93 M","-12,71 M","19,84 M","5,19 M","7,88 M","12,69 M","20,58 M","12,87 M","9,17 M"
Antes dos impostos,"202,98 M","-60,80 M","-28,22 M","-30,70 M","741,38 M","-49,38 M","-41,65 M","-48,96 M","-197,26 M","-38,89 M","-59,40 M","-155,50 M","-152,95 M","-113,42 M","144,88 M","-26,68 M","233,27 M","-80,08 M","-28,72 M","-79,61 M","-170,57 M","-148,56 M","-106,38 M","-83,21 M","-457,31 M","-149,61 M","-93,86 M","-133,88 M","143,50 M","-171,33 M","-167,58 M","-160,21 M","-94,80 M","-168,84 M","-121,34 M","-142,75 M","-182,91 M","-158,05 M","-72,37 M","-118,95 M","-350,28 M","-254,87 M","18,11 M","22,78 M","16,06 M","20,91 M","61,72 M","11,20 M","-332,71 M","30,60 M","79,91 M","95,26 M","19,16 M","56,94 M","47,95 M","37,87 M","45,81 M","80,12 M","93,46 M","44,77 M"
