Conta,4T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"0,38","0,30","-0,14","-0,86","13,23","-0,28","-0,15","-0,39","-0,30","-0,17","-0,43","4,47","-1,52","12,23","6,91","111,52"
P/VP,"-0,04","-0,10","-0,05","-0,23","-0,37","-0,16","-0,40","0,35","0,21","0,08","0,15","0,08","0,14","0,48","0,66","0,75"
P/EBIT,"0,49","-0,24","-0,16","-0,61","-0,52","-0,30","-0,22","-0,30","-0,49","-0,29","-0,61","0,94","-11,61","6,60","6,22","74,25"
P/EBIT *,"-1,10","-1,76","-0,86","-2,79","-3,39","-0,95","-0,69","-0,70","-1,00","-0,71","-1,08","3,32","-10,84","6,08","6,23","69,95"
PSR,"0,22","8,18","-1,57","2,76","1,89","1,44","0,64","0,41","0,28","0,08","0,17","0,09","0,16","0,34","0,55","1,02"
P/Ativos,"0,07","0,15","0,09","0,13","0,12","0,04","0,04","0,03","0,03","0,02","0,04","0,02","0,04","0,13","0,25","0,34"
LPA,"4,21","13,12","-21,04","-9,41","0,74","-15,35","-30,29","-16,72","-25,37","-27,53","-30,56","2,03","-10,15","3,88","9,28","0,62"
VPA,"-37,33","-41,54","-54,66","-35,73","-26,32","-27,06","-11,71","18,58","35,25","60,48","87,45","118,04","113,36","97,90","97,85","92,52"
EBIT por ação,"3,29","-16,92","-17,90","-13,32","-18,77","-14,61","-21,63","-21,50","-15,40","-16,44","-21,38","9,62","-1,33","7,19","10,30","0,94"
EBIT por ação *,"-1,45","-2,27","-3,38","-2,90","-2,88","-4,58","-6,77","-9,33","-7,48","-6,77","-12,08","2,73","-1,42","7,81","10,30","1,00"
Ativo por ação,"22,60","27,25","33,23","61,16","80,53","99,95","125,41","189,42","237,63","259,51","334,99","374,55","388,06","351,93","252,24","202,76"
Receita líquida por ação,"7,22","0,49","-1,84","2,93","5,17","3,00","7,34","16,08","26,54","60,48","75,86","105,21","98,99","139,95","115,90","68,14"
Margem bruta,"17,73%","-130,55%","98,55%","-23,02%","-3,85%","-4,26%","-23,00%","-21,00%","6,48%","11,43%","8,03%","18,79%","21,09%","24,36%","27,08%","20,90%"
Margem líquida,"58,75%","2.668,33%","1.181,84%","-317,88%","-8,51%","-512,20%","-408,18%","-107,58%","-98,23%","-44,95%","-39,59%","2,84%","-9,15%","2,77%","8,01%","0,92%"
Margem EBIT,"45,57%","-3.459,45%","970,02%","-454,57%","-363,30%","-487,20%","-294,80%","-133,67%","-58,02%","-27,18%","-28,18%","9,14%","-1,34%","5,14%","8,89%","1,38%"
Margem EBIT *,"-20,11%","-463,98%","183,22%","-99,05%","-55,74%","-152,78%","-92,28%","-57,99%","-28,17%","-11,19%","-15,92%","2,59%","-1,43%","5,58%","8,89%","1,46%"
Margem EBITDA,"45,68%","-3.450,12%","966,51%","-450,69%","-358,23%","-474,07%","-287,37%","-128,22%","-54,33%","-25,86%","-27,53%","10,05%","0,02%","6,17%","9,73%","2,98%"
Margem EBITDA *,"-20,00%","-454,64%","179,71%","-95,18%","-50,67%","-139,64%","-84,86%","-52,54%","-24,48%","-9,87%","-15,27%","3,50%","-0,07%","6,62%","9,73%","3,07%"
Margem operacional,"56,89%","6.064,21%","1.205,95%","-249,40%","42,84%","-524,98%","-408,08%","-109,08%","-98,09%","-43,41%","-36,69%","5,15%","-6,33%","5,71%","11,24%","3,59%"
ROE,"-11,35%","-31,36%","39,88%","26,06%","1,61%","55,33%","247,47%","-94,81%","-72,04%","-43,44%","-33,06%","2,46%","-7,68%","3,96%","9,48%","0,68%"
ROA,"0,19","0,48","-0,66","-0,15","-0,01","-0,15","-0,24","-0,09","-0,11","-0,10","-0,09","0,01","-0,02","0,01","0,04","0,00"
ROIC,"15,89%","-65,71%","-58,05%","-22,94%","-24,75%","-15,49%","-18,56%","-11,67%","-6,63%","-6,64%","-6,75%","2,79%","-0,41%","2,41%","4,53%","0,61%"
ROIC *,"-7,01%","-8,81%","-10,97%","-5,00%","-3,80%","-4,86%","-5,81%","-5,06%","-3,22%","-2,73%","-3,82%","0,79%","-0,44%","2,62%","4,53%","0,65%"
Giro do ativo,"0,32","0,02","-0,06","0,05","0,06","0,03","0,06","0,08","0,11","0,23","0,23","0,28","0,26","0,40","0,46","0,34"
EBIT *,-30 mi,-47 mi,-69 mi,-59 mi,-59 mi,-93 mi,-138 mi,-190 mi,-152 mi,-138 mi,-245 mi,55 mi,-29 mi,158 mi,208 mi,20 mi
EBITDA,66 mi,-343 mi,-362 mi,-268 mi,-376 mi,-289 mi,-428 mi,-419 mi,-293 mi,-318 mi,-424 mi,214 mi,0 mi,175 mi,228 mi,41 mi
EBITDA *,-30 mi,-46 mi,-68 mi,-57 mi,-54 mi,-85 mi,-127 mi,-172 mi,-132 mi,-121 mi,-235 mi,74 mi,-2 mi,187 mi,228 mi,42 mi
Liquidez corrente,"0,67","0,39","0,26","0,29","0,33","0,49","1,26","0,73","0,75","0,70","1,00","1,29","1,83","2,39","2,41","2,35"
Liquidez seca,"0,24","0,11","0,07","0,11","0,14","0,32","0,88","0,46","0,43","0,45","0,65","0,91","1,44","1,69","1,73","1,77"
Liquidez imediata,"0,01","0,00","0,00","0,00","0,01","0,01","0,05","0,01","0,02","0,05","0,09","0,12","0,28","0,29","0,25","0,41"
Dívida bruta,389 mi,308 mi,591 mi,602 mi,882 mi,1.463 mi,1.604 mi,1.754 mi,2.042 mi,1.925 mi,2.426 mi,3.118 mi,3.954 mi,3.686 mi,2.110 mi,1.210 mi
Dívida líquida,359 mi,290 mi,583 mi,592 mi,830 mi,1.394 mi,1.534 mi,1.708 mi,1.979 mi,1.717 mi,2.098 mi,2.589 mi,2.702 mi,2.685 mi,1.666 mi,240 mi
Capital de giro,-92 mi,-489 mi,-1.055 mi,-1.103 mi,-1.203 mi,-885 mi,258 mi,-545 mi,-674 mi,-902 mi,-6 mi,903 mi,2.261 mi,3.202 mi,2.181 mi,1.874 mi
Endividamento geral,"-160,44%","-165,46%","-160,78%","-271,08%","-394,79%","-460,06%","-1.136,34%","938,01%","556,70%","314,63%","268,72%","208,06%","228,85%","259,47%","157,78%","119,14%"
